subclass,instance,wikiDataID,gender,age,birthYear,publication_year
AmericanLeader,Amelia_Trice,Q4742311,female,88,,2011.0
AmericanLeader,Robert_Yellowtail,Q7351311,male,135,,2006.0
AmericanLeader,Boeda_Strand,Q4937085,female,190,,2005.0
AmericanLeader,Dave_Bald_Eagle,Q26162675,male,105,,2016.0
AmericanLeader,David_Vann_(Cherokee_leader),Q5240614,male,224,,2009.0
AmericanLeader,Deskaheh,Q4895011,male,151,,2005.0
AmericanLeader,Alice_Brown_Davis,Q4725762,female,172,,2004.0
AmericanLeader,John_Ross_(Cherokee_chief),Q984347,,234,,2003.0
AmericanLeader,Patricia_Ann_McGee,Q26179821,female,98,,2016.0
AmericanLeader,Paulina_(Paiute_leader),Q5096879,male,191,,2010.0
AmericanLeader,Vern_Harper,Q7921855,,88,,2006.0
AmericanLeader,Vestana_Cadue,Q19874533,,123,,2015.0
AmericanLeader,Viola_Hatch,Q19878664,female,94,,2015.0
AmericanLeader,John_Brown_(Seminole_chief),Q6223459,male,182,,2009.0
AmericanLeader,Ella_Sekatau,Q110660328,female,96,,2022.0
AmericanLeader,Elouise_P._Cobell,Q3051661,female,79,,2008.0
AmericanLeader,George_Heron,Q5540552,male,105,,2011.0
AmericanLeader,Geronimo,Q2791,male,195,,2003.0
AmericanLeader,Gladys_Widdiss,Q5566473,female,110,,2012.0
AmericanLeader,Glecia_Bear,Q2741725,female,112,,2007.0
AmericanLeader,Minnie_Evans_(Potawatomi_leader),Q18716001,female,136,,2015.0
AmericanLeader,Mona_Polacca,Q6897707,female,69,,2010.0
AmericanLeader,Daniel_Bread,Q19848614,male,224,,2015.0
AmericanLeader,LaRue_Parker,Q16019185,female,89,,2005.0
AmericanLeader,Martha_George,Q6774409,female,132,,2005.0
AmericanLeader,Mildred_Cleghorn,Q6850953,female,114,,2006.0
AmericanLeader,Anna_Prieto_Sandoval,Q4767416,female,90,,2010.0
AmericanLeader,Lucy_Tayiah_Eads,Q15999580,female,136,,2014.0
AmericanLeader,Clinton_Rickard,Q5134211,male,142,,2008.0
AmericanLeader,Zara_Cisco_Brough,Q19874150,female,105,,2015.0
AmericanLeader,Cecilia_Fire_Thunder,Q2943718,female,78,,2006.0
AmericanLeader,Gabriel_Sylliboy,Q5515865,male,150,,2012.0
AmericanLeader,Lavina_Washines,Q6502694,female,84,,2011.0
AmericanLeader,Agnes_Baker_Pilgrim,Q4693009,female,100,,2010.0
AmericanLeader,Albert_White_Hat,Q14948224,male,86,,2013.0
AmericanLeader,Alma_Hogan_Snell,Q4733555,female,101,,2008.0
AmericanLeader,Darrell_Kipp,Q5224661,male,80,,2008.0
AmericanLeader,Noah_Augustine,Q3342500,male,53,,2011.0
AmericanLeader,John_Woodenlegs,Q11928245,male,115,,2009.0
AmericanLeader,Kahn-Tineta_Horn,Q6347046,female,84,,2010.0
AmericanLeader,Redbird_Smith,Q7305474,male,174,,2010.0
AmericanLeader,Harry_LaForme,Q5670419,male,78,,2008.0
AmericanLeader,Hastings_Shade,Q5680436,male,83,,2009.0
AmericanLeader,James_White_Cloud,Q19715173,male,184,,2016.0
AmericanLeader,Archie_Sam,Q16011655,male,110,,2013.0
AmericanLeader,Joan_Tavares_Avant,Q13562952,female,84,,2013.0
AmericanLeader,Joe_Dan_Osceola,Q16957489,male,88,,2014.0
AmericanLeader,Joe_Mike_Augustine,Q6211356,male,113,,2011.0
AmericanLeader,Joel_B._Mayes,Q6213189,male,191,,2007.0
AmericanLeader,John_Brant_(Mohawk_leader),Q6222991,male,230,,2006.0
AmericanLeader,Kicking_Bear,Q2193604,male,179,,2006.0
AmericanLeader,Laura_Spurr,Q6499470,female,79,,2010.0
AmericanLeader,Donald_F._Malonson,Q58895665,male,107,,2018.0
AmericanLeader,Margaret_Behan,Q6759177,female,76,,2010.0
AmericanLeader,Maria_Pearson,Q6761489,female,92,,2009.0
AmericanLeader,Marie_Smith_Jones,Q266679,female,106,,2004.0
AmericanLeader,Sara_Misquez,Q7421713,female,79,,2008.0
AmericanLeader,Noel_Jeddore,Q7047021,male,159,,2006.0
AmericanLeader,Tall_Oak_Weeden,Q110903180,,88,,2022.0
AmericanLeader,Billy_Osceola__Billy_Osceola__1,,,104,,
AmericanLeader,Cairook,Q19876558,male,0,,2015.0
AmericanLeader,Bear_Hunter,Q2892847,male,0,,2006.0
AmericanLeader,Beautifying_Bird,Q4877855,,0,,2007.0
AmericanLeader,Benjamin_Franklin_Smallwood,Q20710692,male,0,,2015.0
AmericanLeader,Quanah_Parker,Q1343075,male,0,,2003.0
AmericanLeader,Quilapán,Q5677564,male,0,,2013.0
AmericanLeader,Samuel_George,Q19894654,male,0,,2012.0
AmericanLeader,Saracen_(Quapaw_chief),Q104863741,male,0,,2020.0
AmericanLeader,Sassacus,Q2613239,male,0,,2005.0
AmericanLeader,Morning_Star_(chief),Q2670883,male,0,,2005.0
AmericanLeader,Mourning_Dove_(author),Q11937719,female,0,,2007.0
AmericanLeader,Montowampate,Q17424977,male,0,,2014.0
AmericanLeader,Passaconaway,Q7142446,male,0,,2005.0
AmericanLeader,Big_Red_Meat,Q18387294,male,0,,2014.0
AmericanLeader,Black_Beaver,Q4920360,male,0,,2011.0
AmericanLeader,Blue_Jacket,Q885741,male,0,,2002.0
AmericanLeader,Dewey_Beard,Q5268172,male,0,,2010.0
AmericanLeader,Appanoose,Q22916249,male,0,,2006.0
AmericanLeader,Hollow_Horn_Bear,Q5881745,male,0,,2006.0
AmericanLeader,Homoseh_quahote,Q19878820,male,0,,2015.0
AmericanLeader,John_Smoke_Johnson,Q6258411,male,0,,2005.0
AmericanLeader,Josiah_Francis_(Hillis_Hadjo),Q55615348,male,0,,2018.0
AmericanLeader,Juh,Q951981,male,0,,2005.0
AmericanLeader,Little_Raven_(Arapaho_leader),Q535711,male,0,,2012.0
AmericanLeader,Victorio,Q249278,male,0,,2004.0
AmericanLeader,Viola_Jimulla,Q7933024,female,0,,2006.0
AmericanLeader,Debedeavon,Q5248040,male,0,,2011.0
AmericanLeader,Don_Luis,Q5293029,male,0,,2007.0
AmericanLeader,Eagle_of_Delight,Q5325315,female,0,,2005.0
AmericanLeader,Inkpaduta,Q5823595,male,0,,2006.0
AmericanLeader,Queen_Alliquippa,Q7270190,female,0,,2004.0
AmericanLeader,Levi_Colbert,Q6535382,male,0,,2006.0
AmericanLeader,Lilakai_Julian_Neil,Q6547543,female,0,,2011.0
