subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Artist,Ivan_Hrvatska,Q6096413,male,0,,2008.0
Artist,Ivan_Ilić_(pianist),Q457029,male,46,,2006.0
Artist,Ivan_Iusco,Q3804715,male,54,,2011.0
Artist,Ivan_Ivanov_(singer),Q2413403,male,24,,2013.0
Artist,Ivan_Julian,Q6096556,male,69,,2005.0
Artist,Ivan_Kazakov,Q4207555,male,62,,2016.0
Artist,Ivan_Klapez,Q17522176,male,0,,2016.0
Artist,Ivan_Klisanin,Q16730928,male,0,,2010.0
Artist,Ivan_Korzhev,Q4232991,male,51,,2014.0
Artist,Ivan_Kovalčik_Mileševac,Q15732630,male,56,,2014.0
Artist,Ivan_Kramskoi,Q207758,male,-137,,2004.0
Artist,Ivan_Král,Q3046138,male,72,,2007.0
Artist,Ivan_Kusnjer,Q6096757,male,73,,2012.0
Artist,Ivan_Ladislav_Galeta,Q3156135,male,67,,2008.0
Artist,Ivan_Lavsky,Q4252316,male,58,,2010.0
Artist,Ivan_Lins,Q703330,male,79,,2005.0
Artist,Ivan_Makarov,Q4275370,male,75,,2007.0
Artist,Ivan_Maksimović,Q6096862,male,57,,2012.0
Artist,Ivan_Mane_Jarnović,Q1526160,male,57,,2007.0
Artist,Ivan_Marchuk,Q2043994,male,88,,2007.0
Artist,Ivan_Martos,Q1335371,male,-189,,2006.0
Artist,Ivan_Matias,Q16732138,male,0,,2013.0
Artist,Ivan_Meštrović,Q313828,male,79,,2003.0
Artist,Ivan_Mikulić,Q1647476,male,56,,2006.0
Artist,Ivan_Milat-Luketa,Q13638624,male,87,,2009.0
Artist,Ivan_Minekov,Q6097005,male,77,,2007.0
Artist,Ivan_Monforte,Q23883966,male,0,,2016.0
Artist,Ivan_Moody,Q1675581,male,44,,2006.0
Artist,Ivan_Moody,Q918157,male,44,,2006.0
Artist,Ivan_Morley,Q6097030,male,0,,2006.0
Artist,Ivan_Moudov,Q12281063,male,0,,2020.0
Artist,Ivan_Mozgovenko,Q4299596,male,100,,2021.0
Artist,Ivan_Mrkvička,Q4309439,male,82,,2006.0
Artist,Ivan_Nenov,Q6097083,male,95,,2006.0
Artist,Ivan_Neville,Q2994084,male,65,,2006.0
Artist,Ivan_Ooze_(rapper),Q106860074,male,32,,2021.0
Artist,Ivan_Ozhogin,Q14330410,male,46,,2013.0
Artist,Ivan_Parker,Q6097146,male,67,,2008.0
Artist,Ivan_Picelj,Q1259684,male,87,,2011.0
Artist,Ivan_Puni,Q705062,male,64,,2005.0
Artist,Ivan_Rabuzin,Q1675612,male,87,,2006.0
Artist,Ivan_Rebroff,Q57396,male,77,,2004.0
Artist,Ivan_Reis,Q3804759,male,0,,2006.0
Artist,Ivan_Rendić,Q976198,male,175,,2007.0
Artist,Ivan_Ropet,Q2655707,male,-116,,2006.0
Artist,Ivan_Roudyk,Q6097374,male,0,,2007.0
Artist,Ivan_Saidenberg,Q3804764,male,0,,2021.0
Artist,Ivan_Savenko,Q4403870,male,63,,2010.0
Artist,Ivan_Sekyra,Q12022007,male,60,,2012.0
Artist,Ivan_Seleznyov,Q11714481,male,80,,2016.0
Artist,Ivan_Seljak,Q6097446,male,97,,2012.0
Artist,Ivan_Shadr,Q1065242,male,-83,,2005.0
Artist,Ivan_Shafiq,Q26251621,male,49,,2016.0
Artist,Ivan_Shishkin,Q193064,male,66,,2005.0
Artist,Ivan_Smirnov_(guitar_player),Q4424682,male,63,,2005.0
Artist,Ivan_Soshenko,Q3070319,male,69,,2008.0
Artist,Ivan_Supek,Q1267231,male,92,,2006.0
Artist,Ivan_Tcherepnin,Q1381689,male,0,,2006.0
Artist,Ivan_Tišov,Q1146331,male,58,,2011.0
Artist,Ivan_Trutnev,Q1361961,male,-112,,2009.0
Artist,Ivan_Tucakov,Q6097654,male,0,,2006.0
Artist,Ivan_Tvorozhnikov,Q4453346,male,176,,2006.0
Artist,Ivan_Tásler,Q3562497,male,45,,2006.0
Artist,Ivan_Varichev,Q4103843,male,92,,2010.0
Artist,Ivan_Vasiliev,Q2077776,male,35,,2010.0
Artist,Ivan_Vaughan,Q3156201,male,51,,2005.0
Artist,Ivan_Vdović__Ivan_Vdović__1,,,31,,
Artist,Ivan_Velez_Jr.,Q6097718,male,0,,2010.0
Artist,Ivan_Vihor,Q27526889,male,27,,2016.0
Artist,Ivan_Vilela,Q3156205,male,62,,2010.0
Artist,Ivan_Voshchyna,Q21336853,male,58,,2015.0
Artist,Ivan_Vrona,Q12090842,male,83,,2020.0
Artist,Ivan_Wilzig,Q4111377,male,68,,2007.0
Artist,Ivan_Zagni,Q16106147,male,82,,2012.0
Artist,Ivan_de_Prume,Q16728445,male,0,,2005.0
Artist,Ivana_(singer),Q452278,female,55,,2006.0
Artist,Ivana_Banfić,Q290176,female,55,,2005.0
Artist,Ivana_Banfić,Q30962236,female,55,,2005.0
Artist,Ivana_Kindl,Q543843,female,46,,2012.0
Artist,Ivana_Kobilca,Q236878,female,65,,2004.0
Artist,Ivana_Peters,Q1564024,female,50,,2008.0
Artist,Ivana_Radovniković,Q6098009,female,39,,2005.0
Artist,Ivana_Santilli,Q6098018,female,49,,2004.0
Artist,Ivana_Švarc-Grenda,Q6098040,female,0,,2008.0
Artist,Ivanhoe_Gambini,Q3804826,male,88,,2020.0
Artist,Ivano_Fossati,Q923141,male,73,,2006.0
