subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Astronaut,Pyotr_Kolodin,Q1236960,male,91,,2011.0
Astronaut,Robert_Michael_White,Q2620784,male,86,,2004.0
Astronaut,Roger_B._Chaffee,Q345678,male,32,,2002.0
Astronaut,Ronald_Evans_(astronaut),Q313543,male,57,,2004.0
Astronaut,Ronald_McNair,Q315730,male,36,,2003.0
Astronaut,Ronald_Parise,Q1385274,male,57,,2004.0
Astronaut,Scott_Carpenter,Q335503,,88,,2003.0
Astronaut,Bert_R._Bulkin,Q14395186,male,83,,2012.0
Astronaut,Bill_Bridgeman,Q3622033,male,52,,2009.0
Astronaut,Bjarni_Tryggvason,Q725233,male,77,,2004.0
Astronaut,Boris_Andreyev_(cosmonaut),Q834956,male,81,,2010.0
Astronaut,Boris_Morukov,Q281604,male,65,,2004.0
Astronaut,Boris_Yegorov,Q352137,male,57,,2003.0
Astronaut,Brian_Binnie,Q911890,male,69,,2004.0
Astronaut,Brian_O'Leary,Q986622,male,71,,2006.0
Astronaut,David_M._Brown,Q350317,,47,,2002.0
Astronaut,David_M._Walker_(astronaut),Q720351,male,57,,2004.0
Astronaut,Deke_Slayton,Q336810,male,69,,2003.0
Astronaut,John_S._Bull,Q1282566,male,74,,2004.0
Astronaut,John_Young_(astronaut),Q107667,male,88,,2003.0
Astronaut,Joseph_A._Walker,Q708395,male,45,,2004.0
Astronaut,Judith_Resnik,Q49284,female,37,,2002.0
Astronaut,Patricia_Robertson,Q2742047,female,38,,2006.0
Astronaut,Paul_J._Weitz,Q536632,male,85,,2004.0
Astronaut,Pavel_Belyayev,Q157931,male,45,,2003.0
Astronaut,Pavel_Popovich,Q118490,,79,,2003.0
Astronaut,Pete_Conrad,Q213076,male,69,,2003.0
Astronaut,Reinhard_Furrer,Q215131,male,55,,2003.0
Astronaut,Richard_A._Searfoss,Q1371840,,62,,2004.0
Astronaut,Richard_E._Lawyer,Q495632,male,73,,2008.0
Astronaut,Richard_F._Gordon_Jr.,Q502963,male,88,,2004.0
Astronaut,Rick_Husband,Q346671,male,46,,2003.0
Astronaut,Robert_A._Rushworth,Q682970,male,69,,2004.0
Astronaut,Robert_F._Overmyer,Q519149,male,60,,2004.0
Astronaut,Robert_Henry_Lawrence_Jr.,Q391517,male,32,,2004.0
Astronaut,Valentin_Bondarenko,Q538639,,24,,2005.0
Astronaut,Valentin_Varlamov,Q4103886,,46,,2011.0
Astronaut,Valeri_Polyakov,Q317792,male,80,,2004.0
Astronaut,Valery_Bykovsky,Q159681,,85,,2003.0
Astronaut,Valery_Kubasov,Q432752,,79,,2003.0
Astronaut,Valery_Rozhdestvensky,Q360038,male,72,,2004.0
Astronaut,Valery_Ryumin,Q472497,male,83,,2004.0
Astronaut,Vasily_Lazarev,Q365317,male,62,,2003.0
Astronaut,Viktor_Gorbatko,Q348205,male,83,,2003.0
Astronaut,Viktor_Patsayev,Q358525,male,38,,2003.0
Astronaut,Vitaly_Sevastyanov,Q252726,male,75,,2003.0
Astronaut,Vladimir_Komarov,Q104865,male,40,,2002.0
Astronaut,Vladimir_Lyakhov,Q449577,male,77,,2004.0
Astronaut,Vladimir_Shatalov,Q313399,male,94,,2003.0
Astronaut,Vladimir_Vasyutin,Q708689,male,50,,2004.0
Astronaut,Vladislav_Volkov,Q345658,male,36,,2003.0
Astronaut,Russell_L._Rogers,Q325474,male,39,,2004.0
Astronaut,S._David_Griggs,Q719921,,50,,2004.0
Astronaut,Christa_McAuliffe,Q229674,female,38,,2002.0
Astronaut,Clifton_Williams,Q709646,,35,,2004.0
Astronaut,Edward_Givens,Q720191,male,37,,2004.0
Astronaut,Elliot_See,Q621462,,39,,2002.0
