subclass,instance,wikiDataID,gender,age,birthYear,publication_year
BeautyQueen,Rosario_Silayan-Bailon,Q522038,female,47,,2008.0
BeautyQueen,Rosemarie_Frankland,Q2663895,female,57,,2005.0
BeautyQueen,Deborah_Jean_Howard,Q5248277,female,42,,2009.0
BeautyQueen,Persis_Khambatta,Q432731,female,50,,2005.0
BeautyQueen,Corine_Rottschäfer,Q2626881,female,82,,2005.0
BeautyQueen,María_José_Alvarado,Q18558595,female,19,,2014.0
BeautyQueen,May-Louise_Flodin,Q263046,female,77,,2005.0
BeautyQueen,Melody_Gersbach,Q3295533,female,25,,2010.0
BeautyQueen,Ena_Kadic,Q15494800,female,26,,2013.0
BeautyQueen,Mónica_Spear,Q2631267,female,30,,2005.0
BeautyQueen,Nafisa_Joseph,Q467403,female,26,,2004.0
BeautyQueen,Caelynn_Miller-Keyes,Q61528422,female,29,,2019.0
BeautyQueen,Cailín_Ní_Toibín,Q38460707,female,30,,2017.0
BeautyQueen,Caitlin_Brunell,Q5017879,female,32,,2007.0
BeautyQueen,Caitlin_Simmons,Q5017922,female,39,,2006.0
BeautyQueen,Camila_Escribens,Q60325011,female,26,,2019.0
BeautyQueen,Camila_Gonzalez,Q58922112,female,27,,2018.0
BeautyQueen,Camila_Solórzano,Q5026543,female,35,,2012.0
BeautyQueen,Camila_Vezzoso,Q3651389,female,31,,2012.0
BeautyQueen,Camilla_Hansson,Q5026577,female,36,,2012.0
BeautyQueen,Camille_Cerf,Q18609733,female,30,,2014.0
BeautyQueen,Candace_Otto,Q5031571,female,44,,2007.0
BeautyQueen,Candiace_Dillard_Bassett,Q111916233,female,38,,2021.0
BeautyQueen,Candice_Sanders,Q5031701,female,47,,2007.0
BeautyQueen,Candice_Stewart,Q5031704,female,41,,2006.0
BeautyQueen,Caressa_Cameron,Q684037,female,37,,2010.0
BeautyQueen,Carey_Ng,Q1528154,female,36,,2012.0
BeautyQueen,Carina_Beduschi,Q2057006,female,40,,2005.0
BeautyQueen,Carina_Tyrrell,Q17580379,female,35,,2014.0
BeautyQueen,Caris_Tiivel,Q26837781,female,31,,2016.0
BeautyQueen,Carla_García,Q20744865,female,34,,2024.0
BeautyQueen,Carla_Steinkopf,Q5041110,female,51,,2008.0
BeautyQueen,Carla_Viktor,Q21932163,female,34,,2015.0
BeautyQueen,Carlene_Aguilar,Q540355,female,42,,2005.0
BeautyQueen,Carlota_Lozano,Q5042822,female,79,,2012.0
BeautyQueen,Carmen_Jaramillo,Q21932461,female,30,,2015.0
BeautyQueen,Carmen_María_Montiel,Q3303974,female,60,,2008.0
BeautyQueen,Carol_Bruyning,Q5044276,female,40,,2009.0
BeautyQueen,Carol_Grow,Q5044350,female,53,,2006.0
BeautyQueen,Carol_Morris,Q2662295,female,88,,2006.0
BeautyQueen,Carola_Durán,Q5044632,female,37,,2012.0
BeautyQueen,Carole_Crawford,Q2438193,female,81,,2005.0
BeautyQueen,Carole_Gist,Q3660531,female,55,,2005.0
BeautyQueen,Carolina_Brid,Q12856714,female,34,,2013.0
BeautyQueen,Carolina_Dementiev,Q3660557,female,35,,2010.0
BeautyQueen,Carolina_Gómez,Q2939936,female,49,,2007.0
BeautyQueen,Carolina_Indriago,Q3293303,female,44,,2008.0
BeautyQueen,Carolina_Izsak,Q257763,female,53,,2006.0
BeautyQueen,Carolina_Morán,Q1320195,female,37,,2006.0
BeautyQueen,Caroline_McGowan,Q16234014,female,33,,
BeautyQueen,Caroline_Medina,Q3343356,female,32,,2010.0
BeautyQueen,Carolyn_Carter,Q24061005,female,34,,2016.0
BeautyQueen,Carolyn_Seaward,Q2940089,female,64,,2007.0
BeautyQueen,Carranzar_Naa_Okailey_Shooter,Q16267965,female,35,,2013.0
BeautyQueen,Carrie_Stroup,Q5046306,female,42,,2006.0
BeautyQueen,Cassidy_Wolf,Q16236658,female,30,,2013.0
BeautyQueen,Catalina_Cáceres,Q18049693,female,34,,2014.0
BeautyQueen,Catalina_Morales,Q18211186,female,34,,2014.0
BeautyQueen,Catalina_Robayo,Q3663250,female,35,,2022.0
BeautyQueen,Prachi_Mishra,Q7237296,female,36,,2012.0
BeautyQueen,Pradeepta_Adhikari,Q64009491,female,27,,2019.0
BeautyQueen,Pragnya_Ayyagari,Q113774923,female,22,,2022.0
BeautyQueen,Prapussorn_Panichkul,Q6579887,female,75,,2010.0
BeautyQueen,Prateik_Jain,Q16910159,male,35,,2014.0
BeautyQueen,Prathamesh_Maulingkar,Q7238646,male,33,,2011.0
BeautyQueen,Precious_Chikwendu,Q27942271,female,35,,2016.0
BeautyQueen,Precious_Lara_Quigaman,Q2248266,female,41,,2005.0
BeautyQueen,Precious_Okoye,Q94700801,female,29,,2020.0
BeautyQueen,Prema_Narayan,Q7240196,female,69,,2009.0
BeautyQueen,Pricilia_Carla_Yules,Q85913338,female,28,,2022.0
BeautyQueen,Princess_Megonondo,Q62024137,female,24,,2019.0
BeautyQueen,Prinsha_Shrestha,Q19661026,female,32,,2014.0
BeautyQueen,Priscila_Machado,Q950000,female,38,,2011.0
BeautyQueen,Priscila_Perales,Q2233162,female,41,,2006.0
BeautyQueen,Priscilla_Meirelles,Q2535161,female,41,,2005.0
BeautyQueen,Prissila_Howard,Q39487171,female,33,,2017.0
BeautyQueen,Priya_Serrao,Q64853060,female,32,,2019.0
BeautyQueen,Priyadarshini_Chatterjee,Q24006331,female,28,,2016.0
BeautyQueen,Priyani_Puketapu,Q3922202,female,34,,2011.0
BeautyQueen,Priyanka_Rani_Joshi,Q112912920,female,26,,2022.0
BeautyQueen,Priyanka_Yoshikawa,Q26822542,female,30,,2016.0
BeautyQueen,Punika_Kulsoontornrut,Q16935076,female,32,,2014.0
BeautyQueen,Punnara_Phoomchareon,Q7260465,female,34,,2010.0
BeautyQueen,Purva_Rana,Q16234123,female,36,,2013.0
BeautyQueen,Putri_Raemawasti,Q4263705,female,38,,2007.0
