subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Chef,Carson_Gulley,Q5046935,male,65,,2006.0
Chef,Roger_Vergé,Q532069,male,85,,2013.0
Chef,Roland_Mesnier,Q965161,male,78,,2004.0
Chef,Santi_Santamaria,Q929866,male,54,,2008.0
Chef,Benoît_Violier,Q2377244,male,45,,2016.0
Chef,Bernard_Loiseau,Q822576,male,52,,2004.0
Chef,Betty_Groff,Q21997807,female,80,,2015.0
Chef,Biba_Caggiano,Q4902945,female,83,,2013.0
Chef,Bill_Collins_(baker),Q106460580,,90,,2021.0
Chef,Bill_Harmsen,Q4909305,male,90,,2006.0
Chef,Homaro_Cantu,Q5887763,male,39,,2005.0
Chef,Joyce_Chen_(chef),Q6297425,female,77,,2007.0
Chef,Julia_Child,Q214477,female,92,,2001.0
Chef,Juliet_Corson,Q6308860,female,56,,2010.0
Chef,Paul_Bocuse,Q8159,male,92,,2004.0
Chef,Paul_Prudhomme,Q1377468,male,75,,2004.0
Chef,René_Verdon,Q7313813,male,87,,2011.0
Chef,Robbie_Millar,Q7340949,male,38,,2006.0
Chef,Robert_Carrier_(chef),Q601418,male,83,,2005.0
Chef,Robert_Kinkead,Q79054400,male,67,,2008.0
Chef,Masahiko_Kobe,Q6782344,male,50,,2004.0
Chef,Ruth_Graves_Wakefield,Q3453622,,74,,2004.0
Chef,Louis_Szathmary,Q12816215,male,77,,2014.0
Chef,Clemens_Wilmenrod,Q85765,male,61,,2005.0
Chef,Elka_Gilmore,Q79791219,female,59,,2019.0
Chef,Ella_Brennan,Q15040563,female,93,,2013.0
Chef,Emilio_Baglioni,Q5371806,male,89,,2011.0
Chef,Frank_L._White,Q5487816,,71,,2007.0
Chef,Gary_Rhodes,Q1494939,male,59,,2005.0
Chef,Gray_Kunz,Q41215784,male,65,,2017.0
Chef,Mr._Food,Q6928657,male,81,,2006.0
Chef,Mārtiņš_Rītiņš,Q282036,male,73,,2022.0
Chef,Andrew_Fairlie_(chef),Q4756928,male,56,,2009.0
Chef,Anne_Boutiaut_Poulard,Q3332073,female,80,,2019.0
Chef,Anthony_Bourdain,Q426582,,62,,2004.0
Chef,Lena_Richard,Q96198050,female,58,,2020.0
Chef,Lesego_Semenya,Q108468928,male,39,,2021.0
Chef,Luis_Irizar,Q6700730,male,91,,2008.0
Chef,Léa_Bidaut,Q57239216,female,88,,2022.0
Chef,Bobby_Freeman_(writer),Q60767103,female,75,,2018.0
Chef,Sidney_Bloom,Q29624081,male,82,,2017.0
Chef,Sirio_Maccioni,Q7530325,male,88,,2008.0
Chef,Édouard_Nignon,Q7017490,male,69,,2018.0
Chef,Henry_Haller,Q20631170,male,97,,2012.0
Chef,Walter_Scheib,Q7966065,male,61,,2005.0
Chef,Wilbur_Mitcham,Q8000223,male,80,,2008.0
Chef,Hasset_Go,Q21285121,male,29,,2015.0
Chef,Abdul_Latif_(restaurateur),Q16018183,male,54,,2008.0
Chef,Adolphe_Dugléré,Q2824816,male,79,,2008.0
Chef,Adriana_Giramonti,Q104636005,female,87,,2021.0
Chef,Alain_Chapel,Q2829655,male,53,,2008.0
Chef,Albert_Roux,Q2895081,male,86,,2005.0
Chef,Alma_Lach,Q110576987,female,99,,2022.0
Chef,Eugénie_Brazier,Q2856817,female,82,,2012.0
Chef,Fernand_Point,Q1396289,male,58,,2004.0
Chef,Floyd_Cardoz,Q88553411,male,60,,2020.0
Chef,Glenn_Lindgren,Q15459553,male,62,,2007.0
Chef,Gualtiero_Marchesi,Q3778140,male,87,,2008.0
Chef,Hans_Raffert,Q20685215,,78,,2015.0
Chef,Heinz_Winkler_(chef),Q214705,male,73,,2005.0
Chef,Helmut_Thieltges,Q214491,male,62,,2005.0
Chef,Jacob_Sahaya_Kumar_Aruni,Q6119217,male,38,,2010.0
Chef,Jacques_Pic,Q6120800,male,60,,2012.0
Chef,James_Beard,Q1399476,male,82,,2001.0
Chef,Jeff_Smith_(chef),Q6175000,male,65,,2004.0
Chef,Jehane_Benoît,Q3176807,female,83,,2005.0
Chef,Charles_Ranhofer,Q2918191,male,63,,2006.0
Chef,Charlie_Trotter,Q5085621,male,54,,2004.0
Chef,Chef_Ra,Q5089503,male,56,,2007.0
Chef,Kerry_Simon,Q6394663,male,60,,2006.0
Chef,Leah_Chase,Q6509170,female,96,,2005.0
Chef,Sylvia_Woods,Q7661027,female,86,,2007.0
Chef,Marc_Meneau,Q1805539,male,77,,2013.0
Chef,Margaret_Fulton,Q6759431,female,95,,2007.0
Chef,Marguerite_Bise,Q15973708,female,67,,2017.0
Chef,Mark_Peel_(chef),Q6769201,male,67,,2009.0
Chef,Pierre_Franey,Q7192222,,75,,2006.0
Chef,Michel_Roux,Q2918056,male,79,,2005.0
Chef,Ofélia_Ramos_Anunciato,Q7079787,female,74,,2007.0
Chef,Yiu_Hai_Seto_Quon,Q20989030,female,100,,2015.0
Chef,Kenneth_Lo_(writer),,,82,,2022.0
Chef,Carla_Hall,Q5041061,female,60,,2009.0
Chef,Carrie_Nahabedian,Q5046276,,66,,2012.0
Chef,Cat_Cora,Q4232577,female,57,,2005.0
Chef,Priscilla_Martel,Q7245606,female,68,,
Chef,Rochelle_Adonis,Q55080988,female,52,,2018.0
Chef,Rock_Harper,Q27671729,male,48,,2008.0
Chef,Rokusaburo_Michiba,Q7360108,male,93,,2004.0
Chef,Ron_Siegel,Q7364386,male,58,,2005.0
Chef,Rosemary_Shrager,Q4978400,female,73,,2007.0
Chef,Roy_Choi,Q16210760,male,54,,2013.0
Chef,Roy_Fares,Q5725361,male,40,,2015.0
Chef,Sam_Kim_(chef),Q18566804,male,47,,2015.0
Chef,Samin_Nosrat,Q48970030,female,45,,2017.0
Chef,Sanjeev_Kapoor,Q7409654,male,60,,2005.0
Chef,Sanjyot_Keer,Q60028696,male,32,,2018.0
Chef,Sara_Moulton,Q7421716,female,72,,2004.0
Chef,Saransh_Goila,Q16231678,male,37,,2012.0
Chef,Sarma_Melngailis,Q7424261,female,52,,2009.0
Chef,Sat_Bains,Q16153392,male,53,,2007.0
Chef,Scott_Conant,Q16206600,male,53,,2009.0
Chef,Scott_Leibfried,Q7436690,male,53,,2009.0
Chef,Ben_O'Donoghue,Q2895527,male,54,,2006.0
Chef,Benny_the_Chef,Q4890072,male,47,,2010.0
Chef,Bent_Stiansen,Q4890345,,61,,2009.0
Chef,Bill_Granger,Q2349338,male,55,,2006.0
Chef,Björn_Frantzén,Q16210574,,47,,2013.0
Chef,Bobby_Deen,Q4934922,male,54,,2006.0
Chef,Bobby_Flay,Q858327,male,60,,2005.0
Chef,Boy_Logro,Q16731595,male,70,,2013.0
Chef,Brian_Turner_(chef),Q4965518,,78,,2006.0
Chef,David_Bouley,Q5231587,male,71,,2009.0
Chef,David_Carmichael,Q5232166,male,54,,2007.0
Chef,David_Chang,Q3017652,male,47,,2007.0
Chef,David_Kinch,Q5236013,male,63,,2011.0
Chef,David_Muñoz_(chef),Q16301741,male,44,,2016.0
Chef,David_Rocco,Q5239144,male,54,,2006.0
Chef,David_Ruggerio,Q59268461,male,62,,2018.0
Chef,Delia_Smith,Q1808967,female,83,,2003.0
Chef,Anne_Kearney,Q4768492,female,57,,2007.0
Chef,Holger_Stromberg,Q1624638,male,52,,2013.0
Chef,Hugh_Acheson,Q5929780,male,53,,2013.0
Chef,Jonnie_Boer,Q2775029,male,59,,2011.0
Chef,Jordi_Cruz,Q16298586,male,46,,2014.0
Chef,Joseph_Johnson_(chef),Q19666694,male,40,,2023.0
Chef,Josh_Emett,Q22277698,male,51,,2015.0
Chef,Joyce_Goldstein,Q44117710,female,89,,2017.0
Chef,Joël_Robuchon,Q1367752,male,79,,2004.0
Chef,Juan_Mari_Arzak,Q2657851,male,82,,2009.0
Chef,Julien_Royer,Q85772421,male,42,,2020.0
Chef,Patrick_O'Connell_(chef),Q7147365,male,79,,2007.0
Chef,Paul_Bartolotta,Q15040560,male,63,,2013.0
Chef,Paul_Hollywood,Q7151349,male,58,,2010.0
Chef,Paul_Liebrandt,Q7152035,male,48,,2012.0
Chef,Paul_Pairet,Q16195729,male,60,,2013.0
Chef,Paul_Virant,Q16213325,male,54,,2013.0
Chef,Paula_Deen,Q3071037,female,77,,2005.0
