subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Coach,Mike_Fox_(baseball),Q6846895,male,0,,2007.0
Coach,Walt_Kyle__1,,,0,,
Coach,William_I._Traeger__1,,,0,,
Coach,Zellio_Toppazzini__1,,,0,,
Coach,Mike_Gary,Q6846971,male,69,,2010.0
Coach,Mike_Gillespie_(baseball),Q6846999,male,80,,2006.0
Coach,Mike_Hebert,Q16729736,male,75,,2008.0
Coach,Mike_Heideman,Q6847192,male,70,,2007.0
Coach,Mike_Leaf,Q67024181,male,58,,2019.0
Coach,Mike_McGlinchey_(American_football_coach),Q6847930,male,53,,2007.0
Coach,Mike_Milligan_(coach),Q6848034,male,75,,2007.0
Coach,Mike_Mullally,Q23772133,male,82,,2016.0
Coach,Mike_Pecarovich,Q14950749,male,67,,2011.0
Coach,Mike_Reilly_(coach),Q60766796,male,72,,2018.0
Coach,Mike_Sheppard_(baseball),Q18157993,male,83,,2014.0
Coach,Mike_Shortley,Q81248922,male,68,,2020.0
Coach,Mike_Thompson_(umpire),Q25206877,male,62,,2016.0
Coach,Milan_Vooletich,Q6850717,male,65,,2010.0
Coach,Milburn_Smith,Q6850858,male,82,,2007.0
Coach,Miles_O._Noll,Q6851497,male,43,,2011.0
Coach,Miller_Pontius,Q6859224,male,69,,2007.0
Coach,Milt_Bruhn,Q6860770,male,79,,2006.0
Coach,Milt_Drewer,Q16019368,male,89,,2009.0
Coach,Milt_Martin,Q102169830,male,86,,2020.0
Coach,Milton_Daniel,Q81696096,male,68,,2020.0
Coach,Milton_Goering,Q6861097,male,86,,2010.0
Coach,Milton_Jowers,Q60198190,male,58,,2018.0
Coach,Milton_Olander,Q6861364,male,62,,2011.0
Coach,Nash_Higgins,Q19665622,male,88,,2015.0
Coach,Nat_Frazier,Q71714906,male,84,,2019.0
Coach,Nat_Holman,Q1966080,male,99,,2005.0
Coach,Nat_Taylor_(American_football),Q63214640,male,79,,2019.0
Coach,Nate_Harlan,Q112184730,male,58,,2022.0
Coach,Nathan_Dougherty,Q6969024,male,91,,2006.0
Coach,Nathan_Harter,Q56665708,male,68,,2018.0
Coach,Nathan_Mannakee,Q6969221,male,86,,2009.0
Coach,Nathan_Stauffer,Q6969355,male,84,,2007.0
