subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Criminal,Calcedonio_Di_Pisa,Q5018714,male,31,,2006.0
Criminal,Calisto_Tanzi,Q931991,male,84,,2006.0
Criminal,Calogero_Vizzini,Q682117,male,77,,2006.0
Criminal,Cameron_Todd_Willingham,Q4470017,male,36,,2004.0
Criminal,Campo_Elías_Delgado,Q429502,male,52,,2006.0
Criminal,Cannock_Chase_murders,Q5032730,,85,,2009.0
Criminal,Captain_Moonlite,Q5036742,male,38,,2006.0
Criminal,Carl_Drega,Q5040054,male,62,,2004.0
Criminal,Carl_Eugene_Watts,Q361239,male,54,,2004.0
Criminal,Carl_Großmann,Q63976,male,59,,2004.0
Criminal,Carl_Oberg,Q61815,male,68,,2007.0
Criminal,Carl_Panzram,Q716583,male,39,,2004.0
Criminal,Carl_Robert_Brown,Q5040710,male,52,,2009.0
Criminal,Carl_Wayne_Buntion,Q110450253,male,78,,2022.0
Criminal,Carl_Weiss,Q643910,male,29,,2004.0
Criminal,Carl_Williams_(criminal),Q3658816,male,40,,2005.0
Criminal,Carlo_Gambino,Q452127,male,74,,2002.0
Criminal,Carlos_DeLuna,Q5041980,male,27,,2012.0
Criminal,Carlos_Marcello,Q2487962,male,83,,2005.0
Criminal,Carlos_Rosales_Mendoza,Q5042589,male,52,,2010.0
Criminal,Carlton_Gary,Q538803,male,68,,2007.0
Criminal,Carmen_Barillaro,Q94966113,male,53,,2020.0
Criminal,Carmen_Mory,Q122212,female,41,,2018.0
Criminal,Carmine_Galante,Q1043820,male,69,,2004.0
Criminal,Carmine_Persico,Q1043826,male,86,,2004.0
Criminal,Carmine_Tramunti,Q370823,male,68,,2005.0
Criminal,Carol_M._Bundy,Q2939823,female,61,,2024.0
Criminal,Carroll_Cole,Q2940333,male,47,,2004.0
Criminal,Caryl_Chessman,Q725908,male,39,,2004.0
Criminal,Cassie_Chadwick,Q1048357,female,50,,2003.0
Criminal,Castor_de_Andrade,Q5050700,male,71,,2008.0
Criminal,Ameril_Umbra_Kato,Q4745721,male,69,,2011.0
Criminal,Potomac_River_Rapist,Q55641489,,63,,2018.0
Criminal,Pretty_Boy_Floyd,Q934293,male,30,,2004.0
Criminal,Priscilla_Ford,Q4491823,female,76,,2010.0
Criminal,Prosper_Dezitter,Q3407822,male,55,,2012.0
Criminal,Prospero_Gallinari,Q3924131,male,62,,2011.0
Criminal,Protais_Mpiranya,Q7251163,male,50,,2006.0
Criminal,Pupetta_Maresca,Q3627379,female,86,,2009.0
Criminal,Pál_Gyömbér,Q21503848,male,31,,2021.0
Criminal,Péter_Kovács_(serial_killer),Q25466000,male,34,,2018.0
Criminal,Robert_Lipka,Q4262578,male,68,,2010.0
Criminal,Robert_Lynn_Pruett,Q36065051,male,38,,2017.0
Criminal,Robert_Melson_(murderer),Q30333405,male,46,,2023.0
Criminal,Robert_Nixon_(criminal),Q7348052,male,20,,2011.0
Criminal,Robert_O'Neal_(murderer),Q111953107,male,34,,2022.0
Criminal,Robert_O._Marshall,Q7348115,male,76,,2006.0
