subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Academic,Cai_Shaoqing,Q77552012,male,91,,2020.0
Academic,Caio_Prado_Júnior,Q1789931,male,117,,2008.0
Academic,Cairns_Craig,Q15845025,,75,,2014.0
Academic,Caleb_Finch,Q5019237,,85,,2008.0
Academic,Calvert_Watkins,Q1227132,male,91,,2004.0
Academic,Camilla_Townsend,Q64391106,female,59,,2019.0
Academic,Camille_Jullian,Q333292,,165,,2007.0
Academic,Campbell_Bonner,Q20730634,male,148,,2021.0
Academic,Candida_Moss,Q16732913,female,46,,2013.0
Academic,Carl_A._Brasseaux,Q2938861,male,73,,2006.0
Academic,Carl_Berger_(historian),Q98506705,male,85,,2021.0
Academic,Carl_Croneberg,Q59465623,,94,,2018.0
Academic,Carl_Elliott_(philosopher),Q5040092,male,63,,2007.0
Academic,Carl_Fredrik_Wisløff,Q1780884,,116,,2008.0
Academic,Carl_Holladay,Q29470886,male,81,,2017.0
Academic,Carl_Joachim_Classen,Q73482,,96,,2012.0
Academic,Carl_Kaestle,Q15429228,male,84,,2013.0
Academic,Carl_Richard_Unger,Q962232,male,207,,2015.0
Academic,Carl_Ridd,Q3658798,male,95,,2007.0
Academic,Carl_Schalk,Q5040771,male,95,,2008.0
Academic,Carleton_S._Coon,Q325049,,120,,2002.0
Academic,Carlo_De_Simone_(linguist),Q325601,male,92,,2019.0
Academic,Carlo_Giuseppe_Guglielmo_Botta,Q623180,,258,,2005.0
Academic,Carlo_Pedretti,Q183433,male,96,,2011.0
Academic,Carlos_Cumpián,Q5041964,male,71,,2007.0
Academic,Carme_Pigem,Q5752340,female,62,,2015.0
Academic,Carmen_Diana_Deere,Q27229776,female,79,,2022.0
Academic,Carol_Anderson,Q28600074,female,65,,2012.0
Academic,Carol_Bacchi,Q58459359,female,76,,2019.0
Academic,Carol_Berkin,Q28032273,,82,,2016.0
Academic,Carol_Chapelle,Q59167813,female,69,,2018.0
Academic,Carol_D._Lee,Q65204263,female,79,,2019.0
Academic,Carol_F._Justus,Q104666043,,84,,2021.0
Academic,Carol_Gilligan,Q284025,female,88,,2003.0
Academic,Carol_Handley,Q55154392,female,95,,2018.0
Academic,Carol_Harrison_(theologian),Q19956771,female,64,,2015.0
Academic,Carol_J._Clover,Q5044397,female,84,,2006.0
Academic,Carol_Nadelson,Q108097735,,88,,2021.0
Academic,Carol_Rumens,Q5044535,female,80,,2009.0
Academic,Carol_S._Bruch,Q5044539,female,83,,2012.0
Academic,Carol_Sanger,Q87400991,female,76,,2022.0
Academic,Carol_van_Driel-Murray,Q46997908,,74,,2019.0
Academic,Carola_Frege,Q106684754,female,59,,2020.0
Academic,Caroline_Bowen,Q46090737,female,80,,2018.0
Academic,Caroline_D._Gentile,Q23018286,female,100,,2016.0
Academic,Caroline_Dayer,Q29068783,female,46,,2022.0
Academic,Caroline_Humphrey,Q5045106,female,81,,2011.0
Academic,Caroline_Hussey,Q33082376,female,83,,2017.0
Academic,Caroline_Levine,Q107719104,female,54,,2021.0
Academic,Caroline_Ransom_Williams,Q18536377,female,152,,2017.0
Academic,Caroline_Skeel,Q18526707,female,152,,2016.0
Academic,Caroline_Wickham-Jones,Q64009458,,69,,2019.0
Academic,Carolyn_Baylies,Q5045307,female,77,,2010.0
Academic,Carolyn_Hansson,Q76848515,female,83,,2019.0
Academic,Caryn_Navy,Q14098,,71,,2011.0
Academic,Cas_Mudde,Q2116277,male,57,,2007.0
Academic,Caspar_René_Gregory,Q215644,male,178,,2007.0
Academic,Catalina_Botero_Marino,Q16727597,female,59,,2013.0
Academic,Benjamin_Harshav,Q16130742,male,96,,2020.0
Academic,Benjamin_Heath_Malkin,Q4888802,male,255,,2007.0
Academic,Prachi_Deshpande,Q104055022,female,52,,2020.0
Academic,Pranas_Skardžius,Q12670101,male,125,,2021.0
Academic,Prem_Lal_Joshi,Q19892247,male,72,,2015.0
Academic,Preston_Barba,Q65936316,male,141,,2019.0
Academic,Preston_King_(academic),Q7241923,male,88,,2013.0
Academic,Prince_Lucien_Campbell,Q23815284,male,163,,2016.0
Academic,Priscila_Uppal,Q7245567,female,50,,2005.0
Academic,Proinsias_Mac_Cana,Q3922843,male,98,,2018.0
Academic,Prospero_Farinacci,Q1062530,male,470,,2006.0
Academic,Prosser_Gifford,Q106258826,male,95,,2020.0
Academic,Prudence_Crandall,Q512490,female,221,,2005.0
Academic,Przemysław_Urbańczyk,Q11828975,male,73,,2020.0
Academic,Psyche_Cattell,Q43173237,female,131,,2017.0
Academic,Pumla_Gobodo-Madikizela,Q1675344,,69,,2007.0
Academic,Pádraig_Ó_Finneadha,Q7264011,male,111,,2012.0
Academic,Péter_Medgyes,Q56232437,,79,,2022.0
Academic,Quandra_Prettyman,Q109541625,female,91,,2021.0
Academic,Quassim_Cassam,Q7269546,,63,,2006.0
Academic,Quentin_Anderson,Q7271245,male,112,,2006.0
Academic,Quentin_Skinner,Q465807,male,84,,2004.0
Academic,Robert_Ludwig_Kahn,Q26698079,male,101,,2020.0
Academic,Robert_M._Citino,Q7347107,male,66,,2006.0
Academic,Robert_M._Crunden,Q7347835,male,84,,2009.0
Academic,Robert_M._Grant_(theologian),Q16082058,,107,,2013.0
Academic,Robert_M._Grant_(theologian),Q53996905,,107,,2013.0
Academic,Robert_M._Shuter,Q23023239,,78,,2015.0
Academic,Robert_M._W._Dixon,Q616447,male,85,,2005.0
Academic,Robert_Mabro,Q26702128,male,90,,2016.0
Academic,Robert_MacGregor_Dawson,Q7347223,male,129,,2010.0
Academic,Robert_McMeeking,Q20046039,,74,,2022.0
Academic,Robert_Michels,Q57314,male,148,,2004.0
Academic,Robert_N._Bellah,Q1353651,,97,,2005.0
Academic,Robert_O'Neill_(historian),Q18510195,male,88,,2007.0
Academic,Robert_O'Neill_(historian),Q7345949,male,88,,2007.0
Academic,Robert_Parker_(historian),Q674711,male,74,,2012.0
Academic,Robert_Pollin,Q7348954,male,74,,2006.0
Academic,Robert_Purcell_(virologist),Q2157414,male,89,,2016.0
Academic,Robert_Senelle,Q2720090,male,106,,2013.0
Academic,Robert_Service_(historian),Q2749421,male,77,,2004.0
Academic,Robert_Seyfarth_(scientist),Q59773542,male,76,,2018.0
Academic,Robert_Sharples_(classicist),Q7349723,male,75,,2012.0
Academic,Robert_Sidney_Maxwell,Q112299746,male,113,,2022.0
Academic,Robert_Sklar,Q7349831,male,88,,2005.0
Academic,Robert_Slavin,Q16885729,,74,,2005.0
Academic,Robert_Spence_(engineer),Q19665961,,91,,2014.0
Academic,Robert_Stalnaker,Q1364893,,84,,2006.0
Academic,Robert_Stebbins_(academic),Q98696689,,86,,2020.0
Academic,Robert_Stumpfl,Q104698530,,120,,2021.0
Academic,Robert_Taft_(chemist_and_author),Q47498789,,130,,2017.0
Academic,Robert_V._Remini,Q7350552,male,103,,2005.0
Academic,Robert_V._Rice,Q19668555,,100,,2015.0
