subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Artist,Nikolaj_Hess,Q13107727,male,0,,2010.0
Artist,Nikolaj_Omersa,Q13653486,male,70,,2012.0
Artist,Nikolaj_Znaider,Q666770,male,49,,2006.0
Artist,Nikolaos_Doxaras,Q1651424,male,0,,2010.0
Artist,Nikolaos_Dragoumis,Q19924975,male,59,,2019.0
Artist,Nikolaos_Gripiotis,Q113184346,male,0,,2022.0
Artist,Nikolaos_Gyzis,Q472237,male,59,,2006.0
Artist,Nikolaos_Kallergis,Q107986687,male,0,,2021.0
Artist,Nikolaos_Kantounis,Q14183314,male,0,,2015.0
Artist,Nikolaos_Koutouzis,Q15895598,male,-211,,2015.0
Artist,Nikolaos_Lampoudis,Q108421807,male,0,,2021.0
Artist,Nikolaos_Lytras,Q1991244,male,44,,2015.0
Artist,Nikolaos_Philanthropinos,Q108495505,male,0,,2021.0
Artist,Nikolaos_Ritzos,Q108143520,male,0,,2021.0
Artist,Nikolaos_Tzafouris,Q18210625,male,0,,2014.0
Artist,Nikolas_Asimos,Q3556315,male,39,,2005.0
Artist,Nikolas_Metaxas,Q7036119,male,36,,2009.0
Artist,Nikolas_Schiller,Q7036123,male,44,,2009.0
Artist,Nikolas_Weinstein,Q113631854,male,0,,2022.0
Artist,Nikolaus_Knüpfer,Q936917,male,0,,2009.0
Artist,Nikolay_Bekryashev,Q7036178,male,65,,2011.0
Artist,Nikolay_Bogdanov-Belsky,Q965013,male,77,,2007.0
Artist,Nikolay_Dubovskoy,Q1349819,male,59,,2005.0
Artist,Nikolay_Khozyainov,Q24343716,male,32,,2016.0
Artist,Nikolay_Koshelev,Q455975,male,184,,2007.0
Artist,Nikolay_Krymov,Q4242904,male,74,,2007.0
Artist,Nikolay_Kudryavtsev,Q4244603,male,74,,2007.0
Artist,Nikolay_Lomtev,Q4266361,male,207,,2016.0
Artist,Nikolay_Madoyan,Q4274329,male,51,,2009.0
Artist,Nikolay_Malynka,Q4277812,male,80,,2013.0
Artist,Nikolay_Maykov,Q4274867,male,79,,2016.0
Artist,Nikolay_Samokish,Q1072114,male,84,,2011.0
Artist,Nikolay_Sauerweid,Q4188478,male,-158,,2007.0
Artist,Nikolay_Semyonovich_Mosolov,Q19921483,male,0,,2021.0
Artist,Nikolay_Sergeevich_Belkov,Q28496492,male,0,,2023.0
Artist,Nikolay_Shilder,Q4523939,male,70,,2006.0
Artist,Nikolay_Shustov,Q4528029,male,34,,2014.0
Artist,Nikolay_Stravinsky,Q16702358,male,38,,2020.0
Artist,Nikolay_Tyrsa,Q6690711,male,55,,2021.0
Artist,Nikoletta_Szőke,Q7036387,female,41,,2006.0
Artist,Nikolija_(singer),Q18123655,female,35,,2014.0
Artist,Nikollë_Nikprelaj,Q1735565,male,64,,2006.0
Artist,Nikolo_Kotzev,Q2708757,male,63,,2005.0
Artist,Nikos_Alexiou,Q16149905,male,0,,2011.0
Artist,Nikos_Christodoulou,Q7036584,male,0,,2006.0
Artist,Nikos_Ganos,Q5156734,male,41,,2013.0
Artist,Nikos_Karvelas,Q382821,male,73,,2006.0
Artist,Nikos_Mihas,Q7036652,male,0,,2008.0
Artist,Nikos_Nikolaou,Q12881558,male,0,,2007.0
Artist,Nikos_Oikonomopoulos,Q2615376,male,40,,2016.0
Artist,Nikos_Papazoglou,Q1305861,male,63,,2011.0
Artist,Nikos_Portokaloglou,Q3557507,male,67,,2015.0
Artist,Nikos_Sofis__Songwriting__1,,,0,,
Artist,Nikos_Vertis,Q722484,male,48,,2008.0
Artist,Nikos_Xilouris,Q1371670,male,44,,2004.0
Artist,Nikos_Xydakis_(musician),Q1992053,male,72,,2004.0
Artist,Nikosthenes,Q275165,male,0,,2006.0
Artist,Nil_Burak,Q463780,female,76,,2007.0
Artist,Nil_Lara,Q1528500,male,0,,2006.0
Artist,Nil_Yalter,Q19502275,female,86,,2014.0
Artist,Niladri_Kumar,Q7036831,male,0,,2009.0
Artist,Nilanjan_Chatterjee,Q21526241,male,0,,2015.0
Artist,Nilbar_Güreş,Q7036926,female,0,,2010.0
Artist,Nilda_Fernández,Q3341867,male,62,,2018.0
Artist,Nile_(singer),Q13561958,female,54,,2009.0
Artist,Nile_Marr,Q92309376,male,32,,2020.0
Artist,Nile_Rodgers,Q497759,male,72,,2003.0
Artist,Niles_Spencer,Q20825697,male,59,,2018.0
Artist,Nilesh_Moharir,Q17318789,male,0,,2014.0
Artist,Nili_Brosh,Q17385687,female,36,,2014.0
Artist,Nilla_Pizzi,Q255593,female,92,,2005.0
Artist,Nilo_Alcala,Q7037141,male,0,,2007.0
Artist,Nils-Olav_Johansen,Q168283,male,58,,2012.0
Artist,Nils-Udo,Q481033,male,0,,2009.0
Artist,Nils_Aas,Q543407,male,71,,2005.0
Artist,Nils_Ahrén,Q3437184,male,51,,2009.0
Artist,Nils_Börge_Gårdh,Q5780091,male,78,,2014.0
Artist,Nils_Dardel,Q1132040,male,55,,2006.0
Artist,Nils_Einar_Vinjor,Q23415769,male,62,,2015.0
Artist,Nils_Eklund,Q5630095,male,97,,2014.0
Artist,Nils_Ericson_(actor),Q5714830,male,74,,2017.0
Artist,Nils_Forsberg,Q5736803,male,92,,2016.0
Artist,Nils_Frahm,Q1493073,male,42,,2011.0
Artist,Nils_Frykdahl,Q13587857,male,0,,2008.0
Artist,Nils_Hallberg,Q1992352,male,89,,2008.0
Artist,Nils_Henrik_Asheim,Q4574721,male,64,,2012.0
Artist,Nils_Jansen,Q16193167,male,65,,2013.0
Artist,Nils_Janson,Q5828315,male,46,,2009.0
Artist,Nils_Kihlberg,Q5908635,male,50,,2015.0
Artist,Nils_Kreuger,Q1915758,male,72,,2010.0
Artist,Nils_Landgren_(musician),Q650668,male,68,,2005.0
Artist,Nils_Larsen_(pianist),Q17119912,male,49,,2019.0
Artist,Nils_Lofgren,Q504954,male,73,,2003.0
Artist,Nils_Lundell,Q5966388,male,54,,2020.0
Artist,Nils_Mathisen,Q11991493,male,65,,2012.0
Artist,Nils_Moritz,Q3358967,male,81,,2012.0
Artist,Nils_Patrik_Johansson,Q33061639,male,57,,2019.0
Artist,Nils_Petter_Molvær,Q738139,male,64,,2005.0
Artist,Nils_Ruzicka,Q1992437,male,51,,2013.0
Artist,Nils_Wahlbom,Q6228784,male,51,,2014.0
Artist,Nils_Wogram,Q686283,male,52,,2006.0
Artist,Nils_Økland_(musician),Q983823,male,63,,2008.0
Artist,Nilson_Lombardi,Q10336913,male,82,,2011.0
Artist,Nilson_Matta,Q4476228,male,0,,2009.0
Artist,Nilufar_Usmonova,Q15055700,female,37,,2015.0
Artist,Nilufar_Yasmin,Q7037478,female,55,,2010.0
Artist,Nilüfer_Verdi,Q6009298,female,0,,2021.0
Artist,Nilüfer_Yanya,Q51138872,female,29,,2019.0
Artist,Nima_A_Rowshan,Q19610103,,39,,
Artist,Nima_Aziminejad,Q14920374,male,46,,2013.0
Artist,Nima_Djama,Q28051504,female,0,,2016.0
Artist,Nima_Fakhrara__Nima_Fakhrara__1,,,41,,
Artist,Nima_Kiann,Q18639992,male,54,,2014.0
Artist,Nima_Rumba,Q13182695,male,50,,2010.0
Artist,Nimal_Mendis,Q7037557,male,81,,2005.0
Artist,Nimco_Happy,Q109479949,female,0,,2021.0
Artist,Nimo_(rapper),Q27877116,male,29,,2019.0
Artist,Nimon_Lokaj,Q16105686,male,0,,2010.0
Artist,Nimrat_Khaira,Q27734999,female,32,,2016.0
Artist,Nimrod_Kamer,Q16730548,male,0,,2013.0
Artist,Nina_(Spanish_singer),Q440138,female,58,,2007.0
Artist,Nina_(musician)__NINA__1,,,41,,
Artist,Nina_Akamu,Q771277,female,0,,2014.0
Artist,Nina_Albright,Q16146007,female,0,,2011.0
Artist,Nina_Ananiashvili,Q253952,female,61,,2005.0
Artist,Nina_Arbore,Q15402320,female,53,,2015.0
Artist,Nina_Assimakopoulos,Q7037846,female,0,,2009.0
Artist,Nina_Baanders-Kessler,Q2201165,female,87,,2013.0
Artist,Nina_Barnett,Q16204669,female,0,,
Artist,Nina_Barr_Wheeler,Q7037854,female,69,,2007.0
Artist,Nina_Bovasso,Q77325087,female,0,,2021.0
Artist,Nina_C._Young,Q19867421,female,40,,2015.0
Artist,Nina_Campbell,Q17563980,female,79,,2007.0
Artist,Nina_Chanel_Abney,Q27970540,female,0,,2016.0
Artist,Nina_Conti,Q7037893,female,51,,2006.0
Artist,Nina_Corti,Q1667994,female,71,,2019.0
Artist,Nina_Danino,Q27050634,female,0,,2017.0
Artist,Nina_Donelli,Q31200193,female,27,,2019.0
Artist,Nina_Dorda,Q4166586,female,92,,2016.0
Artist,Nina_E._Allender,Q15998924,female,84,,2013.0
