subclass,instance,wikiDataID,gender,age,birthYear,publication_year
BusinessPerson,Roger_Enrico,Q7358155,male,72,,2010.0
BusinessPerson,Samuel_Wilson_Rutherford,Q7412950,male,86,,2010.0
BusinessPerson,Sanford_E._Reisenbach,Q19359509,,83,,2015.0
BusinessPerson,Saul_Robbins,Q46942031,,88,,2017.0
BusinessPerson,Betsey_Metcalf_Baker,Q108933689,,81,,2021.0
BusinessPerson,David_G._Mugar,Q5233941,,83,,2005.0
BusinessPerson,John_V._Shields,Q6261680,male,82,,2007.0
BusinessPerson,Joseph_D._Oliver,Q20707607,male,83,,2015.0
BusinessPerson,Julia_Pritt,Q27889664,female,78,,2016.0
BusinessPerson,Patricia_C._Frist,Q20740701,female,82,,2015.0
BusinessPerson,Robert_Gillam,Q22097216,male,72,,2016.0
BusinessPerson,L.A.M._Phelan,Q6456182,male,87,,2023.0
BusinessPerson,Ernest_Duff,Q56885720,male,85,,2018.0
BusinessPerson,Louis_Yaeger,Q18157499,male,82,,2014.0
BusinessPerson,Elijah_Pierson,Q19661518,male,48,,2015.0
BusinessPerson,George_B._Fitch,Q5536546,male,66,,2007.0
BusinessPerson,Thomas_Henry_Blythe,Q87617078,,61,,2020.0
BusinessPerson,Andrew_Kay,Q505576,male,95,,2006.0
BusinessPerson,Malcolm_Lockheed,Q5963958,male,72,,2006.0
BusinessPerson,Siegfried_Kramarsky,Q15454385,,68,,2016.0
BusinessPerson,Bud_Konheim,Q24248271,male,84,,2016.0
BusinessPerson,Burt_Doo,Q5000689,male,83,,2010.0
BusinessPerson,W._McNeil_Lowry,Q112845265,,80,,2022.0
BusinessPerson,William_Duncan_MacMillan_(businessman),Q18645785,,76,,2014.0
BusinessPerson,William_Pennington_(businessman),Q8016769,male,88,,2011.0
BusinessPerson,William_Russell_Kelly,Q16889002,male,93,,2013.0
BusinessPerson,William_du_Pont,Q61841508,male,73,,2017.0
BusinessPerson,Jesse_Shwayder,Q55979149,male,88,,2018.0
BusinessPerson,Eugene_M._Grant,Q51680226,male,100,,2018.0
BusinessPerson,Otto_Frenzel,Q7109591,male,80,,2012.0
BusinessPerson,Gertrude_Seelig_Danziger,Q113772808,female,102,,2022.0
BusinessPerson,Lenon_Hoyte,Q6523064,male,94,,2010.0
BusinessPerson,Harry_Snyder,Q16008100,male,63,,2006.0
BusinessPerson,Henry_D._Sahakian,Q5720118,male,84,,2007.0
BusinessPerson,Henry_S._Hale,Q5727864,male,77,,2011.0
BusinessPerson,J._R._McWane,Q19974925,male,64,,2015.0
BusinessPerson,James_C._Calaway,Q6130671,,87,,2007.0
BusinessPerson,Tench_Ringgold,Q7699550,,67,,2005.0
BusinessPerson,Arlene_Sellers,Q76422434,,83,,2019.0
BusinessPerson,Arthur_L._Parker,Q30123404,male,60,,2017.0
BusinessPerson,Arthur_M._Ratliff,Q16017677,male,83,,2014.0
BusinessPerson,Joe_Smith_(music_industry_executive),Q85771337,male,91,,2019.0
BusinessPerson,John_Abbet_Walls,Q6218020,male,85,,2011.0
BusinessPerson,John_Fang,Q64006247,male,68,,2019.0
BusinessPerson,Syd_Silverman,Q38228084,male,85,,2017.0
BusinessPerson,William_H._Sinclair,Q8010591,,59,,2009.0
BusinessPerson,Michael_Neidorff,Q96775410,male,80,,2020.0
BusinessPerson,Ralf_Marc_Walker,Q63107781,male,63,,2019.0
BusinessPerson,Raymond_S._Troubh,Q7299126,,94,,2008.0
BusinessPerson,Morris_Mirkin,Q49202404,male,67,,2018.0
BusinessPerson,Sarah_Friar,Q107434318,female,52,,2021.0
BusinessPerson,Bill_Franke,Q29150409,male,87,,2017.0
BusinessPerson,David_S._Taylor,Q21063670,,66,,2015.0
BusinessPerson,John_R._Hunting,Q6253885,male,93,,2007.0
BusinessPerson,Robert_C._Wetenhall,Q7342667,male,89,,2007.0
BusinessPerson,Rupert_Jee,Q1779582,male,68,,2005.0
BusinessPerson,Russell_Noftsker,Q7381703,male,82,,2004.0
BusinessPerson,Eliot_Horowitz,Q5361236,male,43,,2012.0
BusinessPerson,Andrew_J._McKenna,Q20684758,male,95,,2015.0
BusinessPerson,Angelia_Trinidad,Q27049085,,34,,2016.0
BusinessPerson,Lisa_Brummel,Q16240870,,94,,2013.0
BusinessPerson,Erik_Bethke,Q5388492,male,52,,2009.0
BusinessPerson,Paul_Ferri,Q7150615,male,87,,2011.0
BusinessPerson,Harvey_Golub,Q5677222,,85,,2005.0
BusinessPerson,Harvey_Meyerhoff,Q65708281,male,97,,2019.0
