subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Cleric,Naim_Ateek,Q36541371,male,0,,2006.0
Cleric,Naim_Ateek,Q365787,male,0,,2006.0
Cleric,Naim_Ateek,Q3667489,female,0,,2006.0
Cleric,Naim_Ateek,Q36696828,female,0,,2006.0
Cleric,Naim_Ateek,Q3700023,male,0,,2006.0
Cleric,Naim_Ateek,Q3707170,male,0,,2006.0
Cleric,Naim_Ateek,Q372979,male,0,,2006.0
Cleric,Naim_Ateek,Q3735180,male,0,,2006.0
Cleric,Naim_Ateek,Q3749875,male,0,,2006.0
Cleric,Naim_Ateek,Q3750248,male,0,,2006.0
Cleric,Naim_Ateek,Q3762950,male,0,,2006.0
Cleric,Naim_Ateek,Q3787475,male,0,,2006.0
Cleric,Naim_Ateek,Q380252,male,0,,2006.0
Cleric,Naim_Ateek,Q38028913,male,0,,2006.0
Cleric,Naim_Ateek,Q381150,male,0,,2006.0
Cleric,Naim_Ateek,Q3828157,male,0,,2006.0
Cleric,Naim_Ateek,Q384481,male,0,,2006.0
Cleric,Naim_Ateek,Q39006287,male,0,,2006.0
Cleric,Naim_Ateek,Q3905158,male,0,,2006.0
Cleric,Naim_Ateek,Q3924125,male,0,,2006.0
Cleric,Naim_Ateek,Q3956341,male,0,,2006.0
Cleric,Naim_Ateek,Q3990628,male,0,,2006.0
Cleric,Naim_Ateek,Q40678801,male,0,,2006.0
Cleric,Naim_Ateek,Q41222,male,0,,2006.0
Cleric,Naim_Ateek,Q41334105,male,0,,2006.0
Cleric,Naim_Ateek,Q4137146,male,0,,2006.0
Cleric,Naim_Ateek,Q41535698,female,0,,2006.0
Cleric,Naim_Ateek,Q41559772,male,0,,2006.0
Cleric,Naim_Ateek,Q41680,male,0,,2006.0
Cleric,Naim_Ateek,Q41970403,,0,,2006.0
Cleric,Naim_Ateek,Q42150367,male,0,,2006.0
Cleric,Naim_Ateek,Q42292958,male,0,,2006.0
Cleric,Naim_Ateek,Q42385706,male,0,,2006.0
Cleric,Naim_Ateek,Q42529728,female,0,,2006.0
Cleric,Naim_Ateek,Q4319611,male,0,,2006.0
Cleric,Naim_Ateek,Q4327587,male,0,,2006.0
Cleric,Naim_Ateek,Q4356263,female,0,,2006.0
Cleric,Naim_Ateek,Q43948085,male,0,,2006.0
Cleric,Naim_Ateek,Q4396313,male,0,,2006.0
Cleric,Naim_Ateek,Q4402160,male,0,,2006.0
Cleric,Naim_Ateek,Q441178,male,0,,2006.0
Cleric,Naim_Ateek,Q441510,female,0,,2006.0
Cleric,Naim_Ateek,Q4459751,female,0,,2006.0
Cleric,Naim_Ateek,Q4462929,male,0,,2006.0
Cleric,Naim_Ateek,Q4477478,male,0,,2006.0
Cleric,Naim_Ateek,Q4491341,male,0,,2006.0
Cleric,Naim_Ateek,Q452159,female,0,,2006.0
Cleric,Naim_Ateek,Q456923,female,0,,2006.0
Cleric,Naim_Ateek,Q458663,female,0,,2006.0
Cleric,Naim_Ateek,Q46176506,male,0,,2006.0
Cleric,Naim_Ateek,Q464072,female,0,,2006.0
Cleric,Naim_Ateek,Q465890,female,0,,2006.0
Cleric,Naim_Ateek,Q4665232,male,0,,2006.0
Cleric,Naim_Ateek,Q467915,female,0,,2006.0
Cleric,Naim_Ateek,Q468761,female,0,,2006.0
Cleric,Naim_Ateek,Q469349,female,0,,2006.0
Cleric,Naim_Ateek,Q46998084,male,0,,2006.0
Cleric,Naim_Ateek,Q47006117,male,0,,2006.0
