subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Economist,Carl_Menger,Q84177,male,81,,2002.0
Economist,Carlo_M._Cipolla,Q454036,male,78,,2006.0
Economist,Amitava_Bose,Q4746920,male,70,,2010.0
Economist,Robert_Mundell,Q219721,male,89,,2002.0
Economist,Robert_Roosa,Q7349372,male,74,,2005.0
Economist,Robert_Triffin,Q1710365,male,82,,2006.0
Economist,Rogelio_Julio_Frigerio,Q7357722,male,92,,2008.0
Economist,Ronald_Coase,Q188113,male,103,,2001.0
Economist,Ronald_Findlay,Q7364858,male,77,,2011.0
Economist,Roy_Harrod,Q554317,male,78,,2005.0
Economist,Rudi_Dornbusch,Q653517,male,60,,2002.0
Economist,Sampie_Terreblanche,Q7410118,male,85,,2006.0
Economist,Samuel_L._Myers_Sr.,Q18631973,male,102,,2014.0
Economist,Samuel_Reuss,Q12775820,male,69,,2020.0
Economist,Sanjaya_Lall,Q7418491,male,65,,2009.0
Economist,Basil_Moore,Q213286,male,85,,2009.0
Economist,Bellikoth_Raghunath_Shenoy,Q4884007,male,73,,2008.0
Economist,Benjamin_Anderson,Q2295122,male,63,,2007.0
Economist,Benjamin_Graham,Q290560,male,82,,2003.0
Economist,Bert_F._Hoselitz,Q86866,male,82,,2011.0
Economist,Birgit_Grodal,Q4916268,female,61,,2007.0
Economist,David_Ames_Wells,Q5230755,male,70,,2005.0
Economist,David_Bradford_(economist),Q1173810,male,66,,2007.0
Economist,David_Chandler_Thomas,Q28968081,male,67,,2017.0
Economist,David_Landes,Q931541,male,89,,2005.0
Economist,Denis_Sargan,Q5257503,male,72,,2010.0
Economist,Dennis_Robertson_(economist),Q971227,male,73,,2003.0
Economist,Alfred_Edwards_(economist),Q105676568,male,87,,2021.0
Economist,Alfred_Müller-Armack,Q67672,male,77,,2006.0
Economist,Holbrook_Working,Q5878786,male,90,,2006.0
Economist,Horace_Bookwalter_Drury,Q31831950,male,80,,2017.0
Economist,Horst_Siebert,Q95410,male,71,,2009.0
Economist,Howard_S._Ellis,Q26769418,male,94,,2016.0
Economist,Hugo_F._Sonnenschein,Q1967627,male,81,,2005.0
Economist,Hukukane_Nikaido,Q11371880,male,78,,2016.0
Economist,Hyman_Minsky,Q704076,male,77,,2006.0
Economist,John_Muth,Q1413380,male,75,,2005.0
Economist,John_R._Meyer,Q6253939,male,82,,2009.0
Economist,John_Ramsay_McCulloch,Q1388348,male,75,,2004.0
Economist,John_Williamson_(economist),Q1347901,male,84,,2004.0
Economist,Joseph_A._Pechman,Q6280843,male,71,,2010.0
Economist,Joseph_S._Davis,Q26769414,male,90,,2017.0
