subclass,instance,wikiDataID,gender,age,birthYear,publication_year
MilitaryPerson,Paul_Barras,Q36541371,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q365787,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3667489,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q36696828,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q3700023,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3707170,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q372979,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3735180,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3749875,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3750248,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3762950,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3787475,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q380252,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q38028913,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q381150,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3828157,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q384481,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q39006287,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3905158,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3924125,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3956341,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q3990628,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q40678801,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q41222,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q41334105,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4137146,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q41535698,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q41559772,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q41680,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q41970403,,74,,2002.0
MilitaryPerson,Paul_Barras,Q42150367,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q42292958,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q42385706,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q42529728,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4319611,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4327587,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4356263,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q43948085,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4396313,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4402160,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q441178,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q441510,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4459751,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4462929,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4477478,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4491341,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q452159,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q456923,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q458663,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q46176506,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q464072,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q465890,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4665232,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q467915,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q468761,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q469349,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q46998084,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q47006117,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q471087,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q47159951,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q47191783,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4723215,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4726625,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4739577,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q47491660,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q47492930,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q47515122,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4752060,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q478401,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q48072612,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4821093,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q485517,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4864205,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q48780802,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q48805088,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4882377,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4893683,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4894069,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q4896407,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q48992139,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q496645,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q497785,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4978888,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q4993211,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q50208167,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q50364543,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q503710,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5040682,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q504929,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q50923789,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q5111997,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q513481,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q52148519,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q52157488,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q52189722,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5220712,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q523915,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5266952,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5296413,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q53092054,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5310417,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5312832,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5334607,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q533639,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5340573,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q53410,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5346939,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q53552652,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q53710058,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q53775591,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5396196,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5411143,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5478594,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q54804978,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q54835855,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q54861454,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q5489712,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5499453,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55032200,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55072449,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55126819,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55134265,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55208129,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q552288,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55231004,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q552875,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55590229,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55620325,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55627372,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q55649583,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55675663,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55721057,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55770967,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5580423,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55836165,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55836304,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55860678,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55899631,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55938413,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55939619,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55944154,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55948435,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55948634,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55948953,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q55950558,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5596368,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q55998397,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q560286,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q56118308,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q56285067,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q56314242,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q565988,female,74,,2002.0
MilitaryPerson,Paul_Barras,Q56707515,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q567872,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5697684,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q5725010,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q57401936,male,74,,2002.0
MilitaryPerson,Paul_Barras,Q57410735,,74,,2002.0
