subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Model,Carmen_Mondragón,Q540953,female,85,,2009.0
Model,Caroline_Bittencourt,Q9697686,female,38,,2019.0
Model,Blaze_Starr,Q542297,female,83,,2004.0
Model,Brian_Bianchini,Q4101362,male,26,,2006.0
Model,Daul_Kim,Q484526,female,20,,2009.0
Model,Reuben_Kee,Q7317475,male,23,,2007.0
Model,Rina_Matsuno,Q11532332,female,19,,2017.0
Model,Viveka_Babajee,Q3465902,female,37,,2010.0
Model,Ruslana_Korshunova,Q232764,female,21,,2007.0
Model,Eliana_Ramos,Q2422205,female,19,,2007.0
Model,Elly_Mayday,Q61988563,female,31,,2019.0
Model,Gia_Allemand,Q5557776,female,30,,2010.0
Model,Gia_Carangi,Q230824,female,26,,2001.0
Model,Anna_Litvinova,Q3559626,female,30,,2013.0
Model,Lili_St._Cyr,Q543198,female,81,,2003.0
Model,Lisa_Fonssagrives,Q256388,female,81,,2005.0
Model,Lise_Tréhot,Q16499050,female,74,,2015.0
Model,Lu_Kanru,Q6694865,male,75,,2011.0
Model,Luisel_Ramos,Q440519,female,22,,2006.0
Model,Madelon_Mason,Q6727062,female,90,,2013.0
Model,Simone_D'Aillencourt,Q29533952,female,87,,2017.0
Model,Stella_Tennant,Q2555308,female,50,,2006.0
Model,Zara_Abid,Q95142568,female,28,,2020.0
Model,Azumi_Muto,Q3545196,female,20,,2007.0
Model,Catya_Sassoon,Q4408942,female,34,,2007.0
Model,Tom_Nicon,Q2671129,male,22,,2010.0
Model,Wilhelmina_Cooper,Q258639,female,41,,2005.0
Model,Agneta_Frieberg,Q4693156,female,26,,2012.0
Model,Ambrose_Olsen,Q2090130,male,25,,2010.0
Model,Ana_Carolina_Reston,Q234914,female,21,,2006.0
Model,Csilla_Molnár,Q1178579,female,17,,2006.0
Model,Darine_Stern,Q5222796,female,47,,2009.0
Model,Eric_Zentner,Q5387813,male,30,,2012.0
Model,Paige_Summers,Q7124733,female,27,,2005.0
Model,Greg_Plitt,Q5606144,male,38,,2007.0
Model,Hayley_Marie_Kohle,Q4227539,female,26,,2012.0
Model,Heather_Bratton,Q445855,female,19,,2006.0
Model,Heather_Stohler,Q4442881,female,29,,2008.0
Model,Hila_Elmalich,Q4531514,female,34,,2011.0
Model,Hiroko_Matsumoto,Q533810,female,67,,2011.0
Model,Isabelle_Caro,Q230438,female,28,,2007.0
Model,Jean_Patchett,Q16015594,female,76,,2014.0
Model,Jeniffer_Viturino,Q6177509,female,18,,2011.0
Model,Jennie_Lee_(dancer),Q6178000,female,62,,2012.0
Model,Audrey_Lindvall,Q4261938,female,24,,2006.0
Model,Charles_Devoe,Q5076845,male,28,,2011.0
Model,Charlotte_Wassef,Q17624687,female,76,,2017.0
Model,Katoucha_Niane,Q433388,female,48,,2008.0
Model,Katy_French,Q2746115,female,24,,2007.0
Model,Kellie_Wilson_(model),Q98566201,female,31,,2020.0
Model,Keriman_Halis_Ece,Q3136148,female,99,,2006.0
Model,Yoshika_Yuhnagi,Q8056092,female,18,,2009.0
Model,Donyale_Luna,Q3036872,female,34,,2006.0
Model,Dorian_Leigh,Q270426,female,91,,2003.0
Model,Mariana_Bridi_Costa,Q2567301,female,21,,2009.0
Model,Igor_Savochkin,Q3148282,male,58,,2017.0
Model,Krissy_Taylor,Q4453753,female,17,,2005.0
Model,Michelle_Monkhouse,Q6837166,female,20,,2011.0
Model,Randy_Johnston_(model),Q7292268,male,20,,2011.0
Model,Reeva_Steenkamp,Q4584302,female,30,,2013.0
Model,Naomi_Sims__Naomi_Sims__1,,,61,,
Model,Cameron_Alborzian,Q5026166,male,57,,2011.0
Model,Cameron_Richardson,Q242451,female,45,,2005.0
Model,Cameron_Russell,Q5026365,female,37,,2006.0
Model,Camila_Alves,Q458809,female,42,,2010.0
Model,Camila_Finn,Q4355481,female,33,,2005.0
Model,Camila_Morrone,Q27449526,female,27,,2016.0
Model,Camille_Hurel,Q27922684,female,26,,2016.0
Model,Camille_Kostek,Q61965500,female,32,,2019.0
Model,Candela_Vetrano,Q2410843,female,33,,2008.0
Model,Candice_Huffine,Q28793855,female,40,,2017.0
Model,Candice_Pinto,Q17612758,female,43,,2013.0
Model,Candice_Swanepoel,Q233981,female,36,,2007.0
Model,Caprice_Bourret,Q113492,female,53,,2004.0
Model,Cara_Delevingne,Q1395624,female,32,,2012.0
Model,Cara_Taylor,Q64009672,female,23,,2019.0
Model,CariDee_English,Q2075077,female,40,,2006.0
Model,Carla_Matadinho,Q5041090,female,42,,2006.0
Model,Carla_Ossa,Q6527958,female,39,,2014.0
Model,Carlson_Twins,Q1053537,,46,,2005.0
Model,Carly_Foulkes,Q5043103,female,36,,2011.0
Model,Carmen_Carrera,Q5043441,trans woman,39,,2011.0
Model,Carmen_Dell'Orefice,Q441530,female,93,,2008.0
Model,Carmen_Dell'Orefice,Q83739541,female,93,,2008.0
Model,Carmen_Kass,Q229566,female,46,,2004.0
Model,Carmen_Solomons,Q61877371,female,33,,2019.0
Model,Carmen_Soo,Q5043596,female,47,,2006.0
