subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Politician,James_Goodridge,Q6134734,male,-124,,2007.0
Politician,James_Goodson,Q26733896,male,-129,,2018.0
Politician,James_Goold_Cutler,Q16030560,male,79,,2009.0
Politician,James_Gopsill,Q6134742,male,61,,2006.0
Politician,James_Gordon_(Mississippi_politician),Q1680464,male,79,,2005.0
Politician,James_Gordon_(New_Brunswick_politician),Q28043369,male,75,,2016.0
Politician,James_Gordon_Hislop,Q21539507,male,77,,2016.0
Politician,"James_Gordon_McIntyre,_Lord_Sorn",Q68574799,male,87,,2023.0
Politician,James_Gordon_Sr.,Q110981391,male,46,,2022.0
Politician,James_Gordon_Taggart,Q6134762,male,0,,2012.0
Politician,James_Goss_(judge),Q18206196,male,71,,2014.0
Politician,James_Gow_(politician),Q15996263,male,80,,2013.0
Politician,"James_Graham,_1st_Duke_of_Montrose",Q2585405,male,-282,,2005.0
Politician,"James_Graham,_2nd_Marquess_of_Montrose",Q16839861,male,-355,,2013.0
Politician,"James_Graham,_3rd_Duke_of_Montrose",Q326693,male,81,,2005.0
Politician,"James_Graham,_4th_Duke_of_Montrose",Q495977,male,75,,2004.0
Politician,"James_Graham,_6th_Duke_of_Montrose",Q6134815,male,76,,2005.0
Politician,"James_Graham,_8th_Duke_of_Montrose",Q335692,male,89,,2004.0
Politician,James_Graham_(North_Carolina_politician),Q1680469,male,0,,2006.0
Politician,James_Graham_(physician),Q14948942,male,57,,2007.0
Politician,James_Graham_(physician),Q433708,male,57,,2007.0
Politician,James_Graham_(speaker),Q60745465,male,-323,,2018.0
Politician,James_Graham_Fair,Q3161114,male,63,,2023.0
Politician,James_Graham_Jenkins,Q6134843,male,87,,2009.0
Politician,James_Graham_Ramsay,Q6134847,male,80,,2007.0
Politician,James_Gralton,Q6134852,male,59,,2009.0
Politician,"James_Grant_(British_Army_officer,_born_1720)",Q9010699,male,0,,2004.0
Politician,James_Grant_(Iowa_politician),Q6134859,male,79,,2004.0
Politician,James_Grant_(Ontario_politician),Q6128535,male,89,,2006.0
Politician,James_Grant_Wilson,Q12975453,male,82,,2006.0
Politician,James_Grassick,Q6134880,male,88,,2009.0
Politician,James_Grattan_(Wicklow_MP),Q26213089,male,71,,2019.0
