subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Presenter,Robert_W._Morgan,Q7350715,male,61,,2006.0
Presenter,Rod_O'Connor_(announcer),Q21605030,,50,,2015.0
Presenter,Roy_Leonard,Q16210442,male,83,,2009.0
Presenter,Roy_Masters_(commentator),Q7373128,male,93,,2005.0
Presenter,Bill_Jackson_(television_personality),Q4909585,male,87,,2006.0
Presenter,Bob_Conners,Q4932120,male,81,,2006.0
Presenter,Bob_Lassiter,Q4933119,male,61,,2005.0
Presenter,Bob_Steele_(broadcaster),Q4934076,male,91,,2006.0
Presenter,Boyet_Sison,Q111632070,male,59,,2022.0
Presenter,Brian_Matthew,Q4964625,male,89,,2005.0
Presenter,Dave_Bookman,Q64373630,,59,,2006.0
Presenter,Dave_Hull,Q5229015,male,86,,2006.0
Presenter,Howie_Chizek,Q5921982,,65,,2006.0
Presenter,John_Peel,Q326542,,65,,2001.0
Presenter,John_Shaw_(broadcaster),Q15693801,male,56,,2014.0
Presenter,John_Walters_(broadcaster),Q6262932,male,62,,2003.0
Presenter,John_Watt_(broadcaster),Q17416281,male,59,,2014.0
Presenter,John_Zacherle,Q15516717,,98,,2004.0
Presenter,Paul_Harvey,Q772302,male,91,,2004.0
Presenter,Pete_Fornatale,Q7171963,,67,,2008.0
Presenter,Petey_Greene,Q7178298,male,53,,2007.0
Presenter,Rhubarb_Jones,Q7321527,male,66,,2005.0
Presenter,Rita_Houston,Q104223643,female,59,,2020.0
Presenter,Robbie_Dale,Q7340875,,81,,2007.0
Presenter,Robert_D._Raiford,Q7343333,male,90,,2006.0
Presenter,Uaneen_Fitzsimons,Q106466094,female,29,,2021.0
Presenter,Vernon_Corea,Q7922095,male,75,,2004.0
Presenter,%22Sunshine%22_Sonny_Payne,Q4540317,male,93,,2010.0
Presenter,Russ_Martin,Q7381177,,61,,2004.0
Presenter,Ruth_Lyons_(broadcaster),Q7383094,female,83,,2006.0
Presenter,Chris_Burrous,Q61855658,,43,,2021.0
Presenter,Chuck_Leonard,Q5115586,male,67,,2006.0
Presenter,Clay_Cole,Q5129853,male,72,,2006.0
Presenter,Clyde_Gilmour,Q5136927,male,85,,2008.0
Presenter,Frank_Harden,Q5487105,male,96,,2011.0
Presenter,Frazier_Thomas,Q5494120,male,67,,2005.0
Presenter,Fred_Allen,Q967454,male,62,,2003.0
Presenter,Gary_Mittelholtz,Q5525604,male,56,,2010.0
Presenter,Gene_Shay,Q5531445,male,85,,2005.0
Presenter,George_Grljusich,Q5539937,,68,,2007.0
Presenter,George_Putnam_(newsman),Q5410067,male,94,,2005.0
Presenter,George_Weber_(radio_personality),Q5546113,male,48,,2007.0
Presenter,Ghislaine_Dupont,Q15127495,female,57,,2013.0
Presenter,Glenn_Riggs,Q19667085,male,68,,2015.0
Presenter,Goodman_Ace,Q5583456,male,83,,2004.0
Presenter,Graham_Knight_(broadcaster),Q5592990,male,60,,2009.0
Presenter,Andrew_Olle,Q4758162,male,48,,2005.0
Presenter,Andy_Thorpe,Q4761403,female,81,,2006.0
Presenter,Leo_Sarkisian,Q15430476,male,97,,2013.0
Presenter,Leyland_brothers,Q6538078,,68,,2004.0
Presenter,Lisa_Shaw_(broadcaster),Q107014863,female,45,,2021.0
Presenter,Lou_Gordon_(journalist),Q6685519,male,60,,2010.0
Presenter,Magi_Dodd,Q13129889,female,44,,2021.0
Presenter,Malcolm_Laycock,Q16018493,male,71,,2007.0
