subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Scientist,Robert_Mills_(physicist),Q547394,male,72,,2003.0
Scientist,Robert_Mitchell_(architect)__Robert_Mitchell__1,,,0,,
Scientist,Robert_Moir,Q79421074,male,58,,2019.0
Scientist,Robert_Mokaya,Q100731362,male,0,,2020.0
Scientist,Robert_Mond,Q3435947,male,157,,2006.0
Scientist,Robert_Montgomery_(physician),Q7347761,male,0,,2012.0
Scientist,Robert_Moody,Q370028,male,83,,2006.0
Scientist,Robert_Moray__Sir_Robert_Moray__1,,,0,,
Scientist,Robert_Morgan_Fink,Q22088672,male,97,,2015.0
Scientist,Robert_Morison__Robert_Morison__1,,,-341,,
Scientist,Robert_Morris_(cryptographer),Q1304547,male,79,,2003.0
Scientist,Robert_Morris_(mathematician),Q21706022,male,0,,2015.0
Scientist,Robert_Moser,Q7347842,male,0,,2024.0
Scientist,Robert_Muldrow,Q15995327,male,86,,2013.0
Scientist,Robert_Mulliken,,,0,,2004.0
Scientist,Robert_Mundell,Q219721,male,89,,2002.0
Scientist,Robert_Murphy_(mathematician),Q18734466,male,0,,2016.0
Scientist,Robert_Myers_(physicist),Q7347911,male,0,,2005.0
Scientist,Robert_N._Butler,Q465106,male,83,,2006.0
Scientist,Robert_N._Clayton,Q10363198,male,87,,2016.0
Scientist,Robert_N._Hall,Q1351884,male,97,,2006.0
Scientist,Robert_N._Trebits,Q7347938,male,0,,2012.0
Scientist,Robert_Naeye,Q108704126,male,0,,2021.0
Scientist,Robert_Nasmyth,Q30556764,male,79,,2017.0
Scientist,Robert_Nason_Beck,Q7347959,male,0,,2008.0
Scientist,Robert_Nederpelt_Lazarom,,,0,,
Scientist,Robert_Nesheim,Q7347997,male,0,,2008.0
Scientist,Robert_Neubauer,Q7348001,male,74,,2012.0
Scientist,Robert_Noble,Q2157975,male,80,,2012.0
Scientist,Robert_Nola,Q105243708,male,82,,2021.0
Scientist,Robert_Nosofsky,Q43325410,male,0,,2017.0
Scientist,Robert_O._Becker,Q2158400,male,101,,2010.0
Scientist,Robert_O._Pihl,Q20006876,male,85,,2015.0
Scientist,Robert_O._Ritchie,Q30140460,male,0,,2017.0
Scientist,Robert_Odoni,,,0,,
Scientist,Robert_Ogden_Doremus,Q2158412,male,82,,2011.0
Scientist,Robert_Oppenheimer,,,0,,2015.0
Scientist,Robert_Osserman,Q981938,male,85,,2008.0
Scientist,Robert_Oswald_Moon,Q16066658,male,88,,2014.0
Scientist,Robert_P._Celarier,Q7348211,male,-65,,2010.0
Scientist,Robert_P._Goldberg,Q18027433,male,50,,2014.0
Scientist,Robert_P._Gordon,Q7344858,male,79,,2013.0
Scientist,Robert_P._Higgins,Q3436025,male,92,,2013.0
Scientist,Robert_P._Hoyt,Q7348213,male,56,,2008.0
Scientist,Robert_P._Kirshner,,,0,,2011.0
Scientist,Robert_P._Lipton,Q102188261,male,0,,2022.0
Scientist,Robert_P._Madden,Q7348223,male,-10,,2009.0
Scientist,Robert_P._Multhauf,Q7348228,male,0,,2012.0
Scientist,Robert_P._Wagner,Q28203443,male,106,,2017.0
Scientist,Robert_Paxton,Q1229212,male,92,,2006.0
Scientist,Robert_Pego,,,0,,
Scientist,Robert_Peirson,Q33026254,male,70,,2017.0
Scientist,Robert_Penner,Q87167335,male,0,,2019.0
Scientist,Robert_Pepper,Q7348832,male,76,,2011.0
Scientist,Robert_Perloff,Q1720624,male,92,,2005.0
Scientist,Robert_Phelps,Q6487139,male,87,,2011.0
Scientist,Robert_Plomin,Q3401334,male,0,,2006.0
Scientist,Robert_Plonsey,Q7348932,male,91,,2009.0
Scientist,Robert_Pohl,Q85706,male,0,,2019.0
Scientist,Robert_Pollack_(biologist),Q7348949,male,84,,2006.0
Scientist,Robert_Pound,Q321231,male,91,,2008.0
Scientist,Robert_Prehoda,Q7349011,male,78,,2010.0
Scientist,Robert_Prim,,,0,,2007.0
Scientist,Robert_Proust,Q2410298,male,62,,2018.0
Scientist,Robert_R._Caldwell,Q3436135,male,0,,2017.0
Scientist,Robert_R._Coats,Q7349092,male,85,,2006.0
Scientist,Robert_R._Gaines,Q96361600,male,0,,2020.0
Scientist,Robert_R._Korfhage,Q7349104,male,94,,2007.0
Scientist,Robert_R._Reisz,Q7349117,male,0,,2007.0
Scientist,Robert_R._Shannon,Q7349122,male,0,,2009.0
Scientist,Robert_R._Sokal,Q2158553,male,86,,2008.0
Scientist,Robert_R._Squires,Q18738873,male,71,,2014.0
Scientist,Robert_R._Wagner,Q26701493,male,78,,2016.0
Scientist,Robert_R._Williams,Q901249,male,79,,2007.0
Scientist,Robert_R._Wilson,Q705994,male,86,,2004.0
Scientist,Robert_Raguso,Q61948939,male,59,,2020.0
Scientist,Robert_Ramsay_Wright,Q7349157,male,81,,2009.0
Scientist,Robert_Ranulph_Marett,Q1381109,male,0,,2006.0
Scientist,Robert_Raven,Q2273486,male,0,,2009.0
Scientist,Robert_Raynolds_McMath,Q7349187,male,133,,2004.0
Scientist,Robert_Recorde,Q318192,male,0,,2003.0
Scientist,Robert_Redfield,Q1773328,male,61,,2005.0
Scientist,Robert_Remak,Q62088,male,209,,2006.0
Scientist,Robert_Remak_(mathematician),Q76220,male,136,,2010.0
Scientist,Robert_Remez,Q7349236,male,0,,2006.0
Scientist,Robert_Rennaker,Q88038354,male,0,,2022.0
Scientist,Robert_René_Kuczynski,Q91913,male,71,,2006.0
Scientist,Robert_Resnick,Q8214150,male,91,,2006.0
Scientist,Robert_Retherford,Q7349244,male,0,,2012.0
Scientist,Robert_Richard_Anstice,Q18300375,male,40,,2016.0
Scientist,Robert_Richardson_Sears,Q7349279,male,116,,2009.0
Scientist,Robert_Ricklefs,Q1267340,male,81,,2008.0
Scientist,Robert_Ricks,Q22280029,male,0,,2011.0
Scientist,Robert_Ridgway,Q940473,male,79,,2004.0
Scientist,Robert_Ritt,,,0,,
Scientist,Robert_Ritter,Q68643,male,123,,2006.0
Scientist,Robert_Robinson_(organic_chemist),Q49351,male,0,,2018.0
Scientist,Robert_Rodriguez_(physician),Q91005563,male,0,,2020.0
Scientist,Robert_Rohde,Q16735282,male,0,,2014.0
Scientist,Robert_Rosen_(biologist),Q3736628,male,64,,2003.0
Scientist,Robert_Rosen_(theoretical_biologist),,,0,,2021.0
Scientist,Robert_Rosenthal_(psychologist),Q1365573,male,91,,2006.0
