subclass,instance,wikiDataID,gender,age,birthYear,publication_year
SportsManager,Norbert_Meier,Q497391,male,66,,2005.0
SportsManager,Norbert_Mészáros,Q722952,male,44,,2008.0
SportsManager,Norbert_Niță,Q12736875,male,52,,2015.0
SportsManager,Norbert_Schlegel,Q1997181,male,63,,2009.0
SportsManager,Norbert_Tyrajski,Q11792841,male,49,,2021.0
SportsManager,Norbert_Wagner_(football_manager),Q104840316,male,85,,2020.0
SportsManager,Norberto_Acosta,Q7050391,male,48,,2012.0
SportsManager,Norberto_Huezo,Q655797,male,68,,2007.0
SportsManager,Norberto_Höfling,Q2525522,male,81,,2008.0
SportsManager,Norberto_Paparatto,Q7050417,male,40,,2007.0
SportsManager,Norberto_Peluffo,Q371486,male,66,,2008.0
SportsManager,Norberto_Raffo,Q7050420,male,69,,2007.0
SportsManager,Norberto_Scoponi,Q2732596,male,63,,2007.0
SportsManager,Norberto_Yácono,Q1469587,male,105,,2008.0
SportsManager,Nordine_Assami,Q7050784,male,37,,2008.0
SportsManager,Nordine_Ben_Ali,Q3343605,male,77,,2009.0
SportsManager,Norhafiz_Zamani_Misbah,Q3064840,male,43,,2007.0
SportsManager,Norihiro_Satsukawa,Q1254364,male,52,,2010.0
SportsManager,Norio_Omura,Q2427349,male,55,,2006.0
SportsManager,Norio_Sasaki,Q1321232,male,66,,2011.0
SportsManager,Norio_Tsukitate,Q11603518,male,64,,2015.0
SportsManager,Noritada_Saneyoshi,Q1440389,male,52,,2010.0
SportsManager,Norizan_Bakar,Q3497714,male,63,,2007.0
SportsManager,Norm_Gillespie,Q39046895,male,0,,2017.0
SportsManager,Norman_Bell,Q10448984,male,69,,2008.0
SportsManager,Norman_Bodell,Q10419100,male,86,,2007.0
SportsManager,Norman_Bullock,Q7052022,male,70,,2006.0
SportsManager,"Norman_Christie_(footballer,_born_1925)",Q7052065,male,85,,2011.0
SportsManager,Norman_Clarke_(footballer),Q28012562,male,82,,2016.0
SportsManager,Norman_Corner,Q7052103,male,68,,2010.0
SportsManager,Norman_Creek_(footballer),Q7052119,male,82,,2008.0
SportsManager,Norman_Curtis,Q7052127,male,85,,2009.0
SportsManager,Norman_Dodgin,Q7052158,male,103,,2008.0
SportsManager,Norman_Fegidero,Q16728940,male,54,,2014.0
SportsManager,Norman_Girigorie,Q19560574,male,0,,2015.0
SportsManager,Norman_Hunter_(footballer),Q430746,male,77,,2004.0
SportsManager,Norman_Kirkman,Q7052447,male,75,,2012.0
SportsManager,Norman_Lawson,Q10523831,male,-13,,2011.0
SportsManager,Norman_Lees,Q16246148,male,76,,2014.0
SportsManager,Norman_Low,Q7052515,male,80,,2008.0
SportsManager,Norman_Mapeza,Q3343808,male,52,,2007.0
SportsManager,Norman_Oakley,Q27949798,male,77,,2016.0
SportsManager,Norman_Piper,Q7052695,male,76,,2007.0
SportsManager,Norman_Rigby,Q32945151,male,78,,2017.0
SportsManager,"Norman_Smith_(footballer,_born_December_1897)__Norman_Smith__1",,,81,,
SportsManager,Nosrat_Irandoost,Q5871389,male,75,,2011.0
SportsManager,Nour_Benzekri,Q107381501,male,0,,2021.0
SportsManager,Nourdin_Boukhari,Q2143833,male,44,,2005.0
SportsManager,Noureddine_Bousnina,Q58174607,male,61,,2018.0
SportsManager,Noureddine_Gharsalli,Q18686331,male,69,,2014.0
SportsManager,Noureddine_Ould_Ali,Q58175019,male,52,,2018.0
SportsManager,Noureddine_Saâdi,Q7063903,male,71,,2012.0
SportsManager,Noureddine_Zekri,Q10507331,male,0,,2010.0
SportsManager,Nourredine_El_Ouardani,Q112204798,male,46,,2022.0
SportsManager,Nova_Arianto,Q7064018,male,46,,2010.0
SportsManager,Novi_Marojević,Q7064850,male,51,,2006.0
SportsManager,Novoa_(Spanish_footballer),Q3328462,male,80,,2020.0
SportsManager,Nozomu_Kato,Q248500,male,55,,2008.0
SportsManager,Noël_Sinibaldi,Q3345889,male,83,,2018.0
SportsManager,Noël_Tosi,Q3345895,male,65,,2006.0
SportsManager,Noël_Vidot,Q3345894,male,62,,2014.0
SportsManager,Ntiero_Effiom,Q18030450,male,68,,2014.0
SportsManager,Nuengrutai_Srathongvian,Q18050960,female,52,,2019.0
SportsManager,Numa_Andoire,Q736358,male,86,,2009.0
SportsManager,Numon_Khasanov,Q1708499,male,53,,2012.0
SportsManager,"Nuno_Campos_(footballer,_born_1975)",Q109013057,male,49,,2021.0
SportsManager,Nuno_Dias,Q65162722,male,52,,2020.0
SportsManager,Nuno_Espírito_Santo,Q372372,male,50,,2006.0
SportsManager,"Nuno_Gomes_(footballer,_born_1978)",Q7069884,male,46,,2008.0
SportsManager,Nuno_Manta_Santos,Q29866532,male,46,,2017.0
SportsManager,Nuno_Marques_(footballer),Q11992748,male,43,,2018.0
SportsManager,Nuno_Raquete,Q109230887,male,53,,2021.0
SportsManager,"Nuno_Santos_(footballer,_born_1978)",Q7069893,male,46,,2010.0
SportsManager,Nuno_Valente,Q311968,male,50,,2004.0
SportsManager,Nunzio_Zavettieri,Q3879522,male,57,,2012.0
SportsManager,Nur_Mustafa_Gülen,Q16729491,male,64,,2014.0
SportsManager,Nurbiy_Khakunov,Q7070066,male,70,,2009.0
SportsManager,Nurcan_Çelik,Q62885201,female,44,,2019.0
SportsManager,Nuri_Şahin,Q75857,male,36,,2005.0
SportsManager,Nurmat_Mirzabayev,Q7070155,male,52,,2009.0
SportsManager,Nurullah_Sağlam,Q2005435,male,58,,2006.0
SportsManager,Nuruzzaman_Nayan,Q104717029,male,44,,2021.0
SportsManager,Nusret_Muslimović,Q65589642,male,49,,2019.0
SportsManager,Nándor_Bányai,Q853237,male,75,,2019.0
SportsManager,Nándor_Hidegkuti,Q166035,male,80,,2004.0
SportsManager,Nándor_Lengyel,Q13104409,male,54,,2020.0
SportsManager,Nélito,Q29480197,male,66,,2017.0
SportsManager,Nélson_Veríssimo,Q976320,male,47,,2007.0
SportsManager,Néstor_Clausen,Q688933,male,62,,2006.0
SportsManager,Néstor_Craviotto,Q2436152,male,61,,2007.0
SportsManager,Néstor_Gorosito,Q696463,male,60,,2006.0
SportsManager,Néstor_Isella,Q9051267,male,78,,2011.0
SportsManager,Néstor_Lorenzo,Q655975,male,58,,2006.0
SportsManager,Néstor_Matamala,Q7071469,male,84,,2010.0
SportsManager,Néstor_Otero,Q6047471,male,69,,2022.0
SportsManager,Néstor_Rossi,Q600980,male,82,,2007.0
SportsManager,Néstor_Valdés,Q114049463,male,85,,2022.0
SportsManager,Nílton_de_Sordi,Q721984,male,82,,2007.0
SportsManager,Obby_Kapita,Q17635913,male,-22,,2018.0
SportsManager,Obdulio_Varela,Q471743,male,79,,2005.0
SportsManager,Obed_Mlotsa,Q18749518,male,0,,2015.0
SportsManager,Obren_Čučković,Q21181036,male,41,,2015.0
SportsManager,Oceano_Cruz,Q2288869,male,62,,2005.0
SportsManager,Octavian_Chihaia,Q1058135,male,43,,2006.0
SportsManager,Octavian_Dincuță,Q51280470,male,71,,2022.0
SportsManager,Octavian_Grigore,Q2013835,male,60,,2009.0
SportsManager,"Octavian_Popescu_(footballer,_born_1938)",Q7076794,male,86,,2011.0
SportsManager,Octavio_Becerril,Q1532743,male,60,,2021.0
SportsManager,Octavio_Mora,Q7076821,male,59,,2010.0
SportsManager,Octavio_Valdez,Q1888657,male,51,,2008.0
SportsManager,Octavio_Vial,Q919543,male,106,,2011.0
SportsManager,Octavio_Zambrano,Q1223155,male,66,,2004.0
SportsManager,Octávio_Machado,Q7077130,male,75,,2005.0
SportsManager,Odair_Hellmann,Q45202501,male,47,,2017.0
SportsManager,Odd_Berg_(footballer)__Odd_Berg__1,,,72,,
SportsManager,Oddvar_Hansen,Q981705,male,90,,2011.0
SportsManager,Oddvar_Richardsen,Q7002739,male,60,,2021.0
