subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Spy,Joe_Savoldi,Q6212199,male,66,,2007.0
Spy,Caleb_Brewster,Q16230285,,277,,2013.0
Spy,Carmelo_Borg_Pisani,Q1074175,male,109,,2007.0
Spy,Robert_Soblen,Q269028,male,124,,2005.0
Spy,Robert_Townsend_(spy),Q7350444,,271,,2009.0
Spy,Roger_Hollis,Q3439081,,119,,2004.0
Spy,Roman_Czerniawski,Q3440842,male,114,,2004.0
Spy,Roy_Rhodes,Q84607062,male,107,,2020.0
Spy,Rudi_Mittig,Q99092,male,99,,2005.0
Spy,Rudolf_Abel,Q181538,male,121,,2004.0
Spy,Samuel_Loring_Morison,Q7412043,male,80,,2005.0
Spy,Sarah_Bradlee_Fulton,Q3473326,female,284,,2012.0
Spy,Beatrix_Pospíšilová_Čelková,Q61997418,female,99,,2022.0
Spy,David_O._Dodd,Q3018570,male,178,,2008.0
Spy,David_Spedding,Q1176693,male,81,,2004.0
Spy,David_Venable,Q27663314,male,46,,2016.0
Spy,Despina_Storch,Q5264987,female,129,,2011.0
Spy,Howard_Bane,Q94579232,male,97,,2020.0
Spy,Howard_Burnham,Q5919219,male,154,,2010.0
Spy,Howard_Smith_(diplomat),Q1631811,male,105,,2005.0
Spy,Hugh_Archer_(Royal_Navy_officer),Q108889629,male,145,,2021.0
Spy,Hugh_Sinclair,Q5932688,male,151,,2004.0
Spy,John_Rennie_(MI6_officer),Q940564,,110,,2004.0
Spy,John_Scarlett,Q1701687,male,76,,2004.0
Spy,John_Sinclair_(British_Army_officer),Q6218628,male,127,,2005.0
Spy,John_Surratt,Q3182545,male,180,,2006.0
Spy,John_Wallinger,Q6262815,male,155,,2008.0
Spy,Jonas_Hawkins,Q16931258,,272,,2014.0
Spy,Juan_Pujol_García,Q403394,male,112,,2001.0
Spy,Judith_Coplon,Q6303353,female,103,,2005.0
Spy,Patrick_Walker_(MI5_officer),Q7147805,,92,,2005.0
Spy,Paul_Crouch_(activist),Q24845977,,121,,2016.0
Spy,Paul_Dukes,Q3371126,,135,,2008.0
Spy,Percy_Sillitoe,Q974042,male,136,,2005.0
Spy,Peter_Boughey,Q19839922,male,113,,2015.0
Spy,Peter_Tazelaar,Q2432606,male,104,,2012.0
Spy,Richard_Cottam,Q5881140,male,100,,2020.0
Spy,Richard_Dearlove,Q3430698,male,79,,2004.0
Spy,Richard_Tomlinson,Q3431277,male,61,,2004.0
Spy,Robert_Baer,Q1322900,,72,,2005.0
Spy,Robert_Bunch,Q2156638,male,204,,2018.0
Spy,Robert_Hanssen,Q381054,male,80,,2003.0
Spy,Vernon_Kell,Q9368439,,151,,2005.0
Spy,Victor_Perlo,Q4351438,male,112,,2005.0
Spy,Viktor_Abakumov,Q360758,male,116,,2004.0
Spy,Virginia_Hall,Q2198070,female,118,,2005.0
Spy,Vitaly_Nuikin,Q84725149,,85,,2020.0
Spy,Vitaly_Shlykov,Q4525478,,90,,2012.0
Spy,Vladimir_Lokhov,Q84725143,male,100,,2020.0
Spy,Vladimir_Vetrov,Q768890,,92,,2005.0
Spy,Mata_Hari,Q82180,,148,,2002.0
Spy,Maurice_Oldfield,Q6793401,male,109,,2004.0
Spy,Maxim_Lieber,Q6795598,male,127,,2011.0
Spy,Melita_Norwood,Q463784,female,112,,2005.0
Spy,Rutledge_P._Hazzard,Q48817084,female,99,,2018.0
Spy,Christopher_Curwen,Q5112177,male,95,,2004.0
Spy,Claude_Dansey,Q2267269,male,148,,2006.0
Spy,Colin_Figures,Q774036,male,99,,2004.0
Spy,Colin_McColl,Q5145351,male,92,,2004.0
Spy,Edward_Kerling,Q100769989,,115,,2020.0
Spy,Edward_Lee_Howard,Q5344097,male,73,,2005.0
Spy,Eli_Cohen,Q223311,male,100,,2003.0
Spy,Elizabeth_Bentley,Q537842,female,116,,2005.0
Spy,Elizabeth_Zarubina,Q4187595,,124,,2005.0
Spy,Enoch_Crosby,Q5379283,,274,,2009.0
Spy,Frank_Bossard,Q5485400,male,112,,2009.0
Spy,František_Moravec,Q262103,,129,,2007.0
Spy,François_van_'t_Sant,Q2029707,male,141,,2016.0
Spy,Frederick_Wistar_Morris_Janney,Q29441096,male,105,,2017.0
Spy,George_Koval,Q460016,male,111,,2007.0
Spy,George_W._Cave,Q5537763,male,95,,2010.0
Spy,Gevork_Vartanian,Q376495,male,100,,2008.0
Spy,Morris_Cohen_(spy),Q2030240,male,114,,2005.0
Spy,Mustafa_Golubić,Q4142422,male,135,,2016.0
Spy,Myra_Soble,Q6948129,female,120,,2005.0
Spy,Nadav_Argaman,Q22764255,male,64,,2016.0
Spy,Nahum_Admoni,Q1367853,male,95,,2006.0
Spy,Thomas_Knowlton,Q7611100,male,284,,2005.0
Spy,Oscar_C._Pfaus,Q82484047,male,123,,2020.0
Spy,Anthony_Blunt,Q508392,male,117,,2003.0
Spy,Antony_Duff,Q708430,male,104,,2005.0
Spy,Leopold_Trepper,Q511399,male,120,,2003.0
Spy,Lona_Cohen,Q974353,female,111,,2005.0
Spy,Louis_F._Budenz,Q15500169,male,133,,2005.0
Spy,Lyudmila_Nuikina,Q84725247,female,88,,2020.0
Spy,Slobodan_Mitrić,Q3228924,,76,,2021.0
Spy,Stella_Rimington,Q464976,female,89,,2003.0
Spy,Stewart_Menzies,Q2811920,male,134,,2003.0
Spy,Stig_Bergling,Q2340465,male,87,,2006.0
Spy,Yuri_Nosenko,Q31515,male,97,,2007.0
Spy,Yuri_Shvets,Q1713928,male,71,,2006.0
