subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Writer,'Asta_Bowen,Q17644689,female,0,,2014.0
Writer,'Nathan_Burgoine,Q18921493,male,0,,2015.0
Writer,'Tākou'_Himiona_Tūpākihi_Kāmira,Q107070649,,0,,2012.0
Writer,10_Story_Fantasy,Q7699326,,0,,2013.0
Writer,2000_Qatar_Open_–_Doubles,Q2121475,,0,,2012.0
Writer,2015–16_Bury_F.C._season,Q19870313,,0,,2015.0
Writer,3P_Learning,,,0,,
Writer,A.B.C._Whipple,Q4647023,,95,,2008.0
Writer,A.B._Facey,,,0,,2008.0
Writer,A.C._Crispin,,,0,,2005.0
Writer,A.C._Grayling,,,0,,2007.0
Writer,A.E._Hotchner,,,0,,2006.0
Writer,A.E._Moorat,,,0,,
Writer,A.G._Lawrence,,,0,,
Writer,A.G._Visser,Q510479,male,50,,2023.0
Writer,A.J._Gregory,,,0,,
Writer,A.J._Healy,,,0,,2016.0
Writer,A.J._Tata,,,0,,2015.0
Writer,A.M._Edwards,,,0,,
Writer,A.M._Jones,,,0,,2006.0
Writer,A.R._Akela,Q16147263,male,64,,2013.0
Writer,A.R_Capetta,Q114315024,,0,,
Writer,A._A._Attanasio,Q278510,male,73,,2005.0
Writer,A._A._Gill,Q4647471,male,62,,2005.0
Writer,A._A._Milne,Q207036,male,74,,2001.0
Writer,A._A._Phillips,Q4647484,male,85,,2006.0
Writer,A._Ayyappan,Q4647538,,61,,2007.0
Writer,"A._B._Guthrie,_Jr.",Q278543,male,0,,2016.0
Writer,A._B._Spellman,Q278551,male,89,,2008.0
Writer,A._B._Yehoshua,Q329758,male,86,,2005.0
Writer,A._Bates,Q4647583,female,0,,2012.0
Writer,A._Bertram_Chandler,Q278573,male,72,,2003.0
Writer,A._Boyd_Correll,,,0,,
Writer,A._C._Crispin,,,0,,2005.0
Writer,A._C._Greene,Q4647056,male,79,,2012.0
Writer,A._C._Wise,Q87658659,female,0,,2020.0
Writer,A._Dakshinamurthy,Q4647686,male,0,,2008.0
Writer,A._Diedrich_Wackerbarth,Q16943906,male,71,,2020.0
Writer,A._E._Coppard,Q4647724,male,0,,2004.0
Writer,A._E._Housman,Q351410,male,77,,2002.0
Writer,A._E._Stallings,Q4647732,female,56,,2006.0
Writer,A._E._Van_Vogt,,,0,,2003.0
Writer,A._E._W._Mason,Q382786,male,83,,2004.0
Writer,A._E._van_Vogt,Q315059,male,88,,2001.0
Writer,A._F._Cross,Q4647163,male,0,,2006.0
Writer,A._Flowerdew,Q55233953,female,-194,,2018.0
Writer,A._G._Macdonell,Q4647799,male,0,,2005.0
Writer,A._G._Porta,Q2857406,male,0,,2013.0
Writer,A._Galik,,,0,,
Writer,A._Grove_Day,Q55418772,male,-30,,2018.0
Writer,A._H._Almaas,Q4647826,male,0,,2005.0
Writer,A._H._Salunkhe,Q55771,male,0,,2008.0
Writer,A._Hyatt_Verrill,,,0,,2006.0
Writer,A._I._Bezzerides,Q1786639,male,99,,2005.0
Writer,A._Igoni_Barrett,Q4647875,male,45,,2007.0
Writer,A._J._B._Johnston,Q15432102,male,0,,2012.0
Writer,A._J._Bermudez,Q112875113,female,0,,2022.0
Writer,A._J._Butcher,Q4647894,male,0,,2006.0
Writer,A._J._Carothers,Q4652092,male,76,,2006.0
Writer,A._J._Cronin,Q179059,male,85,,2003.0
Writer,A._J._Dalton,Q16201036,male,54,,2013.0
Writer,A._J._Finn,Q56084685,male,45,,2019.0
Writer,A._J._Hartley,Q1987959,male,60,,2008.0
Writer,A._J._Healy,Q4647205,male,55,,2010.0
Writer,A._J._Langguth,Q4647938,male,0,,2009.0
Writer,A._J._M._Smith,Q4647944,male,78,,2005.0
Writer,A._J._Quinnell,Q278816,male,65,,2004.0
Writer,A._J._Sass,Q108036804,non-binary,0,,2021.0
Writer,A._J._Smith_(writer),Q27037222,male,0,,2016.0
Writer,A._K._Dewdney,Q93036,male,0,,2003.0
Writer,A._K._Ramanujan,Q3519662,male,64,,2005.0
Writer,A._L._Kennedy,Q278872,female,59,,2004.0
Writer,A._L._Kennedy,Q75267525,male,59,,2004.0
Writer,A._L._McCann,Q4648075,male,0,,2010.0
Writer,A._L._Rees,Q19842930,male,0,,2015.0
Writer,A._L._Rowse,Q335484,male,94,,2003.0
Writer,A._Lee_Martinez,Q278924,male,51,,2008.0
Writer,A._M._Dellamonica,Q4648116,non-binary,56,,2006.0
Writer,A._M._Homes,Q278953,female,63,,2005.0
Writer,A._M._Howell,Q110512886,female,0,,2022.0
Writer,A._M._Klein,Q2778027,male,63,,2005.0
Writer,A._M._Muhammed,Q15438877,male,0,,2010.0
Writer,A._M._W._Stirling,Q4648153,female,100,,2008.0
Writer,A._M._Williamson,Q4726025,female,75,,2006.0
Writer,A._Madhavan,Q31320750,male,87,,2018.0
Writer,A._Madhaviah,Q12978802,male,53,,2021.0
Writer,A._Manette_Ansay,Q4648168,female,0,,2006.0
Writer,A._Mark_Ratner,Q4648174,male,0,,2008.0
Writer,A._Maurice_Low,Q105718235,male,69,,2021.0
Writer,A._Merritt,Q330376,male,59,,2003.0
Writer,A._Minor_Griswold,Q27097119,male,57,,2016.0
Writer,A._N._Jani,Q98664661,male,82,,2020.0
Writer,A._N._Krishna_Rao,Q4648201,male,63,,2006.0
Writer,A._N._Murthy_Rao,Q4648200,male,103,,2006.0
Writer,A._N._Wilson,Q4648203,male,74,,2004.0
Writer,A._N._Wilson,Q60734842,,74,,2004.0
Writer,A._P._Younger,Q4648245,male,41,,2007.0
Writer,A._R._Ammons,Q279077,male,75,,2005.0
Writer,A._R._Gurney,Q328627,male,87,,2004.0
Writer,A._R._Krishnashastry,Q4648291,male,78,,2006.0
Writer,A._R._Morlan,Q27999692,female,66,,2019.0
Writer,A._R._Pillai,Q4648300,male,59,,2007.0
Writer,A._R._Raja_Raja_Varma,Q3595875,male,0,,2009.0
Writer,A._R._Taylor,Q15994777,male,80,,2013.0
Writer,A._R._Venkatachalapathy,Q4648317,male,0,,2009.0
Writer,A._S._Byatt,Q232417,female,88,,2003.0
Writer,A._S._J._Tessimond,Q13681687,male,60,,2004.0
Writer,A._S._King,Q4647377,female,54,,2011.0
Writer,A._S._M._Hutchinson,Q4800389,male,92,,2005.0
Writer,A._S._Patrić,Q26710834,male,0,,2016.0
Writer,A._S._T._Fisher,Q14945421,male,0,,2013.0
Writer,A._Samad_Said,Q1089525,male,89,,2009.0
Writer,A._Santha_Kumar,Q16773545,male,0,,2014.0
Writer,A._Scott_Berg,Q15496884,male,75,,2006.0
Writer,A._Singaravelu_Mudaliar,Q18645924,male,0,,2014.0
Writer,A._Susan_Williams,,,0,,
Writer,A._T._Greenblatt,Q98915176,female,0,,2020.0
Writer,A._W._Merrick,Q521504,male,62,,2005.0
Writer,A._Walton_Litz,Q4648532,male,0,,2007.0
Writer,A._Wilson_Greene,Q59180196,male,75,,2018.0
Writer,A._Y._Campbell,Q4648545,male,0,,2004.0
Writer,A._de_Herz,Q21062239,male,49,,2015.0
Writer,A._den_Doolaard,Q2191825,male,93,,2011.0
Writer,AJ_Odasso,Q113357086,non-binary,0,,2022.0
Writer,AJ_Pearce,Q108809590,female,0,,2021.0
Writer,A_Certain_Ambiguity,Q16247350,,0,,2009.0
Writer,A_Change_of_Hobbit,Q16858945,,0,,2014.0
Writer,A_Dark_Traveling,Q4656252,,0,,2011.0
Writer,A_Talent_for_War,Q4659971,,0,,2007.0
Writer,Aadan-Gurey_Maxamed_Cabdille,Q19666903,male,-104,,2015.0
Writer,Aadhavan_Sundaram,Q4661129,male,45,,2010.0
Writer,Aage_Borchgrevink,Q4661195,male,0,,2010.0
Writer,Aagot_Vinterbo-Hohr,Q4661248,female,88,,2010.0
Writer,Aakar_Patel,Q111520921,male,0,,2022.0
Writer,Aalok_Shrivastav,Q109984524,male,53,,2021.0
Writer,Aaly_Tokombaev,Q4661422,male,84,,2010.0
Writer,Aamina_Ahmad,Q111523370,female,0,,2022.0
Writer,Aanchal_Malhotra,Q60467836,female,0,,2019.0
Writer,Aaron_Alfandari,Q4661806,male,0,,2006.0
Writer,Aaron_Allston,Q301632,male,54,,2005.0
Writer,Aaron_Barlow,Q18349724,male,70,,2012.0
Writer,Aaron_Becker,Q18977754,male,0,,2015.0
Writer,Aaron_Bergeron,Q20641832,male,0,,2021.0
Writer,Aaron_Boulding,Q4661864,male,52,,2007.0
Writer,Aaron_Bushkowsky,Q4661889,male,0,,2011.0
Writer,Aaron_Cohen_(author),,,0,,
Writer,Aaron_Covington,Q20630866,male,40,,2015.0
Writer,Aaron_David_Miller,Q4661954,male,0,,2008.0
Writer,Aaron_Dignan,Q19871370,male,0,,2015.0
Writer,Aaron_Elijah_Pumpianski,Q92621953,male,-131,,2021.0
Writer,Aaron_Elkins,Q3603071,male,89,,2006.0
Writer,Aaron_Fogel,Q4662017,male,0,,2009.0
Writer,Aaron_Gervais,Q4662037,male,0,,2008.0
Writer,Aaron_Ginsburg,,,0,,
Writer,Aaron_Gwyn,Q4662066,male,52,,2008.0
Writer,Aaron_Harberts,Q47463923,male,51,,2018.0
Writer,Aaron_Hoffman,Q4662098,male,0,,2006.0
Writer,Aaron_Iba,Q19880831,male,0,,2015.0
Writer,Aaron_Kramer,Q4662156,male,76,,2010.0
Writer,Aaron_Kreuter,Q114631081,male,0,,2022.0
Writer,Aaron_Lazare,Q4662190,male,-9,,2006.0
Writer,Aaron_Liebermann,Q2820086,male,35,,2006.0
Writer,Aaron_Maniam,Q59655902,male,0,,2018.0
Writer,Aaron_Mannes,Q4662232,male,0,,2004.0
Writer,Aaron_Maté,Q106676261,male,0,,2021.0
Writer,Aaron_McCollough,Q4662252,male,0,,2007.0
Writer,Aaron_McGruder,Q2261498,male,50,,2003.0
Writer,Aaron_Paquette,Q22279565,male,0,,2015.0
Writer,Aaron_Peck_(writer),Q4662319,male,0,,2009.0
Writer,Aaron_Ruby,,,0,,
Writer,Aaron_Sachs_(historian),Q4662395,,0,,2009.0
Writer,Aaron_Scharf,Q16013087,male,71,,2013.0
Writer,Aaron_Schatz,Q4662405,male,0,,2006.0
Writer,Aaron_Smith_(author),Q4662449,male,0,,2012.0
Writer,Aaron_Sorkin,Q299194,male,63,,2003.0
Writer,Aaron_Tucker,Q30323722,,0,,2017.0
Writer,Aaron_White,Q4662533,male,0,,2009.0
Writer,Aaron_ben_Samuel_of_Hergershausen,Q22158112,male,0,,2020.0
Writer,Aaron_of_Trebowla,Q4662612,male,0,,2012.0
Writer,Aase_Foss_Abrahamsen,Q4590631,female,94,,2017.0
Writer,Aasmund_Olavsson_Vinje,Q303687,,52,,2005.0
Writer,Aasne_Linnestå,Q4662744,,0,,2009.0
Writer,Aatish_Taseer,Q4662784,male,44,,2009.0
Writer,Abai_Qunanbaiuly,Q304890,male,59,,2003.0
Writer,Abani_Chakraborty,Q4663406,male,83,,2011.0
Writer,Abaseen_Yousafzai,Q28816427,male,60,,2017.0
Writer,Abba_Goold_Woolson,Q29568827,female,83,,2017.0
Writer,Abbad_Yahya,Q22688633,male,0,,2017.0
Writer,Abbas_El-Zein,Q20741634,male,0,,2015.0
Writer,Abbas_Khadir,Q305907,male,0,,2021.0
Writer,Abbas_Korejo,Q111430655,male,41,,2022.0
Writer,Abbas_Zaryab,Q4663806,male,76,,2007.0
Writer,Abbi_Glines,Q16203043,female,47,,2013.0
Writer,Abbie_Gerrish-Jones,Q4664142,female,0,,2010.0
Writer,Abbie_Hoffman,Q306514,male,0,,2002.0
Writer,Abbott_Gleason,Q20202814,male,0,,2018.0
Writer,Abby_Ellin,Q60882276,female,0,,2019.0
Writer,Abby_Fisher_Leavitt,Q104473440,female,-127,,2020.0
Writer,Abby_Gaines,Q4664456,female,0,,2007.0
Writer,Abby_Jane_Morrell,Q72467623,female,215,,2020.0
Writer,Abby_Jimenez_(writer),Q107404553,female,0,,2021.0
Writer,Abby_McDonald,Q306889,female,0,,2017.0
Writer,Abby_Norman_(writer),Q56274735,female,0,,2018.0
Writer,Abby_Rosmarin,Q16752937,female,38,,2014.0
Writer,Abbé_François_Blanchet,Q3084011,male,0,,2005.0
Writer,Abd_al-Aziz_al-Rifa'i,Q113396847,,0,,2022.0
Writer,Abd_al-Ghani_al-Maqdisi,Q423563,male,0,,2006.0
Writer,Abd_al-Masih_Haddad,Q12223803,male,-61,,2019.0
Writer,Abd_al-Mu'in_Mallouhi,Q12223811,male,0,,2021.0
Writer,Abd_al-Quddus_al-Ansari,Q12223220,male,-41,,2022.0
Writer,Abd_al-Rahim_Aqiqi_Bakhshayishi,Q85972824,male,-12,,2022.0
Writer,Abdal_Bela,Q4664629,male,68,,2012.0
Writer,Abdallah_Marrash,Q1770828,male,61,,2010.0
Writer,Abdel_Jabbar_Adwan,Q12222510,male,0,,2022.0
Writer,Abdel_Latif_Moubarak,Q11039303,male,60,,2015.0
Writer,Abdel_Rahman_Munif,,,0,,2004.0
Writer,Abdel_Raouf_Dafri,Q2820963,male,60,,2011.0
Writer,Abdel_Wahab_El-Messiri,Q4664778,male,0,,2006.0
