subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Youtuber,Calum_McSwiggan,Q56289630,male,34,,2018.0
Youtuber,Candice_Hutchings,Q29054737,female,36,,2017.0
Youtuber,Captain_Disillusion,Q4707305,male,44,,2011.0
Youtuber,Carolina_Iglesias,Q106771178,female,31,,2022.0
Youtuber,CarryMinati,Q77599314,,25,,2019.0
Youtuber,Casey_Neistat,Q5048547,male,43,,2011.0
Youtuber,Caspar_Lee,Q17811709,male,30,,2014.0
Youtuber,Amit_Bhadana,Q94609051,male,30,,2020.0
Youtuber,Roman_Atwood,Q17418373,male,41,,2014.0
Youtuber,Rose_and_Rosie,Q19867048,,36,,2015.0
Youtuber,Ross_O'Donovan,Q17306356,male,37,,2014.0
Youtuber,Sam_Denby,Q52714420,male,26,,2018.0
Youtuber,Sam_Pepper,Q23770525,male,35,,2016.0
Youtuber,Sam_Zien,Q7408374,male,65,,2008.0
Youtuber,Sandra_Lee_(dermatologist),Q47461822,female,54,,2017.0
Youtuber,Scott_Manley,Q59811938,,52,,2018.0
Youtuber,Scott_Richter,Q4427363,male,53,,2005.0
Youtuber,Scotty_Kilmer,Q75604113,,71,,2019.0
Youtuber,Bart_Baker,Q15133071,male,38,,2017.0
Youtuber,Beau_Miles,Q110755269,male,45,,2021.0
Youtuber,Becky_Soundy,Q108383704,,31,,2021.0
Youtuber,Behzinga,Q106381073,male,29,,2020.0
Youtuber,Bello_FiGo,Q25560176,male,32,,2019.0
Youtuber,Bello_Nock,Q2894965,male,56,,2007.0
Youtuber,Ben_Going,Q4885718,male,39,,2007.0
Youtuber,Berkcan_Güven,Q75796160,,28,,2020.0
Youtuber,Bethany_Mota,Q16769657,female,29,,2014.0
Youtuber,Bhuvan_Bam,Q30323629,,30,,2017.0
Youtuber,Bianca_Claßen,Q18410747,female,31,,2017.0
Youtuber,Bilingirl,Q18818325,female,40,,2021.0
Youtuber,Billy_Reid_(Canadian_songwriter),Q4913225,male,47,,2008.0
Youtuber,Bjørn_Nyland_(YouTuber),Q105477163,,45,,2021.0
Youtuber,Blaire_White,Q50607121,trans woman,31,,2018.0
Youtuber,Bob's_Your_Uncle_(YouTuber),Q30942419,male,43,,2021.0
Youtuber,Boogie2988,Q27996310,male,50,,2016.0
Youtuber,Brady_Haran,Q4955182,male,48,,2013.0
Youtuber,Brandon_Rogers_(YouTuber),Q65029898,male,36,,2020.0
Youtuber,Brendan_Jordan,Q23008815,genderfluid,25,,2016.0
Youtuber,Brent_Rivera,Q61746920,,26,,2019.0
Youtuber,David_Dobrik,Q50574810,male,28,,2019.0
Youtuber,David_Freiheit,Q91289168,male,45,,2020.0
Youtuber,David_Pakman,Q5238353,,40,,2005.0
Youtuber,David_So,Q61409135,male,37,,2019.0
Youtuber,David_Wood_(Christian_apologist),Q5241273,male,48,,2011.0
Youtuber,Davie504,Q90255242,male,30,,2020.0
Youtuber,Dee_Kosh,Q98542543,male,36,,2020.0
Youtuber,Deepak_Kalal,Q111420199,,52,,
Youtuber,Derek_Muller,Q16221926,male,42,,2013.0
Youtuber,Devin_Graham,Q16003159,male,41,,2014.0
Youtuber,Hodgetwins,Q97453296,,49,,2020.0
Youtuber,How_Ridiculous,Q60752923,,36,,2018.0
Youtuber,Humble_the_Poet,Q47088218,male,43,,2018.0
Youtuber,Johnny_Harris_(journalist),Q64447129,,36,,2020.0
Youtuber,Jomboy_(sports_media),Q85771879,male,35,,2020.0
Youtuber,JonTron,Q20277497,male,34,,2016.0
Youtuber,Jordan_Harrod,Q105811162,female,28,,2021.0
Youtuber,Jordan_Maron,Q1186979,,32,,2012.0
Youtuber,Jordi_Wild,Q65013276,male,40,,2022.0
Youtuber,Joseph_Garrett,Q17403343,,34,,2003.0
Youtuber,Joseph_Herscher,Q42840156,male,39,,2017.0
Youtuber,Josh_Pieters,Q93318467,male,31,,2020.0
Youtuber,Jules_LeBlanc,Q55362352,female,20,,2018.0
Youtuber,Best_Ever_Food_Review_Show,Q104326129,,40,,2020.0
Youtuber,Paul_Joseph_Watson,Q28911590,male,42,,2005.0
Youtuber,Paulo_Kogos,Q105670357,male,38,,2021.0
Youtuber,Peter_Hadfield_(journalist),Q15429243,,70,,2013.0
Youtuber,Peter_Santenello,Q109651118,male,47,,2021.0
Youtuber,PewDiePie,Q13423853,male,35,,2012.0
Youtuber,PewPew_(streamer),Q97167082,male,33,,2022.0
Youtuber,Reh_Jones,Q7309729,male,40,,2010.0
Youtuber,Reina_Scully,Q106776722,female,36,,2021.0
Youtuber,Rezendeevil,Q61000443,male,28,,2018.0
Youtuber,Rezo,Q51750015,male,32,,2019.0
Youtuber,RiceGum,Q47500036,male,28,,2015.0
Youtuber,Rick_Beato,Q100249904,male,62,,2020.0
Youtuber,Ricky_Dillon,Q18685733,,32,,2014.0
Youtuber,Rob_Moody,Q110880665,male,47,,2022.0
Youtuber,Unjaded_Jade,Q110368378,female,24,,2022.0
Youtuber,Valkyrae,Q64747569,female,32,,2019.0
Youtuber,VanossGaming,Q20710912,male,32,,2015.0
Youtuber,Vaush,Q111254999,male,30,,2021.0
Youtuber,Vegetta777,Q63383300,male,35,,2019.0
Youtuber,Venus_Angelic,Q16240088,female,27,,2013.0
Youtuber,Videogamedunkey,Q69459618,,33,,2019.0
Youtuber,Vidya_Vox,Q22278322,female,34,,2016.0
Youtuber,Viih_Tube,Q105007450,female,24,,2022.0
Youtuber,Vikkstar123,Q82476104,male,29,,2021.0
Youtuber,Vitaly_Zdorovetskiy,Q7936942,male,32,,2013.0
Youtuber,Vlad_and_Niki,Q104817019,,11,,2020.0
Youtuber,Vladislav_Bumaga,Q99375148,trans man,28,,2024.0
Youtuber,Connie_Glynn,Q55510399,female,30,,2019.0
Youtuber,Connor_Franta,Q18672601,male,32,,2014.0
Youtuber,ContraPoints,Q42429948,trans woman,36,,2018.0
Youtuber,Corey_Vidal,Q5170458,male,38,,2008.0
Youtuber,Corpse_Husband,Q101424804,male,27,,2020.0
Youtuber,CoryxKenshin,Q113662226,male,32,,2022.0
Youtuber,Coscu,Q105669629,,33,,2022.0
