subclass,instance,gender,age,publication_year
Writer,A._J._Sass,non-binary,40.0,2021.0
Writer,A._M._Dellamonica,non-binary,56.0,2006.0
Scientist,A._W._Peet,non-binary,74.0,2017.0
Writer,AJ_Odasso,non-binary,43.0,2022.0
Model,Aaron_Rose_Philip,trans woman,23.0,2018.0
Artist,Abel_Azcona,non-binary,36.0,2019.0
Writer,Abhina_Aher,trans woman,47.0,2017.0
Youtuber,Abigail_Thorn,trans woman,31.0,2019.0
Cleric,Adam,androgynos,,2002.0
Artist,Adeem_the_Artist,non-binary,36.0,2021.0
Royalty,Agha_Mohammad_Khan_Qajar,eunuch,55.0,2004.0
Politician,Ahlerich,male organism,21.0,2009.0
BeautyQueen,Ai_Haruna,trans woman,52.0,2009.0
Writer,Aiden_Thomas,non-binary,,2021.0
Politician,Aime_Wichtendahl,trans woman,44.0,2021.0
Writer,Akwaeke_Emezi,non-binary,37.0,2019.0
Writer,Alan_L._Hart,trans man,72.0,2008.0
Politician,Alba_Rueda,trans woman,48.0,2022.0
MilitaryPerson,Albert_Cashier,trans man,72.0,2004.0
Politician,Alejandra_González_Pino,trans woman,54.0,2022.0
Writer,Alex_Myers,trans man,,2022.0
Writer,Alex_White_(author),non-binary,43.0,2018.0
Artist,Alexander_James_Adams,trans man,62.0,2005.0
Scientist,Alexia_Massalin,trans woman,62.0,2007.0
Model,Alicia_Liu,trans woman,38.0,2010.0
Artist,Allison_Parrish,trans woman,,2019.0
Artist,Alma_Selimovic,genderfluid,43.0,2023.0
OfficeHolder,Althea_Garrison,trans woman,84.0,2010.0
Writer,Alyssa_Wong,non-binary,,2016.0
Model,Amanda_Lepore,trans woman,57.0,2005.0
Model,Amazon_Eve,trans woman,45.0,2010.0
Philosopher,Amina_Wadud,non-binary,72.0,2005.0
Athlete,Aminatou_Seyni,intersex woman,28.0,2019.0
Politician,Amita_Kuttner,non-binary,34.0,2021.0
Artist,Amos_Mac,trans man,43.0,2016.0
Artist,Amy_Ray,genderqueer,60.0,2004.0
Artist,Ana_Roxanne,intersex woman,37.0,2021.0
Artist,Andrea_Di_Giovanni,genderfluid,30.0,2021.0
Politician,Andrea_Jenkins,trans woman,63.0,2016.0
Writer,Andrea_Long_Chu,trans woman,32.0,2019.0
Model,Andreja_Pejić,trans woman,33.0,2011.0
Artist,Andrew_O'Neill,non-binary,45.0,2006.0
Artist,Angel_Haze,agender,33.0,2012.0
Artist,Angel_Maxine,trans woman,,2022.0
Artist,Angela_Morley,trans woman,85.0,2003.0
Politician,Anna_Grodzka,trans woman,70.0,2011.0
Athlete,Anne_Viriato,trans woman,27.0,2019.0
Athlete,Annemarie_Sylvia_Meier,trans woman,67.0,2022.0
Athlete,Annet_Negesa,intersex woman,32.0,2012.0
Artist,Anohni,trans woman,53.0,2005.0
Writer,April_Daniels_(author),trans woman,,2019.0
Athlete,Aprilio_Manganang,intersex man,32.0,2020.0
Model,Ariel_Nicholson,trans woman,23.0,2020.0
Artist,Ash_Gray,trans man,26.0,2013.0
Artist,Ashnikko,genderfluid,28.0,2019.0
MilitaryPerson,Aslan,male organism,,2001.0
Artist,Ataru_Nakamura,trans woman,39.0,2007.0
Politician,Audrey_Tang,non-binary,43.0,2005.0
Scientist,Autumn_Kent,trans woman,,2018.0
Artist,Avu-chan,non-binary,33.0,2021.0
Politician,Ayako_Fuchigami,trans woman,49.0,2019.0
Artist,Azis,non-binary,46.0,2007.0
Artist,Aérea_Negrot,trans woman,43.0,2011.0
Artist,B-Complex,non-binary,40.0,2011.0
Artist,BabiBoi,non-binary,25.0,2020.0
Artist,Baby_Dee,trans woman,71.0,2007.0
Artist,Backxwash,trans woman,33.0,2020.0
Artist,Bailey_Jay,trans woman,36.0,2011.0
Athlete,Balian_Buschbaum,trans man,44.0,2007.0
Artist,Barbra_Amesbury,trans woman,76.0,2005.0
Criminal,Beate_Schmidt,trans woman,58.0,2013.0
