subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Architect,Caleb_Ormsbee,Q5019277,male,55,,2008.0
Architect,Calogero_Rizzuto_(architect),Q88382284,male,65,,2020.0
Architect,Calvert_Vaux,Q2577471,male,71,,2004.0
Architect,Camille_Robida,Q2935059,male,58,,2022.0
Architect,Campbell_Douglas,Q17421290,male,82,,2014.0
Architect,Carl_Lange_(architect),Q12305285,male,72,,2016.0
Architect,Carl_Moritz,Q1039811,male,81,,2013.0
Architect,Carlos_A._Santos-Viola,Q5041661,male,82,,2007.0
Architect,Carlos_Mijares_Bracho,Q1043070,male,85,,2009.0
Architect,Carlos_Raúl_Villanueva,Q1043186,male,75,,2006.0
Architect,Carlyle_Greenwell,Q5043134,male,77,,2006.0
Architect,Carol_Benesch,Q5044256,male,74,,2012.0
Architect,Carter_Manny,Q5047195,male,99,,2007.0
Architect,Cary_Millholland_Parker,Q21292852,female,99,,2015.0
Architect,Caspar_Frederik_Harsdorff,Q710132,male,64,,2005.0
Architect,Ambrose_J._Russell,Q16023299,male,81,,2009.0
Architect,Beatrice_Hutton,Q19646593,female,97,,2015.0
Architect,Povl_Baumann,Q3380456,male,85,,2011.0
Architect,Poy_Gum_Lee,Q11098235,male,68,,2017.0
Architect,Predrag_Ristić,Q25465194,male,88,,2020.0
Architect,Robert_Logan_(naval_architect),Q31339815,male,57,,
Architect,Robert_Lorimer,Q2158075,male,65,,2005.0
Architect,Robert_Matthew_Mitchell,Q112130701,male,102,,2022.0
Architect,Robert_Morris_Copeland,Q11350595,male,44,,2016.0
Architect,Robert_Mylne_(architect),Q1769847,male,78,,2004.0
Architect,Robert_O._Scholz,Q98551741,male,83,,2020.0
Architect,Robert_Potter_(architect),Q15968300,male,101,,2013.0
Architect,Robert_Reid_(architect),Q15452830,male,82,,2008.0
Architect,Robert_Rodgers_(architect),Q98079315,male,39,,2020.0
Architect,Robert_Rowand_Anderson,Q330856,male,87,,2004.0
Architect,Robert_Russell_(architect),Q7349432,male,92,,2006.0
Architect,Robert_S._Roeschlaub,Q7349500,male,80,,2005.0
Architect,Robert_Sands_Schuyler,Q16199196,male,65,,2013.0
Architect,Robert_Schofield_Morris,Q16003728,male,66,,2010.0
Architect,Robert_Seyfarth,Q7349698,male,72,,2009.0
Architect,Robert_Smirke_(architect),Q983719,male,87,,2005.0
Architect,Robert_Sorley_Lawrie,Q98446212,male,74,,2020.0
Architect,Robert_Stephenson,Q328728,male,56,,2003.0
Architect,Robert_Trent_Jones,Q1771239,male,94,,2004.0
Architect,Robert_Venturi,Q212312,male,93,,2002.0
Architect,Robert_W._Gibson,Q7350674,male,73,,2010.0
Architect,Robert_Woodward_(architect),Q7351246,male,87,,2010.0
Architect,Robert_van_'t_Hoff,Q1394309,male,92,,2008.0
Architect,Robert_von_Ezdorf,Q7351477,male,67,,2009.0
Architect,Roberto_Gottardi,Q7351729,male,90,,2011.0
Architect,Robin_Boyd_(architect),Q7352265,male,52,,2006.0
Architect,Robin_Dods,Q7352365,male,52,,2009.0
Architect,Rockwell_King_DuMoulin,Q111374770,male,77,,2022.0
Architect,Roderich_Fick,Q87055,male,69,,2005.0
Architect,Rodney_Gordon,Q5764955,male,75,,2008.0
Architect,Roger_D'Astous,Q24069522,male,72,,2016.0
Architect,Roger_Pratt_(architect),Q2352422,male,64,,2005.0
Architect,Roland_A._Wank,Q7360483,male,72,,2004.0
Architect,Roland_Paoletti,Q21026912,male,82,,2015.0
Architect,Roland_Terry,Q7360456,male,89,,2007.0
Architect,Roland_Walter_Lines,Q111940271,,39,,2022.0
Architect,Rolf_Harlew_Jenssen,Q12718033,male,92,,2021.0
Architect,Romaldo_Giurgola,Q3036213,male,96,,2005.0
Architect,Roman_Klein,Q1979163,male,66,,2007.0
Architect,Ron_Herron,Q1769830,male,64,,2009.0
Architect,Rosario_Candela,Q2166604,male,63,,2007.0
Architect,Roy_Harrover,Q20676911,male,88,,2015.0
Architect,Roy_Mason_(architect),Q7373124,male,58,,2005.0
Architect,Rudolf_Frimodt_Clausen,Q12333897,male,89,,2016.0
Architect,Rudolf_Tönnies,Q66372240,male,60,,2019.0
Architect,Rudolf_Wolters,Q65392,male,80,,2005.0
Architect,Rudolph_Schindler_(architect),Q78626,male,66,,2004.0
Architect,Rudolph_Weaver,Q15485355,male,64,,2008.0
Architect,Rufus_Sargent,Q110953611,male,74,,2022.0
Architect,Samu_Pecz,Q1231856,male,68,,2007.0
Architect,Samuel_Charles_Brittingham,Q7411096,male,84,,2012.0
Architect,Samuel_Hurst_Seager,Q7411759,male,78,,2012.0
Architect,Samuel_Maclure,Q7412089,male,69,,2010.0
Architect,Samuel_Sanders_Teulon,Q7412567,male,61,,2005.0
Architect,Samuel_Sloan_(architect),Q7412651,male,69,,2006.0
Architect,Samuel_Tilden_Norton,Q7412783,male,82,,2010.0
Architect,Sancton_Wood,Q18528075,male,72,,2015.0
Architect,Sandy_van_Ginkel,Q509669,male,89,,2009.0
Architect,Sayed_Karim,Q12217558,male,94,,2020.0
Architect,Elbridge_Boyden,Q5353812,male,88,,2010.0
Architect,Michel_Roux-Spitz,Q3310788,male,69,,2011.0
Architect,Murry_S._King,Q6939662,male,75,,2009.0
Architect,Morris_B._Payne,Q26709273,male,76,,2016.0
Architect,Wenceslao_Sarmiento,Q3912867,male,91,,2008.0
Architect,Baron_Karl_von_Hasenauer,Q84541,male,61,,2005.0
Architect,Barry_Patten,Q4864599,male,76,,2006.0
Architect,Bashirul_Haq,Q4866866,male,78,,2011.0
Architect,Basil_Champneys,Q4867132,male,93,,2005.0
Architect,Basil_Spence,Q1172126,male,69,,2004.0
Architect,Beatrix_Farrand,Q437714,female,87,,2002.0
Architect,Bengt_Lindroos,Q3362829,male,92,,2010.0
Architect,Benjamin_Baker_(engineer),Q817394,male,67,,2002.0
Architect,Benjamin_Ferrey,Q4888580,male,70,,2007.0
Architect,Benjamin_Henry_Latrobe,Q726082,male,56,,2002.0
Architect,Benjamin_S._Deane,Q4889198,male,77,,2011.0
Architect,Benjamin_Thompson_(architect),Q4179508,male,84,,2004.0
Architect,Benjamin_Wistar_Morris_(architect),Q4889403,male,74,,2011.0
Architect,Bernard_Maybeck,Q2758593,male,95,,2004.0
Architect,Bernard_Rudofsky,Q85661,male,83,,2005.0
Architect,Bernard_Zimmerman,Q4893773,male,79,,2013.0
Architect,Bernardo_Calderón_Cabrera,Q822962,male,81,,2009.0
Architect,Berta_Rahm,Q2661025,female,88,,2018.0
Architect,Bertel_Jung,Q4355746,male,74,,2022.0
Architect,Bertel_Strömmer,Q4413257,male,72,,2017.0
Architect,Berthold_Lubetkin,Q827997,male,89,,2005.0
Architect,Berton_Crandall,Q97941206,male,97,,2020.0
Architect,Bertram_Goodhue,Q325325,male,55,,2004.0
Architect,Bing_Thom,Q4914145,male,76,,2006.0
Architect,Bogdan_Bogdanović_(architect),Q700592,male,88,,2009.0
Architect,Boris_Iofan,Q167816,male,85,,2006.0
Architect,Bradford_Gilbert,Q4954679,male,58,,2007.0
Architect,Brian_O'Rorke,Q4964935,male,73,,2008.0
Architect,David_Adler_(architect),Q17122763,,67,,2003.0
Architect,David_Adler_(architect),Q3017360,male,67,,2003.0
Architect,David_Brandon_(architect),Q15485157,male,84,,2010.0
Architect,David_Ewart,Q5233476,male,80,,2005.0
Architect,David_Grimm_(architect),Q3017996,male,75,,2007.0
Architect,David_Marks_(architect),Q42289502,male,65,,2017.0
Architect,David_Mitchell_(architect),Q52422545,male,77,,2018.0
Architect,David_Mocatta,Q5237635,male,76,,2008.0
Architect,David_Penner,Q89190753,male,62,,2020.0
Architect,David_R._Jones_(architect),Q23614676,male,83,,2016.0
Architect,David_Resnick,Q962183,male,88,,2012.0
Architect,David_Todd_(architect),Q5240448,male,93,,2004.0
Architect,Denby_Deegan,Q98528483,male,77,,2020.0
Architect,Dennis_H._Carter,Q65551176,male,92,,2019.0
Architect,Der_Scutt,Q2197297,male,76,,2007.0
Architect,Derek_Fuller_Wrigley,Q5261976,male,97,,2011.0
Architect,Derek_Wilson_(architect),Q5262467,male,94,,2007.0
Architect,Detlef_Lienau,Q108241,male,69,,2006.0
Architect,Devereux_Emmet,Q16027010,male,73,,2013.0
Architect,Anton_Kandinov,Q106438229,male,69,,2021.0
Architect,Antonín_Viktor_Barvitius,Q608795,male,78,,2017.0
Architect,Archimedes_Russell,Q4786892,male,75,,2007.0
Architect,Hjalmar_Kjær,Q12316858,male,61,,2016.0
Architect,Hjørdis_Grøntoft_Raknerud,Q21292240,female,40,,2015.0
Architect,Holger_Jacobsen,Q5880250,male,84,,2011.0
Architect,Holland_W._Hobbiss,Q5881139,male,90,,2006.0
Architect,Hooshang_Seyhoun,Q5898542,male,94,,2005.0
Architect,Horace_Edouard_Davinet,Q1273647,male,83,,2022.0
Architect,Horace_Tennyson_O'Rourke,Q5902179,male,83,,2012.0
Architect,Horace_Trumbauer,Q12071546,male,70,,2006.0
Architect,Horia_Creangă,Q3699330,male,51,,2009.0
Architect,Horst_H._Baumann,Q934885,male,85,,2008.0
Architect,Howard_Garns,Q1631817,male,84,,2007.0
Architect,Howard_Lapham,Q5920179,male,94,,2007.0
Architect,Howard_Robertson_(architect),Q1631861,male,75,,2011.0
Architect,Howland_Jones,Q97941209,male,91,,2020.0
Architect,Hugh_Buhrich,Q5930168,male,93,,2011.0
Architect,Hugh_Newell_Jacobsen,Q5932104,male,92,,2007.0
Architect,Hugh_Stubbins,Q713546,male,94,,2006.0
Architect,Hugo_Häring,Q64094,male,76,,2006.0
Architect,Hugo_Licht,Q73345,male,82,,2009.0
Architect,Hyman_Witcover,Q16886537,male,65,,2013.0
Architect,John_Nash_(architect),Q309905,male,83,,2002.0
Architect,John_Norton_(architect),Q6250681,male,81,,2010.0
Architect,John_O._Merrill,Q6248544,male,79,,2010.0
Architect,John_P._Eisentraut,Q65066405,,88,,2019.0
Architect,John_Parks_Almand,Q6251957,male,84,,2012.0
Architect,John_Penfold,Q6252476,male,81,,2006.0
Architect,John_Porter_Clark,Q6253210,male,86,,2009.0
Architect,John_Prichard,Q541594,male,69,,2008.0
Architect,John_Rochester_Thomas,Q6255331,male,53,,2011.0
Architect,John_Russell_Pope,Q973881,male,63,,2004.0
Architect,John_S._Chase,Q6256204,male,87,,2012.0
Architect,John_Soane,Q549786,male,84,,2003.0
Architect,John_Stacpoole,Q56875975,male,99,,2018.0
Architect,John_Vanbrugh,Q333398,male,62,,2002.0
Architect,John_Virginius_Bennes,Q15996046,male,76,,2010.0
Architect,John_W._Donohue,Q15996419,male,73,,2010.0
Architect,John_W._Priest,Q6104448,male,34,,2010.0
Architect,John_Welch_(architect),Q6263397,male,69,,2012.0
Architect,John_Wellborn_Root,Q94005,male,41,,2004.0
Architect,John_Whitmore_(architect),Q98079254,male,50,,2020.0
Architect,John_Wilson_(English_architect),Q46581011,male,85,,2017.0
Architect,John_Winter_(architect),Q6264640,male,82,,2012.0
Architect,John_Wosky,Q16008829,male,75,,2012.0
Architect,John_Yeon,Q16013350,male,84,,2007.0
Architect,John_and_Donald_Parkinson,Q7756163,,74,,2006.0
Architect,Jon_Condoret,Q27956009,male,76,,2016.0
Architect,Jonathan_Woolf,Q6274832,male,54,,2009.0
Architect,Jorge_Ferreira_Chaves,Q6277979,male,61,,2010.0
Architect,Jorge_Rigamonti,Q17995151,male,68,,2022.0
Architect,Josef_Frank_(architect),Q93847,male,82,,2008.0
Architect,Josef_Franke,Q96052,male,68,,2006.0
Architect,Josef_Maria_Auchentaller,Q1705206,male,84,,2012.0
Architect,Josef_Niklas,Q6280055,male,60,,2005.0
Architect,Josef_Zítek,Q1347080,male,77,,2007.0
Architect,Josep_Maria_Jujol,Q925005,male,70,,2005.0
Architect,Joseph_Bacon_Fraser_Jr.,Q15972737,male,88,,2013.0
Architect,Joseph_Berlin,Q4084970,male,75,,2019.0
Architect,Joseph_Bigot,Q3184609,male,87,,2016.0
Architect,Joseph_Blick,Q17626500,male,80,,2014.0
Architect,Joseph_Christian_Lillie,Q317633,male,67,,2005.0
Architect,Joseph_Clarke_(architect),Q6282142,male,69,,2009.0
Architect,Joseph_Emanuel_Fischer_von_Erlach,Q84588,male,49,,2006.0
Architect,Joseph_Jacobberger,Q6284311,male,61,,2012.0
Architect,Joseph_Karakis,Q1977506,male,86,,2010.0
Architect,Joseph_Lea_Gleave,Q10308595,male,58,,2019.0
Architect,Joseph_Maddison,Q6282147,male,73,,2012.0
Architect,Joseph_Maria_Olbrich,Q44911,male,41,,2005.0
Architect,Joseph_Morrill_Wells,Q94075865,male,37,,2020.0
Architect,Joseph_Paxton,Q318372,male,62,,2002.0
Architect,Joseph_Plottel,Q6286297,male,94,,2012.0
Architect,Joseph_Poelaert,Q740717,male,62,,2006.0
Architect,Joseph_Strauss_(engineer),Q261174,male,68,,2004.0
Architect,Joseph_Thomas_(architect),Q27854131,male,63,,2016.0
Architect,Josiah_Conder_(architect),Q1187770,male,68,,2005.0
Architect,Josip_Kodl,Q57729321,male,84,,2018.0
Architect,Josip_Vancaš,Q3513882,male,73,,2012.0
Architect,José_Damián_Ortiz_de_Castro,Q5836674,male,43,,2009.0
Architect,José_Luis_Calderón_Cabrera,Q1338642,male,-80,,2009.0
Architect,José_María_Zaragoza,Q23621967,male,82,,2016.0
Architect,José_Vivas,Q6294213,male,94,,2012.0
Architect,José_da_Costa_e_Silva,Q1409885,male,72,,2008.0
Architect,Jot_D._Carpenter,Q6294429,male,62,,2011.0
Architect,João_Gualberto_de_Oliveira,Q18276169,male,74,,2018.0
Architect,Jože_Plečnik,Q314886,male,85,,2004.0
Architect,Juan_José_Díaz_Infante_Núñez,Q1710518,male,76,,2009.0
Architect,Juan_Sordo_Madaleno,Q1710650,male,69,,2008.0
Architect,Judith_Edelman,Q21176169,female,91,,2015.0
Architect,Jules_Henri_de_Sibour,Q3188660,male,66,,2008.0
Architect,Julia_Morgan,Q601820,female,85,,2004.0
Architect,Julian_Oktawian_Zachariewicz-Lwigród,Q1988523,male,61,,2007.0
Architect,Julien_Hébert,Q1712250,male,77,,2007.0
Architect,Julio_Vilamajó,Q3821953,male,54,,2012.0
Architect,Julius_Mayreder,Q6309956,male,51,,2013.0
Architect,Julius_Zittel,Q48807502,male,70,,2017.0
Architect,Bertrand_Goldberg,Q215958,male,84,,2005.0
Architect,Patricia_Swan,Q21137220,female,88,,2015.0
Architect,Patrick_Keely,Q7146917,male,80,,2006.0
Architect,Paul_Andreu,Q381827,male,80,,2004.0
Architect,Paul_Bartholomew,Q7149253,male,90,,2008.0
