subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Artist,Britta_Brunius,Q4940963,female,88,,2009.0
Artist,Britta_Holmberg,Q4954484,female,83,,2009.0
Artist,Britta_Marakatt-Labba,Q4965499,female,73,,2018.0
Artist,Britta_Persson,Q2925777,female,0,,2008.0
Artist,Brittani_Senser,Q4971576,female,40,,2010.0
Artist,Brittany_Andrews,Q242224,female,0,,2005.0
Artist,Brittany_Anjou,Q27901819,female,40,,2016.0
Artist,Brittany_B.,Q27063729,female,33,,2016.0
Artist,Brittany_Brooks,Q4971585,female,39,,2012.0
Artist,Brittany_Haas,Q4971596,female,0,,2008.0
Artist,Brittany_Howard,Q19572136,female,36,,2012.0
Artist,Brittany_Shane,Q4971621,female,47,,2009.0
Artist,Brittney_Bear_Hat,Q50387432,female,0,,2018.0
Artist,Brittney_Spencer,Q111031703,female,36,,2022.0
Artist,Brittney_Williams,Q29479721,female,0,,2017.0
Artist,Britto_Michael,Q27734961,male,38,,2016.0
Artist,Brix_Smith,Q2081921,female,62,,2005.0
Artist,Bro_Safari,Q19874089,male,46,,2013.0
Artist,Broadway_Project,Q4972499,male,0,,2005.0
Artist,Brocas_Helm_(band),Q923209,,0,,2013.0
Artist,Brock_Berryhill,Q43384610,,40,,
Artist,Brock_Zeman,Q4972766,male,0,,2011.0
Artist,Brockton_McKinney,Q16732346,male,0,,2013.0
Artist,Brodbeck_&_de_Barbuat,Q3265236,,0,,2017.0
Artist,Broderick_Smith,Q2925940,male,76,,2007.0
Artist,Brodha_V,Q37320648,male,34,,2016.0
Artist,Brodie_West,Q95389082,male,0,,2020.0
Artist,Brodinski,Q8702317,male,0,,2017.0
Artist,Brody_Brown,Q107531229,male,0,,2021.0
Artist,Brody_Condon,Q4973186,male,0,,2008.0
Artist,Brody_Stevens,Q4973197,male,49,,2010.0
Artist,Broery,Q4200660,male,52,,2006.0
Artist,Broken_Chanter,Q112766289,male,0,,2022.0
Artist,Brolle,Q4973573,male,43,,2009.0
Artist,Broncia_Koller-Pinell,Q927192,female,71,,2014.0
Artist,Bronisław_Chromy,Q362880,male,92,,2006.0
Artist,Bronisław_Kaper,Q927472,male,81,,2003.0
Artist,Bronisław_Linke,Q7942847,male,118,,2018.0
Artist,Bronisława_Janowska,Q9179990,female,85,,2015.0
Artist,Bronisława_Łukaszewicz,Q101579950,female,0,,2020.0
Artist,Bronwyn_Bancroft,Q2116507,female,0,,2009.0
Artist,Bronwyn_Holloway-Smith,Q18575741,female,0,,2014.0
Artist,Bronwyn_Lundberg,Q23770302,female,0,,2016.0
Artist,Bronwyn_Oliver,Q3702374,female,47,,2012.0
Artist,Bronwynne_Cornish,Q18685509,female,0,,2014.0
Artist,Bronx_Style_Bob,Q4974208,male,0,,2005.0
Artist,Bronze_Avery,Q65964550,male,0,,2019.0
Artist,Bronze_Nazareth,Q2256216,male,45,,2005.0
Artist,Bronzino,Q7803,male,69,,2005.0
Artist,Broodwork,Q16824606,,0,,
Artist,Brook_Benton,Q371493,male,57,,2003.0
Artist,Brook_Williams,Q4974370,male,67,,2011.0
Artist,Brooke_Allison,Q4974398,female,38,,2006.0
Artist,Brooke_Annibale,Q13561699,female,0,,2013.0
Artist,Brooke_Barrettsmith,Q4974405,female,42,,2008.0
Artist,Brooke_Bolander,Q28935061,female,0,,2017.0
Artist,Brooke_Duff,Q4974426,female,33,,2012.0
Artist,Brooke_Eden,Q29476327,female,36,,2017.0
Artist,Brooke_Fraser,Q204112,female,41,,2005.0
Artist,Brooke_Gallupe,Q4974436,male,0,,2009.0
Artist,Brooke_Hogan,Q234556,female,36,,2004.0
Artist,Brooke_Lynn_Hytes__Brooke_Lynn_Hytes__1,,,38,,
Artist,Brooke_McClymont,Q4974459,female,43,,2006.0
Artist,Brooke_McEldowney,Q4974464,male,0,,2005.0
Artist,Brooke_Miller_(musician),Q16221914,female,42,,2009.0
Artist,Brooke_Nicholls,Q106183322,female,0,,2021.0
Artist,Brooke_O'Harra,Q25999493,female,0,,2016.0
Artist,Brooke_Scullion,Q110619704,female,25,,2022.0
Artist,Brooke_Shaden,Q15538592,female,0,,2013.0
Artist,Brooke_Simpson,Q47087181,female,33,,2018.0
Artist,Brooke_Singer,Q19867734,female,0,,2015.0
Artist,Brooke_Valentine,Q443292,female,40,,2005.0
Artist,Brooke_Waggoner,Q4974492,female,40,,2009.0
Artist,Brooke_Wentz,Q107533201,female,0,,2021.0
Artist,Brooke_White,Q1322285,female,41,,2008.0
Artist,Brookie_Maxwell,Q90181142,female,59,,2020.0
Artist,Brooklyn_Mack,Q4974875,male,0,,2012.0
Artist,Brooks_(DJ),Q23663075,male,29,,2017.0
Artist,Brooks_Bowman,Q4974977,male,0,,2006.0
Artist,Brooks_Brown,Q4974981,male,0,,2010.0
Artist,Brooks_Headley,Q4975006,male,0,,2009.0
Artist,Brooks_Kerr,Q2064540,male,67,,2007.0
Artist,Brooks_Wackerman,Q772463,male,47,,2004.0
Artist,Brooks_Williams,Q4975062,male,66,,2005.0
Artist,Brooks_Yeomans,Q79667169,male,0,,2019.0
Artist,Bror_Bügler,Q5591188,male,67,,2016.0
Artist,Brose_Partington,Q4975395,male,0,,2010.0
Artist,Brotha_Lynch_Hung,Q942076,male,54,,2003.0
Artist,Brother_Ali,Q2709928,male,47,,2005.0
Artist,Brother_Bones,Q4975479,male,72,,2006.0
Artist,Brother_Brother,Q55606017,,0,,2018.0
Artist,Brother_Dash,Q4975490,male,53,,2006.0
Artist,Brother_J,Q17149996,male,53,,2007.0
Artist,Brother_Joe_May,Q4975517,male,60,,2012.0
Artist,Brother_Love_(rock_musician),Q1986623,male,0,,2005.0
Artist,Brother_Marquis,Q48770475,male,58,,2014.0
Artist,Brother_Reade,Q4975547,,0,,2007.0
Artist,Brother_Resistance,Q4975550,male,67,,2007.0
Artist,Brother_Shortman,Q20640887,male,73,,2015.0
Artist,Brother_Su,Q22974006,male,34,,2016.0
Artist,Brother_Sundance,Q52714384,male,26,,2018.0
Artist,Brother_Will_Hairston,Q26702857,male,69,,2016.0
Artist,Brothers_Hildebrandt,Q102043,,0,,2006.0
Artist,Brown_Sauce_(band),Q4976256,,0,,2009.0
Artist,Brown_and_Carney,Q4976357,,0,,2007.0
Artist,Brownie_McGhee,Q950313,male,81,,2002.0
Artist,Browning_Bryant,Q4976557,male,62,,2006.0
Artist,Brownmark,Q4976616,male,62,,2005.0
Artist,Bruce_Aisher,Q4977047,male,0,,2010.0
Artist,Bruce_Arnold_(jazz),Q4977080,male,69,,2005.0
Artist,Bruce_Barth,Q991483,male,66,,2008.0
Artist,Bruce_Bastin,Q991479,male,0,,2006.0
Artist,Bruce_Becker,Q60735715,male,65,,2018.0
Artist,Bruce_Bellas,Q3645450,male,0,,2004.0
Artist,Bruce_Billings_(cartoonist),Q70463791,male,0,,2019.0
Artist,Bruce_Boniface,Q4977171,male,43,,2007.0
