subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Cleric,"20,000_Martyrs_of_Nicomedia",Q15976088,,0,,2008.0
Cleric,2015_kidnapping_and_beheading_of_Copts_in_Libya,Q19283494,,-9,,2015.0
Cleric,2017_Minya_bus_attack,Q30060577,,-7,,2017.0
Cleric,205_Martyrs_of_Japan,Q9130765,,0,,2016.0
Cleric,26_Martyrs_of_Japan,Q578963,,-427,,2006.0
Cleric,A._B._Masilamani,Q18750144,male,76,,2015.0
Cleric,A._C._Solomon_Raj,Q27734037,male,63,,2016.0
Cleric,A._D._Matheson,Q23137825,male,0,,2016.0
Cleric,A._E._Inbanathan,Q22088160,male,0,,2015.0
Cleric,A._Ervine_Swift,Q24004691,male,90,,2016.0
Cleric,A._G._Edwards_(bishop),Q741437,male,89,,2006.0
Cleric,A._M._Renwick,Q79022754,male,77,,2019.0
Cleric,A._N._Gopal,Q23139987,male,0,,2015.0
Cleric,A._Powell_Davies,Q4800015,male,55,,2007.0
Cleric,A._R._Bernard,Q4648279,male,71,,2006.0
Cleric,A._Robert_Hirschfeld,Q22097385,male,63,,2012.0
Cleric,A._Theodore_Eastman,Q24053617,male,90,,2016.0
Cleric,AR_Chelliah,Q106977225,male,66,,2021.0
Cleric,Aaron,Q380714,male,0,,2001.0
Cleric,Aaron,Q51676,male,0,,2001.0
Cleric,Aaron_(Copt),Q4661780,male,0,,2007.0
Cleric,Aaron_(saint),Q4661784,male,0,,2007.0
Cleric,Aaron_Bancroft,Q2820021,male,84,,2005.0
Cleric,Aaron_Cleveland,Q4661918,male,42,,2010.0
Cleric,Aaron_Landes,Q16740839,male,85,,2014.0
Cleric,Aaron_of_Aleth,Q2501319,male,0,,2006.0
Cleric,Aaron_of_Auxerre,Q4054154,male,0,,2007.0
Cleric,Aba_I,Q2708661,male,0,,2007.0
Cleric,Abadir_and_Iraja,Q4055278,,0,,2007.0
Cleric,Abadiu_of_Antinoe,Q4663226,male,0,,2007.0
Cleric,Abai_(martyr),Q4663286,male,0,,2007.0
Cleric,Abanoub,Q2562070,male,0,,2011.0
Cleric,Abanoub_(Coptic_bishop),Q109618299,male,67,,2021.0
Cleric,Abas_(Catholicos),Q4054328,male,0,,2022.0
Cleric,Abaskhiron_the_Soldier,Q16965864,male,0,,2013.0
Cleric,Abassad,Q4663560,male,0,,2007.0
Cleric,Abba_Pantelewon,Q4663655,male,0,,2011.0
Cleric,Abba_Seraphim,Q2272050,male,76,,2006.0
Cleric,Abbaye_Blanche,Q2820273,,0,,2008.0
Cleric,Abbo_II_of_Metz,Q3389158,male,0,,2007.0
Cleric,Abbo_of_Auxerre,Q306641,male,-1164,,2007.0
Cleric,Abbo_of_Fleury,Q306658,male,-1020,,2003.0
Cleric,Abbán,Q305843,male,0,,2010.0
Cleric,Abd-al-Masih_(martyr),Q4664523,male,0,,2023.0
Cleric,Abd_Allah_ibn_Salam,Q307686,male,0,,2006.0
Cleric,Abd_al-Karim_al-Jili,Q317332,male,0,,2006.0
Cleric,Abd_al-Masih_Salib_al-Masudi,Q4664570,male,0,,2007.0
Cleric,Abda_and_Abdisho,Q4664616,,-1648,,2007.0
Cleric,Abda_and_Abdjesus,,,0,,2022.0
Cleric,Abda_and_Sabas,Q4664615,,0,,2007.0
Cleric,Abda_of_Dair-Koni,Q4664617,male,0,,2007.0
Cleric,Abda_of_Edessa,Q4664620,male,0,,2007.0
Cleric,Abda_of_Hira,Q4664622,male,0,,2007.0
Cleric,Abdallah_Elias_Zaidan,Q15439754,male,61,,2014.0
Cleric,Abdallah_Qara'ali,Q23418837,male,70,,2016.0
Cleric,Abdas_of_Susa,Q307724,male,0,,2003.0
Cleric,Abdecalas,Q4664713,male,0,,2006.0
Cleric,Abdel_Messih_El-Makari,Q4664764,male,71,,2005.0
Cleric,Abdias_of_Babylon,Q2821315,male,0,,2004.0
Cleric,Abdisho_(died_345),Q4665006,male,0,,2007.0
Cleric,Abdisho_II,Q4665010,male,0,,2011.0
Cleric,Abdisho_III,Q4665011,male,0,,2010.0
Cleric,Abdisho_IV_Maron,Q3629495,male,-454,,2009.0
Cleric,Abdon_and_Sennen,Q308330,,0,,2004.0
Cleric,Abel_(Popławski),Q4055610,male,66,,2024.0
Cleric,Abel_Costas_Montaño,Q318398,male,95,,2010.0
Cleric,Abel_J._Brown,Q4666583,male,77,,2007.0
Cleric,Abel_de_Saint-Brieuc,Q23939712,male,0,,2016.0
Cleric,Abel_of_Reims,Q318504,male,0,,2007.0
Cleric,Abel_of_Tacla_Haimonot,Q4666645,male,0,,2007.0
Cleric,Abelardo_Alvarado_Alcántara,Q318519,male,88,,2021.0
Cleric,Abelino_Manuel_Apeleo,Q84317798,male,0,,2020.0
Cleric,Abeluzius,Q3603452,male,0,,2007.0
Cleric,Abercius_(martyr),Q4666805,male,0,,2007.0
Cleric,Abercius_and_Helena,Q4666802,,0,,2007.0
Cleric,Abercius_of_Hieropolis,Q319319,male,0,,2007.0
Cleric,Aberoh_and_Atom,Q4055677,,0,,2007.0
Cleric,Abgar_V__Saint_Abgar__1,,,0,,
Cleric,Abhai_the_general,Q4667317,male,0,,2007.0
Cleric,Abhor_and_Mehraela,Q4667485,,0,,2007.0
Cleric,Abias,Q4667547,male,0,,2007.0
Cleric,"Abiatha,_Hathes_and_Mamlacha",Q4667549,,0,,2007.0
Cleric,Abiathar_and_Sidonia,Q4667555,,0,,2007.0
Cleric,Abib_and_Apollo__Abib_&_Apollo__1,,,0,,
Cleric,Abibion,Q4667559,male,0,,2007.0
Cleric,Abibon,Q320850,male,0,,2007.0
Cleric,Abibos_of_Nekresi,Q953955,male,0,,2007.0
Cleric,Abibus_of_Edessa,Q3125328,male,0,,2007.0
Cleric,Abibus_of_Samosata,Q4667560,male,0,,2007.0
Cleric,Abiel_Leonard,Q17421585,male,55,,2014.0
Cleric,Abigail,Q4416778,female,0,,2001.0
Cleric,Abimalek_Timotheus,Q321300,male,67,,2020.0
Cleric,Abippus,Q4667896,male,0,,2007.0
Cleric,Ablak_(saint),Q4668044,male,0,,2007.0
Cleric,Abnodius,Q4668169,male,0,,2007.0
Cleric,Abo_of_Tiflis,Q322614,male,-1238,,2007.0
