subclass,instance,wikiDataID,gender,age,birthYear,publication_year
HorseTrainer,Robert_Tucker_(horse_trainer),Q27835069,male,53,,2016.0
HorseTrainer,Robert_W._Camac,Q7350650,male,61,,2007.0
HorseTrainer,Rodney_Rash,Q7357045,male,37,,2007.0
HorseTrainer,Sam_Hildreth,Q7407602,male,63,,2005.0
HorseTrainer,Michael_Jarvis,Q6831611,male,73,,2008.0
HorseTrainer,Moody_Jolley,Q15040038,,66,,2007.0
HorseTrainer,Vance_Longden,Q7914040,male,73,,2007.0
HorseTrainer,Woodrow_Sedlacek,Q8033182,male,85,,2006.0
HorseTrainer,Ben_A._Jones,Q4885186,male,79,,2005.0
HorseTrainer,Bill_Winfrey,Q8006428,male,78,,2011.0
HorseTrainer,Billy_Turner,Q8010630,male,81,,2006.0
HorseTrainer,Brian_Mayberry,Q99639202,male,60,,2020.0
HorseTrainer,Del_W._Carroll,Q5253018,,63,,2009.0
HorseTrainer,Horatio_Luro,Q5902725,male,90,,2004.0
HorseTrainer,John_T._Ward_Jr.,Q6260126,,76,,2008.0
HorseTrainer,Jose_A._Martin,Q15040043,male,63,,2011.0
HorseTrainer,Julio_Canani,Q15040025,male,83,,2008.0
HorseTrainer,Peter_Walwyn,Q7177583,,84,,2007.0
HorseTrainer,Richard_E._Handlen,Q7325375,male,66,,2010.0
HorseTrainer,Richard_O'Connell_(racehorse_trainer),Q7328125,male,55,,2010.0
HorseTrainer,Robert_J._Frankel,Q6126219,male,68,,2004.0
HorseTrainer,Robert_L._Wheeler,Q7346666,male,72,,2012.0
HorseTrainer,Charles_Peoples,Q5081582,male,75,,2008.0
HorseTrainer,David_A._Whiteley,Q5230548,male,73,,2011.0
HorseTrainer,Paul_T._Adwell,Q7153902,male,86,,2009.0
HorseTrainer,Robert_E._Holthus,Q15040035,,77,,2007.0
HorseTrainer,Ernie_T._Poulos,Q5394758,,71,,2007.0
HorseTrainer,Clyde_Phillips_(horse_trainer),Q56254046,male,55,,2018.0
HorseTrainer,Alex_Scott_(racehorse_trainer),Q4717766,male,34,,2009.0
HorseTrainer,Edward_A._Christmas,Q5341441,male,66,,2009.0
HorseTrainer,Edward_I._Kelly_Sr.,Q5343581,male,83,,2009.0
HorseTrainer,Edwin_J._Gregson,Q27661823,male,62,,2016.0
HorseTrainer,Frank_E._Childs,Q27662041,male,86,,2016.0
HorseTrainer,François_Boutin,Q3084088,male,58,,2006.0
HorseTrainer,Fred_Burlew,Q29508224,male,56,,2017.0
HorseTrainer,Fred_Darling,Q5494956,,69,,2006.0
HorseTrainer,Gary_F._Jones,Q5525043,male,76,,2011.0
HorseTrainer,Thomas_Joseph_Kelly,Q7791400,,94,,2009.0
HorseTrainer,Louis_Schaefer,Q56489623,,81,,2018.0
HorseTrainer,Lynn_S._Whiting,Q54932477,male,78,,2018.0
HorseTrainer,Frank_I._Wright,Q17184071,male,71,,2014.0
HorseTrainer,Frank_Y._Whiteley_Jr.,Q5490519,male,93,,2007.0
HorseTrainer,Henry_Forrest_(racehorse_trainer),Q5721460,male,68,,2010.0
HorseTrainer,Horace_A._Jones,Q5901452,male,95,,2005.0
HorseTrainer,John_M._Gaver_Jr.,Q6245812,male,62,,2012.0
HorseTrainer,John_P._Campo,Q6251523,male,67,,2007.0
HorseTrainer,Peter_Casey_(horse_trainer),Q15040081,,83,,2013.0
HorseTrainer,Melvin_F._Stute,Q6813971,male,93,,2011.0
HorseTrainer,Woody_Stephens,Q8033700,male,85,,2005.0
HorseTrainer,Mathew_Dawson,Q6787008,male,78,,2011.0
HorseTrainer,Max_Hirsch,Q3302158,male,89,,2006.0
HorseTrainer,A._Thomas_Doyle,Q4648446,male,72,,2010.0
HorseTrainer,Bud_Delp,Q4983833,male,74,,2007.0
HorseTrainer,Warren_Stute,Q56282919,male,86,,2018.0
HorseTrainer,Willard_L._Proctor,Q8003445,,83,,2011.0
HorseTrainer,William_B._Duke,Q56545757,,69,,2018.0
HorseTrainer,William_Ward_Stephens,Q8020015,male,65,,2010.0
HorseTrainer,H._Guy_Bedwell,Q5628271,male,75,,2008.0
HorseTrainer,James_E._Ryan_(horse_trainer),Q6133198,male,76,,2009.0
HorseTrainer,James_P._Conway,Q6140758,male,74,,2009.0
HorseTrainer,Jeremy_Tree,Q6181978,,68,,2010.0
HorseTrainer,John_G._Canty,Q6234468,male,75,,2009.0
HorseTrainer,Laurie_Silvera,Q6501720,male,81,,2009.0
HorseTrainer,Lawrence_W._Jennings,Q15040037,,75,,2013.0
HorseTrainer,Laz_Barrera,Q6505740,male,67,,2005.0
HorseTrainer,Victor_J._Nickerson,Q7926033,male,76,,2009.0
HorseTrainer,Fergie_Sutherland,Q5444150,male,81,,2013.0
HorseTrainer,Flint_S._Schulhofer,Q5459564,male,80,,2009.0
HorseTrainer,Angel_Penna_Sr.,Q4762245,,69,,2007.0
HorseTrainer,Barry_Littlefield,Q15040040,,65,,2007.0
HorseTrainer,Noble_Threewitt,Q7045779,male,99,,2007.0
HorseTrainer,Oscar_White,Q7106317,male,75,,2009.0
HorseTrainer,Paddy_Prendergast_(racehorse_trainer),Q7123601,male,70,,2012.0
HorseTrainer,Edward_J._Yowell,Q5343699,male,76,,2009.0
HorseTrainer,John_Scott_(horseman),Q6257086,male,77,,2007.0
HorseTrainer,Louis_Feustel,Q6687162,male,86,,2009.0
HorseTrainer,H._Allen_Jerkens,Q5628051,male,86,,2006.0
HorseTrainer,Henry_Cecil,Q3132684,,70,,2004.0
HorseTrainer,Henry_M._Moreno,Q56630862,male,91,,2018.0
HorseTrainer,Henry_McDaniel_(racehorse_trainer),Q39071445,,81,,2017.0
HorseTrainer,Henry_S._Clark,Q5727851,male,95,,2007.0
HorseTrainer,Herbert_J._Thompson,Q27662045,male,56,,2016.0
HorseTrainer,Ivor_G._Balding,Q6099385,male,97,,2011.0
HorseTrainer,J._Elliott_Burch,Q6105594,male,87,,2009.0
HorseTrainer,J._Willard_Thompson,Q6107454,male,83,,2009.0
HorseTrainer,James_E._Bracken,Q55417963,male,90,,2018.0
HorseTrainer,James_E._Fitzsimmons,Q6133095,male,92,,2005.0
HorseTrainer,James_G._Rowe_Jr.,Q6134390,male,42,,2006.0
HorseTrainer,James_W._Maloney,Q15040041,male,75,,2011.0
HorseTrainer,Terrance_Millard,Q97143967,male,90,,2019.0
HorseTrainer,Charles_E._Whittingham,Q5077202,,86,,2005.0
HorseTrainer,Jerry_C._Meyer,Q59847589,male,78,,2018.0
HorseTrainer,Jim_Nazworthy,Q15040045,,48,,2009.0
HorseTrainer,John_Dunlop_(racehorse_trainer),Q6230451,male,79,,2007.0
HorseTrainer,LeRoy_Jolley,Q6506437,male,79,,2006.0
HorseTrainer,Sylvester_Veitch,Q7660839,,86,,2006.0
HorseTrainer,George_M._Odom,Q5541971,,82,,2009.0
HorseTrainer,Mesh_Tenney,Q6821245,male,86,,2006.0
HorseTrainer,"Sam_Darling_(jockey,_born_1852)",Q92360629,male,69,,2020.0
HorseTrainer,Buster_Millerick,Q5002167,male,81,,2010.0
HorseTrainer,Sol_Rutchick,Q63019616,male,66,,2019.0
HorseTrainer,Budd_Lepman,Q4984103,,82,,2011.0
HorseTrainer,Casey_Hayes,Q15040034,male,74,,2013.0
HorseTrainer,Sherrill_W._Ward,Q7495366,,73,,2011.0
HorseTrainer,Sonny_Hine,Q7562046,,69,,2006.0
HorseTrainer,Ryan_Price_(trainer),Q5628540,male,74,,2007.0
HorseTrainer,Vester_R._Wright,Q7923414,male,45,,2009.0
HorseTrainer,Pancho_Martin,Q7130353,male,87,,2011.0
HorseTrainer,William_J._Hirsch,Q8013244,male,88,,2012.0
HorseTrainer,William_B._Finnegan,Q8004789,,80,,2010.0
HorseTrainer,Winbert_F._Mulholland,Q8023688,male,85,,2009.0
HorseTrainer,Noel_Murless,Q7047130,male,77,,2005.0
HorseTrainer,Philip_G._Johnson_(horseman),Q18216872,male,79,,2014.0
HorseTrainer,William_C._Marshall,Q8006350,,87,,2008.0
HorseTrainer,Preston_M._Burch,Q7241932,male,94,,2007.0
HorseTrainer,Richard_Dawson_(racehorse_trainer),Q7325135,male,90,,2006.0
HorseTrainer,Richard_E._Dutrow_Sr.,Q7325369,male,62,,2007.0
HorseTrainer,Virgil_W._Raines,Q7933831,male,89,,2007.0
HorseTrainer,Cam_Gambolati,Q5024827,male,75,,2008.0
HorseTrainer,Roger_Attfield,Q7357815,male,85,,2006.0
HorseTrainer,Roger_Varian,Q19667530,male,45,,2015.0
HorseTrainer,Ron_McAnally,Q7364133,male,92,,2007.0
HorseTrainer,Ronald_W._Ellis,Q15040031,male,64,,2010.0
HorseTrainer,Sarah_A._Lundy,Q7422039,,70,,2008.0
HorseTrainer,Scott_A._Lake,Q7435867,,59,,2012.0
HorseTrainer,Thomas_J._Barry,Q7791019,male,117,,2008.0
HorseTrainer,Benjamin_W._Perkins_Jr.,Q4889345,,68,,2011.0
HorseTrainer,Bob_Baffert,Q4931714,male,71,,2005.0
HorseTrainer,Brad_H._Cox,Q106610304,male,44,,2021.0
HorseTrainer,Brian_Meehan,Q55314827,male,57,,2018.0
HorseTrainer,David_Cotey,Q5232600,male,76,,2009.0
HorseTrainer,David_Hofmans,Q5235078,male,81,,2007.0
HorseTrainer,David_R._Vance,Q5238849,male,84,,2010.0
HorseTrainer,Dermot_Weld,Q5262849,male,76,,2007.0
HorseTrainer,John_O._Hertler,Q6251053,,74,,2006.0
HorseTrainer,John_Oxx,Q6251477,male,74,,2007.0
HorseTrainer,John_Parisella,Q6251878,male,80,,2013.0
HorseTrainer,John_Servis,Q6257316,male,66,,2004.0
HorseTrainer,John_Shirreffs,Q6257721,male,79,,2007.0
HorseTrainer,John_W._Sadler,Q6262522,male,68,,2009.0
HorseTrainer,Jonathan_E._Sheppard,Q6273000,male,84,,2009.0
HorseTrainer,Jonathan_Pease,Q6273002,male,72,,2008.0
HorseTrainer,Josie_Carroll,Q6290731,female,67,,2006.0
HorseTrainer,Paul_Nicholls_(horse_racing),Q7152727,,62,,2007.0
HorseTrainer,Peter_Miller_(horse_trainer),Q60735400,male,58,,2018.0
HorseTrainer,Richard_E._Dutrow_Jr.,Q7325366,male,65,,2008.0
HorseTrainer,Richard_E._Mandella,Q7325389,male,74,,2006.0
HorseTrainer,Richard_Hannon_Jr.,Q16745320,male,49,,2014.0
HorseTrainer,Richard_Hannon_Sr.,Q7326252,male,79,,2007.0
HorseTrainer,Robert_Collet,Q7343034,male,76,,2009.0
HorseTrainer,Robert_Cowell,Q21281319,male,56,,2012.0
HorseTrainer,Linda_L._Rice,Q34494476,female,60,,2017.0
HorseTrainer,Craig_G._Roberts,Q5180982,male,94,,2009.0
HorseTrainer,Criquette_Head-Maarek,Q2965770,female,76,,2006.0
HorseTrainer,Colin_Tizzard,Q23771467,male,68,,2016.0
HorseTrainer,Edward_Plesa_Jr.,Q5344867,male,75,,2008.0
HorseTrainer,Eoin_G._Harty,Q5381718,,62,,2009.0
HorseTrainer,Frank_A._Alexander,Q5484856,male,87,,2010.0
HorseTrainer,Frank_L._Brothers,Q5487782,male,78,,2010.0
HorseTrainer,Gary_C._Contessa,Q5524805,,67,,2009.0
HorseTrainer,Gary_Sciacca,Q5525899,male,64,,2009.0
HorseTrainer,Gil_Rowntree,Q5560601,male,90,,2007.0
HorseTrainer,Mouse_Morris,Q15040091,male,73,,2007.0
HorseTrainer,Thomas_Albertrani,Q7786975,male,66,,2007.0
HorseTrainer,Thomas_F._Proctor,Q7789471,male,68,,2011.0
HorseTrainer,Thomas_M._Amoss,Q7792025,male,63,,2010.0
HorseTrainer,Andreas_Schütz,Q4755623,male,56,,2008.0
HorseTrainer,Louie_J._Roussel_III,Q15040049,male,78,,2012.0
HorseTrainer,Macdonald_Benson,Q6722971,,94,,2009.0
HorseTrainer,Shug_McGaughey,Q5129006,male,73,,2006.0
HorseTrainer,Sid_C._Attard,Q7507760,male,74,,2008.0
HorseTrainer,Stanley_M._Hough,Q15040036,male,76,,2011.0
HorseTrainer,Stephen_L._DiMauro,Q56065166,male,67,,2018.0
HorseTrainer,Steve_Margolis,Q15040042,male,61,,2013.0
HorseTrainer,Bruce_N._Levine,Q4978058,male,69,,2009.0
HorseTrainer,Tim_Ice,Q7803697,male,50,,2010.0
HorseTrainer,Timothy_F._Ritchey,Q15040048,,73,,2007.0
HorseTrainer,Tom_Dascombe,Q7815518,,51,,2010.0
HorseTrainer,W._Bret_Calhoun,Q7945362,male,60,,2009.0
HorseTrainer,Wally_Dunn,Q7963345,male,113,,2006.0
HorseTrainer,William_H._Fires,Q8010401,male,84,,2011.0
HorseTrainer,William_Haggas,Q15040069,male,64,,2013.0
HorseTrainer,William_I._Mott,Q8012767,,71,,2006.0
HorseTrainer,Aidan_O'Brien,Q2827781,male,55,,2005.0
HorseTrainer,Dale_Romans,Q5210514,male,58,,2008.0
HorseTrainer,Dallas_Stewart,Q5211419,male,65,,2008.0
HorseTrainer,Dan_L._Hendricks,Q5213841,male,66,,2011.0
HorseTrainer,Daniel_Vella,Q5217652,,69,,2008.0
HorseTrainer,Nick_Zito,Q11324431,male,76,,2006.0
HorseTrainer,H._Graham_Motion,Q5628269,male,60,,2010.0
HorseTrainer,Helen_Pitts_(horse_trainer),Q5702987,,50,,2009.0
HorseTrainer,Henry_Candy,Q25849895,male,80,,2016.0
HorseTrainer,Henry_L._Carroll,Q15040026,male,77,,2011.0
HorseTrainer,J._Bert_Sonnier,Q15040053,male,86,,2013.0
HorseTrainer,J._Larry_Jones,Q6106305,,68,,2009.0
HorseTrainer,J._Paco_Gonzalez,Q6106732,male,79,,2010.0
HorseTrainer,Jack_Van_Berg,Q6115564,male,88,,2006.0
HorseTrainer,James_J._Toner,Q6136770,male,84,,2008.0
HorseTrainer,Jason_Servis,Q63699589,male,67,,2019.0
HorseTrainer,Jay_M._Robbins,Q6166876,male,79,,2005.0
HorseTrainer,Jeff_Mullins_(horse_trainer),Q15040044,,61,,2010.0
HorseTrainer,Jimmy_Jerkens,Q6128150,male,65,,2008.0
HorseTrainer,Chad_Brown_(horse_trainer),Q5066180,male,46,,2009.0
HorseTrainer,Jerry_Hollendorfer,Q6183758,male,78,,2009.0
HorseTrainer,Jerry_M._Fanning,Q6184012,male,92,,2011.0
HorseTrainer,Joe_Orseno,Q15040046,male,69,,2007.0
HorseTrainer,John_C._Kimmel,Q6224487,male,70,,2008.0
HorseTrainer,John_F._Meagher,Q6232464,male,76,,2008.0
HorseTrainer,John_M._Gaver_Sr.,Q15040032,male,124,,2008.0
HorseTrainer,John_M._Veitch,Q6245983,male,79,,2006.0
HorseTrainer,John_Moore_(horseman),Q6249283,male,74,,2007.0
HorseTrainer,Kazuo_Fujisawa,Q6381626,male,73,,2008.0
HorseTrainer,Kelly_J._Breen,Q6386093,male,55,,2011.0
HorseTrainer,Kenneth_McPeek,Q6390469,male,62,,2007.0
HorseTrainer,Kiaran_McLaughlin,Q6403876,male,64,,2007.0
HorseTrainer,King_T._Leatherbury,Q6412103,male,91,,2007.0
HorseTrainer,Laura_de_Seroux,Q34497729,female,72,,2017.0
HorseTrainer,Yonnie_Starr,Q8055103,male,119,,2008.0
HorseTrainer,Doug_O'Neill,Q5300785,male,56,,2007.0
HorseTrainer,Mark_A._Hennig,Q6766457,,59,,2010.0
HorseTrainer,Mark_E._Casse,Q15040027,male,63,,2013.0
HorseTrainer,Martin_D._Wolfson,Q6775248,male,71,,2009.0
HorseTrainer,Ian_Wilkes,Q5983265,male,59,,2010.0
HorseTrainer,Michael_Dickinson_(horseman),Q6835130,male,74,,2006.0
HorseTrainer,Michael_J._Maker,Q6831443,male,55,,2010.0
HorseTrainer,Michael_R._Matz,Q2546403,male,73,,2006.0
HorseTrainer,Michael_W._McCarthy,Q107027081,male,53,,2021.0
HorseTrainer,Mike_de_Kock,Q95494682,,60,,2020.0
HorseTrainer,Neil_D._Drysdale,Q6988449,male,77,,2006.0
HorseTrainer,Neil_J._Howard,Q6988772,male,75,,2010.0
HorseTrainer,Niall_M._O'Callaghan,Q7023898,male,61,,2010.0
HorseTrainer,Reade_Baker,Q59660379,male,77,,2018.0
HorseTrainer,Scott_Blasi,Q15040024,,51,,2013.0
HorseTrainer,Tony_Dutrow,Q4773650,male,66,,2008.0
HorseTrainer,Patrick_B._Byrne,Q7146065,male,68,,2011.0
HorseTrainer,Richard_Marsh_(horseman),Q7327648,male,173,,2012.0
HorseTrainer,Yoshito_Yahagi,Q11583924,male,63,,2021.0
HorseTrainer,Michael_Stoute__Michael_Stoute__1,,,79,,
HorseTrainer,Gay_McKenna,Q33629664,,-20,,2017.0
HorseTrainer,George_Dawson_(trainer),Q5538439,male,-111,,2012.0
HorseTrainer,James_C._Bentley,Q109030221,male,-40,,2021.0
HorseTrainer,Ger_McKenna,Q33996463,,-10,,2017.0
HorseTrainer,Gregory_Duncan_Cameron,Q5606890,,-72,,2009.0
HorseTrainer,Jimmy_Pitt,Q102240336,male,-59,,2021.0
HorseTrainer,William_A._Hurley,Q8013253,male,-72,,2007.0
HorseTrainer,Clyde_Van_Dusen,Q5137039,male,-73,,2009.0
HorseTrainer,George_H._Conway,Q20656833,male,-85,,2015.0
HorseTrainer,Maurice_Zilber,Q3301534,,-16,,2006.0
HorseTrainer,Gwyn_R._Tompkins,Q15040054,male,-86,,2009.0
