subclass,instance,wikiDataID,gender,age,birthYear,publication_year
MilitaryPerson,Charles_Ausburne,Q5075256,male,0,,2005.0
MilitaryPerson,Charles_Austen,Q2958462,male,0,,2008.0
MilitaryPerson,Charles_B._DeBellevue,Q1191345,male,0,,2007.0
MilitaryPerson,Charles_B._Dougherty,Q21664375,male,0,,2015.0
MilitaryPerson,Charles_B._Eichelberger,Q5075289,male,0,,2005.0
MilitaryPerson,Charles_B._Gatewood,Q5075298,male,0,,2010.0
MilitaryPerson,Charles_B._Green,Q5075300,male,0,,2010.0
MilitaryPerson,Charles_B._MacDonald,Q5075317,male,0,,2007.0
MilitaryPerson,Charles_B._McVay_III,Q1747287,male,0,,2005.0
MilitaryPerson,Charles_B._McVay_Jr.,Q5075320,male,0,,2004.0
MilitaryPerson,Charles_B._Morris,Q5075324,male,0,,2007.0
MilitaryPerson,Charles_B._Stone_III,Q5075333,male,0,,2007.0
MilitaryPerson,Charles_B._Stoughton,Q5075334,male,0,,2006.0
MilitaryPerson,Charles_B._Stuart,Q5075335,male,0,,2008.0
MilitaryPerson,Charles_B._Tanner,Q81616366,male,0,,2020.0
MilitaryPerson,Charles_B._Wilson,,,0,,2010.0
MilitaryPerson,Charles_B._Woram,Q5075349,male,0,,2012.0
MilitaryPerson,Charles_Baker_(Medal_of_Honor),Q5075380,male,0,,2012.0
MilitaryPerson,Charles_Bampfield_Yule,Q5075398,male,0,,2006.0
MilitaryPerson,Charles_Barber_(brigadier),Q5075413,male,0,,2012.0
MilitaryPerson,Charles_Bartlett_(RAF_officer),Q5075450,male,0,,2011.0
MilitaryPerson,Charles_Basil_Price,Q5075458,male,0,,2007.0
MilitaryPerson,Charles_Baudin,Q1063698,male,0,,2004.0
MilitaryPerson,Charles_Beck_Hornby,Q17508388,male,0,,2014.0
MilitaryPerson,Charles_Beightler,Q29930730,male,0,,2017.0
MilitaryPerson,Charles_Belson,Q22019969,male,0,,2015.0
MilitaryPerson,Charles_Bendire,Q5075526,male,0,,2005.0
MilitaryPerson,Charles_Bertie_Prowse,Q107463486,,0,,2021.0
MilitaryPerson,Charles_Bethune,Q5075590,male,0,,2008.0
MilitaryPerson,Charles_Bieger,Q16030005,male,0,,2013.0
MilitaryPerson,Charles_Billingslea,Q2622324,male,0,,2019.0
MilitaryPerson,Charles_Blackader,Q5075633,male,0,,2011.0
MilitaryPerson,"Charles_Blount,_1st_Earl_of_Devon",,,0,,2006.0
MilitaryPerson,"Charles_Blount,_8th_Baron_Mountjoy",Q349363,male,-418,,2003.0
MilitaryPerson,Charles_Blucher,Q16827628,male,0,,2013.0
MilitaryPerson,Charles_Boarman,Q5075665,male,0,,2012.0
MilitaryPerson,Charles_Bolden,Q25011,male,78,,2004.0
MilitaryPerson,"Charles_Bonaventure_de_Longueval,_2nd_Count_of_Bucquoy",Q695234,male,0,,2004.0
MilitaryPerson,"Charles_Bonaventure_de_Longueval,_Count_of_Bucquoy",Q695234,male,0,,2017.0
MilitaryPerson,Charles_Bond_(pilot),Q9189006,male,0,,2009.0
MilitaryPerson,Charles_Bonham-Carter,Q1063761,male,0,,2011.0
MilitaryPerson,Charles_Borzecki,Q5075690,male,0,,2009.0
MilitaryPerson,Charles_Bouchard,Q2458904,male,0,,2011.0
MilitaryPerson,Charles_Bouchard__J.J.C._Bouchard__1,,,0,,
MilitaryPerson,Charles_Bowle-Evans,Q5075713,male,0,,2012.0
MilitaryPerson,Charles_Bradford_Smith,Q60694321,male,0,,2019.0
MilitaryPerson,Charles_Bradley_(sailor),Q16200687,male,0,,2013.0
MilitaryPerson,Charles_Brainard_Taylor_Moore,Q3276737,male,0,,2007.0
MilitaryPerson,Charles_Breese,Q5075757,male,0,,2007.0
MilitaryPerson,Charles_Breyer_(soldier),Q16058785,male,0,,2013.0
MilitaryPerson,Charles_Briggs_(Royal_Navy_officer),Q5075779,male,0,,2010.0
MilitaryPerson,Charles_Brisbane,Q5075790,male,0,,2005.0
MilitaryPerson,Charles_Brisbane_Ewart,Q5075791,male,0,,2011.0
MilitaryPerson,Charles_Broad_(British_Army_officer),Q5075792,male,0,,2009.0
MilitaryPerson,Charles_Broughton,Q5075820,male,0,,2011.0
MilitaryPerson,"Charles_Brown_(Medal_of_Honor,_1864)",Q16043649,male,0,,2013.0
MilitaryPerson,"Charles_Brown_(Medal_of_Honor,_1872)",Q2273153,male,0,,2007.0
MilitaryPerson,Charles_Brown_(Royal_Navy_officer),Q5075827,male,0,,2011.0
