subclass,instance,wikiDataID,gender,age,birthYear,publication_year
OfficeHolder,''Congregatio_Immaculati_Cordis_Mariae'',,,0,,
OfficeHolder,._Thiru_K.C._Veeramani.,,,0,,
OfficeHolder,100th_Delaware_General_Assembly,Q4546229,,0,,2009.0
OfficeHolder,100th_United_States_Congress,Q4546248,,0,,2004.0
OfficeHolder,101st_Delaware_General_Assembly,Q4546348,,0,,2009.0
OfficeHolder,101st_United_States_Congress,Q4546373,,0,,2004.0
OfficeHolder,102nd_Delaware_General_Assembly,Q4546419,,0,,2009.0
OfficeHolder,102nd_United_States_Congress,Q347346,,0,,2004.0
OfficeHolder,103rd_Delaware_General_Assembly,Q4546476,,0,,2009.0
OfficeHolder,103rd_United_States_Congress,Q3556780,,0,,2004.0
OfficeHolder,104th_Delaware_General_Assembly,Q4546531,,0,,2009.0
OfficeHolder,104th_United_States_Congress,Q3596857,,0,,2004.0
OfficeHolder,105th_Delaware_General_Assembly,Q4546600,,0,,2009.0
OfficeHolder,105th_United_States_Congress,Q3596884,,0,,2004.0
OfficeHolder,106th_Delaware_General_Assembly,Q4546668,,0,,2009.0
OfficeHolder,106th_United_States_Congress,Q3596897,,0,,2004.0
OfficeHolder,107th_Delaware_General_Assembly,Q4546725,,0,,2009.0
OfficeHolder,107th_United_States_Congress,Q2057259,,0,,2003.0
OfficeHolder,107th_Virginia_General_Assembly,Q16824001,,0,,2014.0
OfficeHolder,108th_Delaware_General_Assembly,Q4546774,,0,,2009.0
OfficeHolder,108th_Virginia_General_Assembly,Q16746719,,0,,2014.0
OfficeHolder,109th_Delaware_General_Assembly,Q4546817,,0,,2009.0
OfficeHolder,109th_Virginia_General_Assembly,Q16149313,,0,,2013.0
OfficeHolder,10th_Canadian_Ministry,Q164303,,0,,2006.0
OfficeHolder,10th_Delaware_General_Assembly,Q4547026,,0,,2009.0
OfficeHolder,10th_Oklahoma_Legislature,Q16970505,,0,,2013.0
OfficeHolder,10th_Parliament_of_Sri_Lanka,Q1448941,,0,,2010.0
OfficeHolder,10th_Philippine_Legislature,Q4547132,,0,,2007.0
OfficeHolder,10th_United_States_Congress,Q4547180,,0,,2003.0
OfficeHolder,110th_Delaware_General_Assembly,Q4547276,,0,,2009.0
OfficeHolder,110th_United_States_Congress,Q170018,,0,,2005.0
OfficeHolder,110th_Virginia_General_Assembly,Q16736262,,0,,2014.0
OfficeHolder,111th_Delaware_General_Assembly,Q4547327,,0,,2009.0
OfficeHolder,111th_United_States_Congress,Q170375,,0,,2005.0
OfficeHolder,111th_Virginia_General_Assembly,Q21188038,,0,,2015.0
OfficeHolder,112th_Delaware_General_Assembly,Q4547382,,0,,2009.0
OfficeHolder,112th_United_States_Congress,Q170447,,0,,2005.0
OfficeHolder,113th_Delaware_General_Assembly,Q4547423,,0,,2009.0
OfficeHolder,113th_United_States_Congress,Q71871,,0,,2007.0
OfficeHolder,114th_Delaware_General_Assembly,Q4547461,,0,,2009.0
OfficeHolder,114th_United_States_Congress,Q16146771,,0,,2007.0
OfficeHolder,115th_Delaware_General_Assembly,Q4547516,,0,,2009.0
OfficeHolder,115th_United_States_Congress,Q18740945,,0,,2007.0
OfficeHolder,116th_Delaware_General_Assembly,Q4547564,,0,,2009.0
OfficeHolder,117th_Delaware_General_Assembly,Q4547622,,0,,2009.0
OfficeHolder,118th_Delaware_General_Assembly,Q16824070,,0,,2009.0
OfficeHolder,119th_Delaware_General_Assembly,Q4547708,,0,,2009.0
OfficeHolder,11th_Canadian_Ministry,Q169774,,0,,2006.0
OfficeHolder,11th_Congress_of_the_Philippines,Q4547838,,0,,2006.0
OfficeHolder,11th_Delaware_General_Assembly,Q4547841,,0,,2009.0
OfficeHolder,11th_Oklahoma_Legislature,Q16970547,,0,,2013.0
OfficeHolder,11th_Parliament_of_Kenya,Q17007305,,0,,2013.0
OfficeHolder,11th_Parliament_of_Sri_Lanka,Q4547985,,0,,2010.0
OfficeHolder,11th_United_States_Congress,Q4547997,,0,,2003.0
OfficeHolder,120th_Delaware_General_Assembly,Q4548126,,0,,2009.0
OfficeHolder,121st_Delaware_General_Assembly,Q4548185,,0,,2009.0
OfficeHolder,122nd_Delaware_General_Assembly,Q4548247,,0,,2009.0
OfficeHolder,123rd_Delaware_General_Assembly,Q4548323,,0,,2009.0
OfficeHolder,124th_Delaware_General_Assembly,Q16824124,,0,,2009.0
OfficeHolder,125th_Delaware_General_Assembly,Q16824134,,0,,2009.0
OfficeHolder,126th_Delaware_General_Assembly,Q16824138,,0,,2009.0
OfficeHolder,127th_Delaware_General_Assembly,Q4548551,,0,,2009.0
OfficeHolder,128th_Delaware_General_Assembly,Q4548599,,0,,2009.0
OfficeHolder,129th_Delaware_General_Assembly,Q4548641,,0,,2009.0
OfficeHolder,129th_Ohio_General_Assembly,Q17163369,,0,,2010.0
OfficeHolder,12th_Canadian_Ministry,Q171914,,0,,2006.0
OfficeHolder,12th_Delaware_General_Assembly,Q4548807,,0,,2009.0
OfficeHolder,12th_Malaysian_Parliament,Q4548863,,0,,2008.0
OfficeHolder,12th_Oklahoma_Legislature,Q16970579,,0,,2013.0
OfficeHolder,12th_Parliament_of_Sri_Lanka,Q4548930,,0,,2010.0
OfficeHolder,12th_United_States_Congress,Q4548939,,0,,2003.0
OfficeHolder,130th_Delaware_General_Assembly,Q4549000,,0,,2009.0
OfficeHolder,130th_Ohio_General_Assembly,Q17162732,,0,,2012.0
OfficeHolder,131st_Delaware_General_Assembly,Q4549035,,0,,2009.0
OfficeHolder,131st_Ohio_General_Assembly,Q18148297,,0,,2014.0
OfficeHolder,132nd_Delaware_General_Assembly,Q4549073,,0,,2009.0
OfficeHolder,133rd_Delaware_General_Assembly,Q4549107,,0,,2009.0
OfficeHolder,134th_Delaware_General_Assembly,Q4549150,,0,,2009.0
OfficeHolder,135th_Delaware_General_Assembly,Q4549179,,0,,2009.0
