subclass,instance,wikiDataID,gender,age,birthYear,publication_year
PlayboyPlaymate,Dorothy_Stratten,Q241081,female,20,,2003.0
PlayboyPlaymate,Candy_Loving,Q5032105,female,68,,2005.0
PlayboyPlaymate,Carrie_Stevens,Q4980447,female,55,,2005.0
PlayboyPlaymate,Cassandra_Lynn,Q15140796,female,45,,2006.0
PlayboyPlaymate,Priscilla_Taylor,Q7245630,female,48,,2006.0
PlayboyPlaymate,Rosanne_Katon,Q7367351,female,70,,2006.0
PlayboyPlaymate,Sandy_Johnson,Q7417322,female,70,,2006.0
PlayboyPlaymate,Saundra_Edwards,Q4356852,female,86,,2006.0
PlayboyPlaymate,Betty_Blue_(model),Q3740560,female,93,,2006.0
PlayboyPlaymate,Brandi_Brandt,Q4356031,female,56,,2005.0
PlayboyPlaymate,Deanna_Brooks,Q4940812,female,50,,2005.0
PlayboyPlaymate,Debra_Jensen,Q5248476,female,66,,2006.0
PlayboyPlaymate,Debra_Jo_Fondren,Q4948439,female,69,,2005.0
PlayboyPlaymate,Delores_Wells,Q5254343,female,87,,2006.0
PlayboyPlaymate,Denise_Michele,Q5257721,female,71,,2005.0
PlayboyPlaymate,Devin_DeVasquez,Q3025474,female,61,,2005.0
PlayboyPlaymate,Hope_Dworaczyk,Q2391059,female,40,,2023.0
PlayboyPlaymate,Joyce_Nizzari,Q3187236,female,84,,2006.0
PlayboyPlaymate,Julie_McCullough,Q453222,female,59,,2006.0
PlayboyPlaymate,Juliette_Fretté,Q892607,female,41,,2008.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1954,Q6594254,,93,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1955,Q6594255,,101,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1956,Q6594256,,89,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1957,Q6594257,,91,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1958,Q21067579,,83,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1959,Q21067580,,88,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1960,Q18151765,,86,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1961,Q6594260,,83,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1962,Q6594258,,83,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1963,Q6594259,,80,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1964,Q6594261,,82,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1965,Q17387843,,82,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1966,Q6594264,,77,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1967,Q6594266,,77,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1968,Q18152517,,78,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1969,Q11723209,,77,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1970,Q6594269,,73,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1971,Q6594270,,79,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1972,Q6594271,,75,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1973,Q6594273,,77,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1974,Q21067583,,70,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1975,Q6594274,,72,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1976,Q21067584,,70,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1977,Q16237882,,71,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1978,Q17501761,,66,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1979,Q21067585,,68,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1980,Q16237884,,66,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1981,Q17501778,,64,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1982,Q16237886,,62,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1983,Q124268,,64,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1984,Q3938546,,59,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1985,Q2939832,,60,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1986,Q21067586,,60,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1987,Q6594279,,63,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1988,Q21067587,,62,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1989,Q16237888,,59,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1990,Q6180946,,63,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1991,Q6594280,,56,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1992,Q4423970,,56,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1993,Q17501716,,50,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1994,Q56033192,,54,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1995,Q6594281,,55,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1996,Q16237890,,54,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1997,Q17501744,,50,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1998,Q21067581,,48,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_1999,Q10749122,,49,,2010.0
PlayboyPlaymate,List_of_Playboy_Playmates_of_2000,Q17501702,,48,,2010.0
