subclass,instance,wikiDataID,gender,age,birthYear,publication_year
PoliceOfficer,Carl_Walker,Q5040928,,90,,2007.0
PoliceOfficer,Cassius_M._Hollister,Q5049495,male,179,,2008.0
PoliceOfficer,Pradip_Sawant,Q51337293,male,62,,2018.0
PoliceOfficer,Prentice_Earl_Sanders,Q7240549,male,87,,2006.0
PoliceOfficer,Protógenes_Queiroz,Q7252218,,65,,2009.0
PoliceOfficer,Robin_Hibu,Q111441107,male,56,,2022.0
PoliceOfficer,Rodney_Pocceschi,Q16015950,male,55,,2005.0
PoliceOfficer,Ron_Stallworth,Q53634043,male,71,,2018.0
PoliceOfficer,Roy_E._Steckel,Q7372762,male,137,,2006.0
PoliceOfficer,Rudra_Rajasingham,Q16017540,male,98,,2013.0
PoliceOfficer,Samuel_J._Battle,Q7411794,male,141,,2005.0
PoliceOfficer,Sanjeev_Dayal,Q16728432,male,69,,2014.0
PoliceOfficer,Sanjiv_Bhatt,Q7418562,male,61,,2011.0
PoliceOfficer,Michael_J._Murphy_(police_commissioner),Q114315967,,111,,2022.0
PoliceOfficer,Barney_Ruditsky,Q4861782,,126,,2012.0
PoliceOfficer,Bayan_Lewis,Q4874281,male,82,,2006.0
PoliceOfficer,Bhaskar_Jyoti_Mahanta,Q98915544,,61,,2020.0
PoliceOfficer,Bishop_Robinson_(police_officer),Q4917699,male,97,,2007.0
PoliceOfficer,Death_of_Brian_Sicknick,Q104721808,male,46,,2021.0
PoliceOfficer,Denis_O'Brien_(police_officer),Q5258800,male,125,,2006.0
PoliceOfficer,Hugh_Orde,Q5932192,male,66,,2005.0
PoliceOfficer,Hugo_Aguilar,Q5904363,male,72,,2017.0
PoliceOfficer,Humza_Al-Hafeez,Q5941910,male,93,,2012.0
PoliceOfficer,John_Nelson_(police_officer),Q6250249,male,96,,2004.0
PoliceOfficer,John_P._St._John_(police_officer),Q6251711,male,106,,2007.0
PoliceOfficer,John_Timoney_(police_officer),Q6260884,male,76,,2006.0
PoliceOfficer,Johnny_Broderick,Q15991575,,128,,2014.0
PoliceOfficer,Joseph_R._Kozenczak,Q40890673,,84,,2017.0
PoliceOfficer,José_Castillo_(police_officer),Q3296711,,123,,2005.0
PoliceOfficer,Patrick_Joseph_Morrissey,Q16749903,male,88,,2014.0
PoliceOfficer,Paul_F._Evans,Q16728878,male,76,,2014.0
PoliceOfficer,"Paul_Manning_(police_officer,_born_1973)",Q25184285,,51,,2016.0
PoliceOfficer,Peter_J._Pitchess,Q7174888,male,112,,2008.0
PoliceOfficer,Peter_Moskos,Q7175966,male,53,,2008.0
PoliceOfficer,Petrus_Johann_Coetzee,Q95063837,male,96,,2020.0
PoliceOfficer,Renault_Robinson,Q7312745,male,82,,2009.0
PoliceOfficer,Richard_Cain,Q167495,male,93,,2007.0
PoliceOfficer,Rishiraj_Singh,Q57586296,male,63,,2018.0
PoliceOfficer,Robert_B._Powers,Q19840587,male,124,,2015.0
PoliceOfficer,Robert_Hunt_(police_officer),Q15967877,male,89,,2013.0
PoliceOfficer,Robert_Leuci,Q7346865,male,84,,2011.0
PoliceOfficer,V._Joseph_Thomas,Q24055744,male,83,,2016.0
PoliceOfficer,Venkatarama_Reddy,Q7285405,male,155,,2011.0
PoliceOfficer,Vlastimir_Đorđević,Q2745459,male,76,,2006.0
PoliceOfficer,Death_of_Ged_Walker,Q5247438,,64,,2006.0
PoliceOfficer,Death_of_Jack_Avery,Q5247449,,113,,2007.0
PoliceOfficer,Donald_Cawley,Q113712008,male,95,,2022.0
PoliceOfficer,James_Slusser,Q6143283,male,108,,2012.0
PoliceOfficer,Max_Finkelstein,Q6794755,male,140,,2007.0
