subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Politician,Barbara_Ronson,Q4859263,female,76,,2005.0
Politician,Barbara_Rosenkranz,Q112165,female,66,,2010.0
Politician,Barbara_Rusling,Q108574090,female,79,,2021.0
Politician,Barbara_S._Jones,Q4859276,female,0,,2008.0
Politician,Barbara_Saben,Q96787826,female,-10,,2020.0
Politician,Barbara_Saß-Viehweger,Q807612,female,81,,2015.0
Politician,Barbara_Schmid-Federer,Q125397,female,59,,2022.0
Politician,Barbara_Scott,Q4859293,female,85,,2008.0
Politician,Barbara_Sears,Q4859294,female,63,,2012.0
Politician,Barbara_Serwaa_Asamoah,Q103872063,female,0,,2020.0
Politician,Barbara_Sharief,Q16193008,female,53,,2014.0
Politician,Barbara_Sims,Q64645007,female,85,,2019.0
Politician,Barbara_Sizemore,Q18211480,female,77,,2014.0
Politician,Barbara_Smith_Warner,Q16197251,female,0,,2014.0
Politician,Barbara_Snelling,Q4859381,female,87,,2006.0
Politician,Barbara_Snyder,Q4859313,female,69,,2011.0
Politician,Barbara_Spaniol,Q807642,female,61,,2022.0
Politician,Barbara_Spinelli,Q3634690,female,78,,2016.0
Politician,Barbara_Stafford,Q4859318,female,71,,2010.0
Politician,Barbara_Staggs,Q19646572,female,74,,2015.0
Politician,Barbara_Stamm,Q538376,female,78,,2005.0
Politician,Barbara_Stone,Q4859342,female,62,,2007.0
Politician,Barbara_Stripling,Q29057280,female,0,,2017.0
Politician,Barbara_Sullivan,Q4859349,female,78,,2005.0
Politician,Barbara_Swinton,Q51044880,female,64,,2018.0
Politician,Barbara_Sykes_(politician),Q4859350,female,0,,2010.0
Politician,Barbara_Thaler,Q64140675,female,42,,2019.0
Politician,Barbara_Thomson,Q47530002,female,70,,2018.0
Politician,Barbara_Toles,Q4859365,female,68,,2008.0
Politician,Barbara_Tuge-Erecińska,Q4859374,female,68,,2009.0
Politician,Barbara_Ulichny,Q4859375,female,77,,2011.0
Politician,Barbara_Underwood,Q807392,female,80,,2007.0
Politician,Barbara_Visser,Q1397858,female,47,,2012.0
Politician,Barbara_Vucanovich,Q525363,female,92,,2006.0
Politician,Barbara_W._Woodlee,Q23682497,female,0,,2016.0
Politician,Barbara_Washington,Q104520614,female,0,,2020.0
Politician,Barbara_Wasinger,Q81839605,female,0,,2020.0
Politician,Barbara_Watson_(politician),Q16145851,female,74,,2013.0
Politician,Barbara_Webster-Bourne,Q43284547,female,0,,2017.0
Politician,Barbara_West_Carpenter,Q84731169,female,0,,2020.0
Politician,Barbara_Wheeler,Q16886528,female,0,,2013.0
Politician,Barbara_Wiese,Q19517832,female,0,,2014.0
Politician,Barbara_Womack_Webb,Q101241717,female,0,,2020.0
Politician,Barbara_Wood_(politician),Q102267582,female,0,,2020.0
Politician,Barbara_Woodward,Q18228421,female,63,,2015.0
Politician,"Barbara_Wootton,_Baroness_Wootton_of_Abinger",Q200913,female,91,,2006.0
Politician,Barbara_Wright_(politician),Q4859419,female,91,,2010.0
Politician,Barbara_Yancy,Q106231327,female,62,,2021.0
Politician,"Barbara_Young,_Baroness_Young_of_Old_Scone",Q807703,female,76,,2004.0
Politician,Barbara_Zdrojewska,Q18170839,female,64,,2021.0
Politician,Barbara_d'Ursel_de_Lobkowicz,Q17350983,female,60,,2019.0
Politician,Barbara_Ćwioro,Q60613490,female,0,,2019.0
Politician,Barber_Conable,Q443631,male,81,,2005.0
Politician,Barbour_Lewis,Q807872,male,75,,2006.0
Politician,Barbro_Holmberg,Q3358782,female,72,,2004.0
Politician,Barbro_Westerholm,Q4859755,female,91,,2008.0
Politician,Barbu_Catargiu,Q554358,male,55,,2004.0
Politician,Barbu_Știrbey,Q613397,male,74,,2004.0
Politician,Barby_Wells,Q4859807,female,0,,2011.0
Politician,Barclay_H._Warburton_III,Q4859930,male,61,,2009.0
Politician,Barclay_Henley,Q807946,male,71,,2006.0
Politician,Barclay_Martin,Q807947,male,88,,2006.0
Politician,Barclay_Webster,Q4859958,male,79,,2008.0
Politician,Barclay_White,Q4859959,male,85,,2008.0
Politician,Bardhyl_Kollçaku,Q93758887,,57,,2020.0
Politician,Bardish_Chagger,Q21402871,female,44,,2015.0
Politician,Barefoot_Sanders,Q4860353,male,83,,2006.0
Politician,Barelal_Jatav,Q88028309,male,0,,2020.0
Politician,Baren_(writer),Q698992,male,71,,2010.0
Politician,Baren_Chandra_Barman,Q106780569,male,0,,2021.0
Politician,Barend_Biesheuvel,Q471204,male,81,,2002.0
Politician,Barend_du_Plessis,Q959620,male,84,,2010.0
Politician,Barent_Gardenier,Q724758,male,46,,2005.0
Politician,Bargir_Bakshi_Balaji_Rao,Q87473747,male,0,,2020.0
Politician,Bargrave_Deane,Q4860604,male,71,,2011.0
Politician,Barham_Salih,Q808173,male,64,,2004.0
Politician,Bari_Lurie,Q22073474,female,0,,2015.0
Politician,Barinder_Kumar_Goyal,Q111215349,male,0,,2022.0
Politician,Barindermeet_Singh_Pahra,Q107439506,male,43,,2021.0
Politician,Bariza_Khiari,Q2884565,female,78,,2008.0
Politician,Bariša_Čolak,Q4860840,male,68,,2012.0
Politician,Barjees_Tahir,Q5088106,male,75,,2007.0
Politician,Barkat_Gourad_Hamadou,Q727071,male,88,,2004.0
Politician,Barkat_Ullah_Bulu,Q71332524,male,0,,2019.0
Politician,Barkatullah_Khan,Q4860911,male,53,,2006.0
Politician,Barker_Burnell,Q808254,male,45,,2007.0
Politician,Barkhad_Ali_Salah,Q41694203,male,0,,2017.0
Politician,Barlen_Vyapoory,Q27662367,male,0,,2016.0
Politician,Barlow_Trecothick,Q26880502,male,-249,,2019.0
Politician,Barna_Buza,Q630927,male,71,,2010.0
Politician,Barna_Tánczos,Q20437970,male,48,,2021.0
Politician,Barnaba_Adorno,Q3635049,male,0,,2020.0
Politician,Barnaba_Guano,Q3635052,male,0,,2020.0
Politician,Barnaba_Marial_Benjamin,Q4861322,male,67,,2011.0
Politician,Barnabas_A._Samatta,Q97573454,male,84,,2020.0
Politician,Barnabas_Andyar_Gemade,Q4861327,male,76,,2011.0
Politician,Barnabas_Bidwell,Q808402,male,70,,2006.0
Politician,Barnabas_Burns,Q14928286,male,66,,2013.0
Politician,Barnabas_Fung,Q8958988,male,0,,2020.0
Politician,Barnabas_Kelet_Henagan,Q808407,male,57,,2006.0
Politician,Barnabas_Sibusiso_Dlamini,Q57715,male,76,,2006.0
Politician,Barnaby_Fitzpatrick,Q4861355,male,-443,,2011.0
Politician,"Barnaby_Fitzpatrick,_1st_Baron_Upper_Ossory",Q4861356,male,0,,2010.0
Politician,Barnaby_Joyce,Q4861362,male,57,,2004.0
Politician,Barnaby_Keeney,Q4861363,male,66,,2005.0
Politician,Barnabás_Tamás,Q1316455,male,72,,2013.0
Politician,Barnard_Drummond_Clarkson,Q16058414,male,0,,2014.0
Politician,Barnas_Sears,Q808439,male,78,,2006.0
Politician,Barnes_Compton,Q1862750,male,68,,2005.0
Politician,Barnes_Peacock,Q4861539,male,85,,2005.0
Politician,Barnet_Kenyon,Q4861610,male,-94,,2008.0
Politician,Barnett_Stross,Q197701,male,68,,2007.0
Politician,Barney_Augustus_Eaton,Q4861681,male,83,,2011.0
Politician,Barney_Burton,Q96634070,male,0,,2020.0
Politician,Barney_Cooney,Q4861711,male,85,,2008.0
Politician,Barney_Danson,Q808477,male,90,,2004.0
Politician,Barney_Fisher,Q64853119,male,77,,2019.0
Politician,Barney_Frank,Q537287,male,84,,2003.0
Politician,Barney_Goltz,Q19360521,male,84,,2015.0
Politician,Barney_Hayhoe,Q333645,male,0,,2006.0
Politician,Barney_Jackson,Q19360547,male,120,,2015.0
Politician,Barney_Mellows,Q4861757,male,46,,2008.0
Politician,Barney_Quilter,Q4861770,male,86,,2010.0
Politician,Barney_Semmelman,Q106046615,male,48,,2021.0
Politician,Baron_Alexander_von_Bach,Q448912,male,80,,2005.0
Politician,Baron_Anton_von_Doblhoff-Dier,Q78770,male,72,,2008.0
Politician,Baron_Franz_von_Pillersdorf,Q78823,male,76,,2008.0
Politician,Baron_Hill_(politician),Q595948,male,71,,2003.0
Politician,Baron_Ignaz_von_Plener,Q78834,male,98,,2008.0
Politician,Baron_Johann_von_Wessenberg-Ampringen,Q697262,male,85,,2008.0
Politician,Baron_Julius_von_Szilassy,Q4862528,male,154,,2010.0
Politician,Baron_Karl_von_Macchio,Q89102,male,86,,2010.0
Politician,Baron_Ladislaus_Müller_von_Szentgyörgy,Q4862556,male,86,,2010.0
Politician,Baron_Snider,Q23035424,male,0,,2015.0
Politician,Baron_Vaea,Q808685,male,88,,2006.0
Politician,Baron_Waqa,Q563297,male,65,,2008.0
Politician,Barra_McGrory,Q29359851,male,0,,2017.0
Politician,Barratt_O'Hara,Q4320546,male,87,,2005.0
Politician,Barre_Adan_Shire_Hiiraale,Q808837,male,0,,2005.0
Politician,Barrett_Rich,Q4863442,male,0,,2011.0
Politician,Barrie_Chivers,Q4863499,male,84,,2008.0
Politician,Barrie_Ciliberti,Q4863501,male,88,,2007.0
Politician,Barrie_Clark,Q19877089,male,86,,2015.0
Politician,Barrie_Dexter,Q4863512,male,97,,2010.0
Politician,Barrie_Unsworth__Barrie_Unsworth__1,,,90,,
Politician,Barrington_D._Parker,Q4863659,male,78,,2009.0
Politician,Barrington_D._Parker_Jr.,Q4863661,male,80,,2006.0
Politician,Barrington_Russell,Q60552524,male,66,,2019.0
Politician,Barrington_Wood,Q24648712,male,53,,2016.0
Politician,Barron_Patterson_McCune,Q4863810,male,93,,2009.0
Politician,Barrow_Peacock,Q16213410,male,54,,2013.0
Politician,Barry_Alderette,Q4863957,male,57,,2009.0
Politician,Barry_Anderson,Q5512149,male,70,,2006.0
Politician,Barry_Andrews_(politician),Q3777503,male,57,,2005.0
Politician,Barry_Ashe,Q41518466,male,0,,2017.0
Politician,Barry_B._Telford,Q47520702,male,78,,2018.0
Politician,Barry_B._White,Q4863991,male,0,,2010.0
Politician,Barry_Barnet,Q4863998,male,63,,2007.0
Politician,Barry_Black,Q4864018,male,76,,2005.0
Politician,Barry_Blaikie,Q24050422,male,77,,2016.0
Politician,Barry_Brucker,Q4864053,male,0,,2012.0
Politician,Barry_Buzan,Q2634998,male,78,,2005.0
Politician,Barry_Campbell,Q4864074,male,74,,2005.0
Politician,Barry_Coates,Q26845632,male,68,,2014.0
Politician,Barry_Cogan_(politician),Q4864100,male,88,,2008.0
Politician,Barry_Cohen_(politician),Q4864101,male,82,,2007.0
Politician,Barry_Collier_(politician),Q4864107,male,75,,2005.0
Politician,Barry_Coppinger,Q4864119,male,0,,2012.0
Politician,Barry_Cotter_(judge),Q106813424,male,61,,2022.0
Politician,Barry_Coulter,Q4864124,male,0,,2010.0
Politician,Barry_Cowen,Q4864133,male,57,,2011.0
Politician,Barry_Crago,Q104764483,male,0,,2021.0
Politician,Barry_Cunningham_(politician),Q4864143,male,79,,2008.0
Politician,Barry_Curtis_(mayor),Q4864146,male,85,,2006.0
Politician,Barry_Dallas,Q4864150,male,66,,2008.0
Politician,Barry_Desmond__Barry_Desmond__1,,,89,,
Politician,Barry_Devolin,Q2885727,male,61,,2004.0
Politician,Barry_Dodds,Q43637045,male,0,,2017.0
Politician,Barry_Doss,Q16209193,male,0,,2014.0
Politician,Barry_E._DuVal,Q4864188,male,65,,2005.0
Politician,Barry_Egan_(politician),Q4864198,male,-70,,2009.0
Politician,Barry_Elsby,Q4864199,male,0,,2011.0
Politician,Barry_Finegold,Q4864224,male,53,,2007.0
Politician,Barry_Fleming,Q61905311,male,59,,2019.0
Politician,Barry_G._Silverman,Q4864244,male,73,,2008.0
Politician,Barry_Gardiner,Q391169,male,67,,2003.0
Politician,Barry_Glassman,Q4864257,male,62,,2007.0
Politician,Barry_Goldwater,Q319129,male,89,,2001.0
Politician,Barry_Goldwater_Jr.,Q809039,male,86,,2005.0
Politician,Barry_Gray_(radio_personality),Q4864276,male,80,,2005.0
Politician,Barry_Grissom,Q33354647,male,70,,2017.0
Politician,Barry_Grodenchik,Q22088114,male,64,,2016.0
Politician,Barry_Gutierrez,Q17466123,male,50,,2014.0
Politician,Barry_Haase,Q4864285,male,79,,2004.0
Politician,Barry_Henderson,Q4864299,male,88,,2006.0
Politician,Barry_Hicken,Q28054084,male,78,,2016.0
Politician,Barry_Hobbins,Q4864316,male,73,,2009.0
Politician,Barry_Hodge__Barry_Hodge__1,,,80,,
Politician,Barry_Holloway,Q3274465,male,79,,2013.0
Politician,Barry_House,Q4864320,male,75,,2008.0
Politician,Barry_Hovis,Q70938006,male,0,,2019.0
Politician,Barry_Hynes,Q19878928,male,0,,2015.0
Politician,Barry_III,Q4864331,male,-53,,2010.0
Politician,Barry_Ivey,Q16218550,male,0,,2013.0
Politician,"Barry_Jones,_Baron_Jones",Q809053,male,86,,2004.0
Politician,Barry_Jones_(Australian_politician),Q4864363,male,92,,2005.0
Politician,Barry_Jones_(Canadian_politician),Q20712177,male,84,,2015.0
Politician,Barry_Jozwiak,Q19560905,male,79,,2015.0
Politician,Barry_Keene,Q4864375,male,86,,2008.0
Politician,Barry_Knight_(politician),Q4864388,male,70,,2009.0
Politician,Barry_Kutun,Q19276679,male,83,,2014.0
Politician,Barry_Lee_Myers,Q4864412,male,81,,2008.0
Politician,Barry_Legg,Q4864413,male,75,,2005.0
Politician,Barry_Leon,Q21933527,male,0,,2015.0
Politician,Barry_Levey,Q4864418,male,74,,2010.0
Politician,Barry_Locke,Q4864432,male,77,,2011.0
Politician,Barry_Loudermilk,Q16731643,male,61,,2013.0
Politician,Barry_Lowen,Q57891534,male,0,,
Politician,Barry_Lowenkron,Q4864436,male,0,,2008.0
Politician,Barry_M._Davies,Q98551747,male,0,,2020.0
Politician,Barry_MacKinnon,Q4864455,male,80,,2012.0
Politician,Barry_Madlener,Q545023,male,55,,2008.0
Politician,Barry_Mask,Q64853121,male,65,,2019.0
Politician,Barry_Mather,Q4864472,male,73,,2006.0
Politician,Barry_Matthews,Q4864474,male,0,,2006.0
Politician,"Barry_Maxwell,_1st_Earl_of_Farnham",Q4864477,male,-224,,2007.0
Politician,Barry_McCaffrey,Q4864483,male,82,,2004.0
Politician,Barry_McElduff,Q4864486,male,58,,2007.0
Politician,Barry_McFarland,Q4864490,male,76,,2007.0
Politician,Barry_Milligan,Q83906492,male,0,,2020.0
Politician,Barry_Mills_(college_president),Q4864519,male,0,,2008.0
Politician,Barry_Moore_(Alabama_politician),Q63198048,male,58,,2019.0
Politician,Barry_Morishita,Q110785334,male,0,,2021.0
Politician,Barry_O'Farrell,Q1803998,male,65,,2005.0
Politician,Barry_O'Keefe,Q16939466,male,81,,2014.0
Politician,Barry_O'Rourke,Q47545523,male,61,,2017.0
Politician,Barry_O'Sullivan,Q16189433,male,67,,2013.0
Politician,Barry_O'Toole,Q4864587,male,-80,,2008.0
Politician,Barry_Pashak,Q4864597,male,84,,2005.0
Politician,Barry_Penner,Q4864604,male,58,,2006.0
Politician,Barry_Peterson_(Republican),Q30122302,male,0,,2017.0
Politician,Barry_Petten,Q22279661,male,0,,2015.0
Politician,Barry_R._Schaller,Q4864635,male,0,,2006.0
Politician,Barry_Reid,Q4864661,male,0,,2011.0
Politician,Barry_Richard,Q107570061,male,82,,2021.0
Politician,Barry_Rowland,Q26251720,male,0,,2016.0
Politician,Barry_Salman,Q65030901,male,84,,2019.0
Politician,Barry_Sehlin,Q108414939,male,82,,2021.0
Politician,Barry_Sheerman,Q477464,male,84,,2004.0
Politician,Barry_Silver,Q4864738,male,68,,2012.0
Politician,Barry_Simon_(politician),Q4864744,male,68,,2008.0
Politician,Barry_Steers,Q4864775,male,84,,2011.0
Politician,Barry_Steggall,Q4864777,male,81,,2010.0
Politician,Barry_Steven_Jackson,Q4864780,male,64,,2007.0
Politician,Barry_Stout,Q4864792,male,80,,2008.0
Politician,Barry_Swanson,Q4864818,male,74,,2010.0
Politician,Barry_T._Albin,Q4864822,male,72,,2005.0
