subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Royalty,'Abd_Allah_II_ibn_'Ali_'Abd_ash-Shakur,Q2820897,male,0,,2005.0
Royalty,'Abd_al-Ahad_Khan,Q4413077,male,0,,2012.0
Royalty,'Abd_al-Ilah,Q307540,male,0,,2012.0
Royalty,'Abd_ar-Rahman_ibn_Muhammad_al-Amin,Q8076268,male,0,,2011.0
Royalty,'Adud_al-Dawla,Q506243,male,0,,2005.0
Royalty,'Ali-Sultan,Q3817969,male,0,,2008.0
Royalty,'Apepi,Q3801467,male,0,,2014.0
Royalty,'Mamohato_Bereng_Seeiso,Q459286,female,0,,2006.0
Royalty,'Mantšebo,Q2729899,female,0,,2008.0
Royalty,'Masenate_Mohato_Seeiso,Q2804870,female,0,,2007.0
Royalty,(..)ibra,Q107143858,male,0,,2021.0
Royalty,14th_Dalai_Lama,Q17293,male,0,,2003.0
Royalty,23rd_Ruler,Q23580339,male,0,,2015.0
Royalty,24th_Ruler,Q23036030,male,0,,2015.0
Royalty,28th_Ruler,Q23580349,male,0,,2015.0
Royalty,A'annepada,Q277645,male,0,,2020.0
Royalty,A-Imdugud,Q88870120,male,0,,2020.0
Royalty,A_Nong,Q29902645,female,0,,2017.0
Royalty,Aahotepre,Q3603042,male,0,,2023.0
Royalty,Aaron_the_Tyrant,Q220660,male,0,,2005.0
Royalty,Abadiya_bint_Ali,Q12210306,female,0,,2019.0
Royalty,Abalgamash,Q305264,male,0,,2020.0
Royalty,Abantidas,Q305524,male,0,,2005.0
Royalty,Abaoji,Q4989,male,0,,2005.0
Royalty,Abaqa_Khan,Q223239,male,0,,2004.0
Royalty,Abar_(Queen),Q186524,female,0,,2024.0
Royalty,Abas_I_of_Armenia,Q1281235,male,0,,2005.0
Royalty,Abatai,Q4663569,male,0,,2005.0
Royalty,Abba-El_I,Q305836,male,0,,2014.0
Royalty,Abba-El_II,Q15982253,male,0,,2014.0
Royalty,Abba_Bok'a,Q4663631,male,0,,2005.0
Royalty,Abba_Gomol,Q4663636,male,0,,2005.0
Royalty,Abba_Jifar_I,Q4663641,male,0,,2005.0
Royalty,Abba_Jifar_II,Q2820220,male,0,,2005.0
