subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Scientist,Nawab_Alam_Yar_Jung_Bahadur,Q6982739,male,134,,2009.0
Scientist,Nawal_M._Nour,Q6982858,female,0,,2010.0
Scientist,Naweed_Syed,Q6982905,male,0,,2009.0
Scientist,Nayanjot_Lahiri,Q24851539,female,0,,2016.0
Scientist,Nazanin_Bassiri-Gharb,Q76650736,female,0,,2020.0
Scientist,Nazim_Terzioglu,,,0,,2022.0
Scientist,Nazimah_Hamid,Q57666129,female,0,,2019.0
Scientist,Nazir_Ahmad_(neurosurgeon),Q18379760,male,74,,2014.0
Scientist,Nazir_Ahmed_(physicist),Q11181251,male,75,,2009.0
Scientist,Nazira_Karodia,Q56512495,female,0,,2018.0
Scientist,Nazneen_Rahman,Q16734865,female,0,,2014.0
Scientist,Nazım_Terzioglu,Q16008106,male,-48,,2013.0
Scientist,Naşide_Gözde_Durmuş,Q29948043,female,0,,2017.0
Scientist,Ndidiamaka_Amutah-Onukagha,Q88923656,female,0,,2022.0
Scientist,Ndubuisi_Ekekwe,Q54861155,male,0,,2018.0
Scientist,Neal_Amundson,Q6984044,male,95,,2008.0
Scientist,Neal_Devaraj,Q87985947,male,44,,2022.0
Scientist,Neal_E._Miller,Q573726,male,93,,2006.0
Scientist,Neal_Evenhuis,Q6984094,male,72,,2013.0
Scientist,Neal_H._Williams,Q11171606,male,0,,2008.0
Scientist,Neal_J._Cohen,Q24572187,male,0,,2016.0
Scientist,Neal_K._Van_Alfen,Q103791504,male,0,,2020.0
Scientist,Neal_Koblitz,Q931472,male,76,,2005.0
Scientist,Neal_Krause,Q17466347,male,76,,2014.0
Scientist,Neal_L._First,Q6984131,male,84,,2007.0
Scientist,Neal_Menzies,Q6984151,male,95,,2007.0
Scientist,Neal_Miller,,,0,,2006.0
Scientist,Neal_Roese,Q17152704,male,59,,2013.0
Scientist,Neal_Schmitt,Q64746318,male,0,,2019.0
Scientist,Near_Earth_Asteroid_Tracking,,,0,,2010.0
Scientist,Neb_Duric,Q2813455,male,0,,2012.0
Scientist,Nebi_Mis,,,0,,
Scientist,Necla_Pur,Q6083485,female,81,,2010.0
Scientist,Ned_Abraham,Q26251050,male,63,,2014.0
Scientist,Ned_Goldwasser,Q44087575,male,97,,2016.0
Scientist,Ned_Wingreen,Q24204649,male,0,,2016.0
Scientist,Neda_Alijani,Q85164946,female,0,,2020.0
Scientist,Nediljko_Budisa,Q28758221,male,58,,2017.0
Scientist,Nedjib_(Ned)_Djilali,Q55624911,male,0,,2018.0
Scientist,Needhi_Bhalla,Q60891956,female,0,,2019.0
Scientist,Neelam_Giri,Q88760637,female,0,,2022.0
Scientist,Neelam_Gupta,,,0,,
Scientist,Neelamraju_Ganga_Prasada_Rao,Q26828669,male,89,,2016.0
