subclass,instance,wikiDataID,gender,age,birthYear,publication_year
SportsManager,Gustavo_de_Simone,Q3779946,male,76,,2008.0
SportsManager,Gustavo_Álvarez,Q57815021,male,52,,2019.0
SportsManager,Gusztáv_Juhász,Q975355,male,92,,2010.0
SportsManager,Gusztáv_Sebes,Q381770,male,80,,2005.0
SportsManager,Guti,Q194461,male,48,,2005.0
SportsManager,Guto_Ferreira,Q5621833,male,59,,2010.0
SportsManager,Guus_Hiddink,Q484534,male,78,,2004.0
SportsManager,Guwançmuhammet_Öwekow,Q2066155,male,43,,2007.0
SportsManager,Guy-Michel_Nisas,Q18720165,male,0,,2014.0
SportsManager,Guy_Azouri__Guy_Azouri__1,,,61,,
SportsManager,Guy_Branston,Q5622118,male,45,,2006.0
SportsManager,Guy_Butters,Q3780030,male,55,,2006.0
SportsManager,Guy_David_(footballer),Q3121706,male,61,,2024.0
SportsManager,Guy_Elmour,Q19341000,male,-12,,2015.0
SportsManager,Guy_Feutchine,Q2604042,male,48,,2008.0
SportsManager,Guy_Genet,Q3121805,male,69,,2021.0
SportsManager,Guy_Hellers,Q925015,male,60,,2006.0
SportsManager,Guy_Lacombe,Q763318,male,69,,2006.0
SportsManager,Guy_Levy,Q5622422,male,58,,2007.0
SportsManager,Guy_Lusadisu,Q3780044,male,42,,2016.0
SportsManager,Guy_Luzon,Q5622436,male,49,,2009.0
SportsManager,Guy_Mangelschots,Q5251097,male,83,,2021.0
SportsManager,Guy_Mathez,Q118838,male,78,,2008.0
SportsManager,Guy_Newman_(soccer),Q5622501,male,67,,2009.0
SportsManager,Guy_Ngosso,Q5622510,male,39,,2009.0
SportsManager,Guy_Nosibor,Q3122035,male,70,,2021.0
SportsManager,Guy_Poitevin,Q3122085,male,81,,2009.0
SportsManager,Guy_Roux,Q435771,male,86,,2006.0
SportsManager,Guy_Russell_(footballer),Q5622574,male,57,,2009.0
SportsManager,Guy_Solomon,Q5622604,male,47,,2010.0
SportsManager,Guy_Stéphan,Q780292,male,68,,2007.0
SportsManager,Guy_Thys,Q579497,male,81,,2003.0
SportsManager,Guy_Tzarfati,Q3580804,male,45,,2009.0
SportsManager,Guy_Vandersmissen,Q2104485,male,67,,2008.0
SportsManager,Guy_Whittingham,Q5622675,male,60,,2005.0
SportsManager,Guðjón_Árni_Antoníusson,Q3780120,male,41,,2010.0
SportsManager,Guðjón_Þórðarson,Q1785677,male,69,,2005.0
SportsManager,Guðmundur_Benediktsson,Q3780122,male,50,,2014.0
SportsManager,Guðmundur_Hreiðarsson,Q24006816,male,64,,2019.0
SportsManager,Guðmundur_Mete,Q5614669,male,43,,2012.0
SportsManager,Guðmundur_Steinarsson,Q434698,male,45,,2009.0
SportsManager,Guðmundur_Torfason,Q2192053,male,63,,2006.0
SportsManager,Guðni_Kjartansson,Q16107373,male,78,,2013.0
SportsManager,Gwak_Kyung-keun,Q890221,male,52,,2008.0
SportsManager,Gyula_Feldmann,Q572383,male,75,,2007.0
SportsManager,Gyula_Grosics,Q371557,male,88,,2006.0
SportsManager,Gyula_Kertész,Q591602,male,94,,2009.0
SportsManager,Gyula_Lóránt,Q551314,male,58,,2007.0
SportsManager,Gyula_Mándi,Q728763,male,70,,2007.0
SportsManager,Gyula_Nagy,Q1471602,male,72,,2008.0
SportsManager,Gyula_Rákosi,Q838713,male,86,,2008.0
SportsManager,Gyula_Teleki,Q5625603,male,89,,2009.0
SportsManager,"Gyula_Tóth_(footballer,_born_1941)",Q1353512,male,73,,2009.0
SportsManager,Gyula_Zsengellér,Q444839,male,84,,2005.0
SportsManager,György_Babolcsay,Q787973,male,55,,2013.0
SportsManager,György_Bognár,Q833390,male,63,,2006.0
SportsManager,György_Hlavay,Q1037116,male,70,,2021.0
SportsManager,György_Kottán,Q1119878,male,78,,2009.0
SportsManager,György_Marik,Q751337,male,64,,2019.0
SportsManager,György_Mezey,Q902579,male,83,,2006.0
SportsManager,György_Molnár,Q745633,male,76,,2007.0
SportsManager,György_Orth,Q719431,male,61,,2007.0
SportsManager,György_Szűcs,Q642472,male,79,,2008.0
SportsManager,György_Sándor_(footballer),Q1314660,male,40,,2007.0
SportsManager,György_Sárosi,Q502942,male,81,,2006.0
SportsManager,György_Tóth,Q1327172,male,79,,2008.0
SportsManager,György_Véber,Q1462362,male,55,,2008.0
SportsManager,Győző_Burcsa,Q901376,male,70,,2008.0
SportsManager,Gábor_Babos,Q552401,male,50,,2007.0
