subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Writer,Geling_Yan,Q6490971,male,66,,2008.0
Writer,Geling_Yan,Q6514303,male,66,,2008.0
Writer,Geling_Yan,Q651598,male,66,,2008.0
Writer,Geling_Yan,Q6520707,male,66,,2008.0
Writer,Geling_Yan,Q65218660,male,66,,2008.0
Writer,Geling_Yan,Q65486485,male,66,,2008.0
Writer,Geling_Yan,Q65945959,male,66,,2008.0
Writer,Geling_Yan,Q66287359,,66,,2008.0
Writer,Geling_Yan,Q6673384,female,66,,2008.0
Writer,Geling_Yan,Q6688278,male,66,,2008.0
Writer,Geling_Yan,Q67179670,male,66,,2008.0
Writer,Geling_Yan,Q67200483,,66,,2008.0
Writer,Geling_Yan,Q6732087,male,66,,2008.0
Writer,Geling_Yan,Q673217,male,66,,2008.0
Writer,Geling_Yan,Q67409605,male,66,,2008.0
Writer,Geling_Yan,Q67418,male,66,,2008.0
Writer,Geling_Yan,Q678016,male,66,,2008.0
Writer,Geling_Yan,Q6828952,male,66,,2008.0
Writer,Geling_Yan,Q6830583,male,66,,2008.0
Writer,Geling_Yan,Q6915753,male,66,,2008.0
Writer,Geling_Yan,Q695861,male,66,,2008.0
Writer,Geling_Yan,Q697741,male,66,,2008.0
Writer,Geling_Yan,Q703406,male,66,,2008.0
Writer,Geling_Yan,Q7103155,male,66,,2008.0
Writer,Geling_Yan,Q712298,male,66,,2008.0
Writer,Geling_Yan,Q7152029,male,66,,2008.0
Writer,Geling_Yan,Q7153782,male,66,,2008.0
Writer,Geling_Yan,Q718183,male,66,,2008.0
Writer,Geling_Yan,Q71821,male,66,,2008.0
Writer,Geling_Yan,Q721659,male,66,,2008.0
Writer,Geling_Yan,Q7326155,male,66,,2008.0
Writer,Geling_Yan,Q7329517,male,66,,2008.0
Writer,Geling_Yan,Q7347484,male,66,,2008.0
Writer,Geling_Yan,Q7351403,male,66,,2008.0
Writer,Geling_Yan,Q7364511,male,66,,2008.0
Writer,Geling_Yan,Q739521,male,66,,2008.0
Writer,Geling_Yan,Q74402647,female,66,,2008.0
Writer,Geling_Yan,Q7502326,female,66,,2008.0
Writer,Geling_Yan,Q7508102,male,66,,2008.0
Writer,Geling_Yan,Q7553785,female,66,,2008.0
Writer,Geling_Yan,Q76151175,female,66,,2008.0
Writer,Geling_Yan,Q768289,male,66,,2008.0
Writer,Geling_Yan,Q77061,male,66,,2008.0
Writer,Geling_Yan,Q77557,male,66,,2008.0
Writer,Geling_Yan,Q7808858,male,66,,2008.0
Writer,Geling_Yan,Q78491,male,66,,2008.0
Writer,Geling_Yan,Q787717,male,66,,2008.0
Writer,Geling_Yan,Q78919637,female,66,,2008.0
Writer,Geling_Yan,Q79097506,male,66,,2008.0
Writer,Geling_Yan,Q79329370,male,66,,2008.0
