subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Engineer,Callcott_Reilly,Q21664866,male,72,,2015.0
Engineer,Calvin_Waters_Christian,Q5024530,male,92,,2009.0
Engineer,Capel_Lofft_Holden,Q61420561,male,81,,2019.0
Engineer,Carl_Benz,Q40224,male,85,,2001.0
Engineer,Carl_Roman_Abt,Q123778,male,83,,2005.0
Engineer,Beauchamp_Tower,Q4877419,,59,,2006.0
Engineer,Povl_Ahm,Q7235896,male,79,,2007.0
Engineer,Prosper_L'Orange,Q98354,male,63,,2008.0
Engineer,Robert_Mallet,Q983172,male,71,,2004.0
Engineer,Robert_Parker_Parrott,Q7348287,male,73,,2005.0
Engineer,Robert_Rawlinson,Q7349175,male,88,,2005.0
Engineer,Robert_Riddles,Q7349285,male,91,,2004.0
Engineer,Robert_Sinclair_(locomotive_engineer),Q16059727,,81,,2007.0
Engineer,Robert_Stirling,Q366209,male,88,,2003.0
Engineer,Robert_Urie,Q7350538,male,83,,2006.0
Engineer,Robert_Watson_(engineer),Q7350892,male,69,,2011.0
Engineer,Robert_Whitehead,Q1345578,male,82,,2005.0
Engineer,Robert_Wynne-Edwards,Q7351288,male,77,,2008.0
Engineer,Roland_Bond,Q7360169,male,77,,2005.0
Engineer,Ron_Jarvis,Q7273635,male,83,,2006.0
Engineer,Roque_Ruaño,Q7366798,male,58,,2009.0
Engineer,Rostislav_Alexeyev,Q678675,male,64,,2007.0
Engineer,Roy_Chadwick,Q2170783,male,54,,2004.0
Engineer,Roy_Chaplin,Q5078261,male,89,,2013.0
Engineer,Roy_Fedden,Q2170818,,88,,2005.0
Engineer,Samuel_W._Alderson,Q1352633,,7,,2005.0
Engineer,Michael_Dickson_(engineer),Q6829853,,74,,2007.0
Engineer,Beatrice_Hicks,Q41589,female,60,,2005.0
Engineer,Beatrice_Shilling,Q4877196,,81,,2007.0
Engineer,Benjamin_Baker_(engineer),Q817394,,67,,2002.0
Engineer,Bernardo_Quintana_Arrioja,Q4893946,male,65,,2010.0
Engineer,Bindon_Blood_Stoney,Q4914038,male,81,,2011.0
Engineer,Boris_Lisunov,Q893749,male,48,,2007.0
Engineer,Bradford_Leslie,Q4954713,,95,,2010.0
Engineer,David_Crosthwait,Q5011735,male,78,,2006.0
Engineer,David_D._Caldwell,Q5232766,,83,,2009.0
Engineer,David_Jones_(railway),Q5235744,male,72,,2005.0
Engineer,David_Louis_Lidman,Q5236772,male,87,,2009.0
Engineer,Delf_Norona,Q5253661,male,79,,2009.0
Engineer,Demetrius_Comino,Q5255284,male,86,,2012.0
Engineer,Archibald_Sturrock,Q4786532,,93,,2006.0
Engineer,Holland_Archer_Davis,Q5880911,male,86,,2009.0
Engineer,Howard_Grubb,Q11200333,male,87,,2006.0
Engineer,Hubert_Shirley-Smith,Q5927610,male,80,,2008.0
Engineer,Hugh_McLellan_Southgate,Q5931850,male,69,,2009.0
Engineer,Hyman_Herman,Q18350545,male,87,,2014.0
Engineer,John_Perry_(engineer),Q3182287,male,70,,2004.0
Engineer,John_Rennie_the_Younger,Q6254620,male,80,,2004.0
Engineer,John_Robert_Boker_Jr.,Q1470251,male,90,,2009.0
Engineer,John_Robinson_McClean,Q6255297,,60,,2007.0
Engineer,John_Rylands,Q15525081,male,87,,2004.0
Engineer,John_Vernon_Bartlett,Q6261953,male,94,,2010.0
Engineer,John_Wall_(inventor),Q6262759,male,86,,2010.0
Engineer,John_Walter_Scott,Q657994,male,74,,2009.0
Engineer,John_Wesley_Hyatt,Q902371,male,83,,2005.0
Engineer,John_Wolfe_Barry,Q1658568,male,82,,2003.0
Engineer,Jonathan_Hornblower_(born_1717),Q6273424,,63,,2006.0
Engineer,Joseph_Armstrong_(engineer),Q6281111,,61,,2006.0
Engineer,Joseph_Britton_Leavy,Q15451679,male,49,,2009.0
Engineer,Joseph_Dwyer_(engineer),Q71332822,male,82,,2019.0
Engineer,Joseph_F._Ware_Jr.,Q17183544,,96,,2014.0
Engineer,Joseph_Hamilton_Beattie,Q6283758,male,63,,2007.0
Engineer,Joseph_Locke,Q355785,male,55,,2003.0
Engineer,Joseph_M._Clary,Q6285096,male,91,,2009.0
Engineer,Joseph_Quick_(engineer),Q2162604,male,85,,2007.0
Engineer,Joseph_Smith_(aircraft_designer),Q3185644,male,59,,2005.0
Engineer,Joseph_Smith_(aircraft_designer),Q42648577,male,59,,2005.0
Engineer,Joseph_Whitworth,Q712307,male,84,,2002.0
Engineer,Josiah_Vavasseur,Q27652128,male,74,,2016.0
Engineer,Josias_Jessop,Q6290699,male,45,,2005.0
Engineer,José_Bozzano,Q5481250,male,74,,2008.0
Engineer,Patrick_Stirling_(railway_engineer),Q7147687,male,75,,2005.0
Engineer,Paul_Boucherot,Q686435,male,74,,2008.0
Engineer,Paul_Gottlieb_Nipkow,Q63709,male,80,,2004.0
Engineer,Paul_Grundy_(engineer),Q7151031,male,78,,2013.0
Engineer,Paul_Hilmar_Jensen,Q7151290,male,74,,2009.0
Engineer,Pavel_Sukhoi,Q310347,,80,,2002.0
Engineer,Peter_Arthur_Cox,Q7172566,male,96,,2010.0
Engineer,Peter_Carl_Goldmark,Q943577,,71,,2005.0
Engineer,Peter_Hobbs_(engineer),Q7174689,male,92,,2011.0
Engineer,Peter_Nicholson_(architect),Q7176098,,79,,2009.0
Engineer,Peter_Rice,Q1393663,male,57,,2004.0
Engineer,Peter_Thomas_Dunican,Q7177295,male,71,,2007.0
Engineer,Peter_W._Barlow,Q3376946,male,76,,2003.0
Engineer,Richard_Birdsall_Rogers,Q3430539,male,70,,2005.0
Engineer,Richard_H._Thompson_(philatelist),Q7326188,male,82,,2009.0
Engineer,Richard_March_Hoe,Q711629,male,74,,2004.0
Engineer,Richard_Tangye,Q7329390,male,73,,2005.0
Engineer,Richard_Tyler_(architect),Q7329595,male,93,,2009.0
Engineer,Robert_A._Siegel,Q7341294,male,80,,2009.0
Engineer,Robert_Absalom_Thom,Q7341339,,82,,2010.0
Engineer,Robert_Bartini,Q544135,male,77,,2005.0
Engineer,Robert_Bosch,Q71032,male,81,,2003.0
Engineer,Robert_Edgeworth-Johnstone,Q55753443,male,94,,2018.0
Engineer,Robert_Elliott-Cooper,Q7344019,male,97,,2009.0
Engineer,Robert_Esnault-Pelterie,Q20894,male,76,,2005.0
Engineer,Robert_Granville_Stone,Q7344918,male,20,,2009.0
Engineer,Robert_H._Widmer,Q7345131,male,95,,2011.0
Engineer,Robert_Hadfield,Q3435328,male,82,,2006.0
Engineer,Robert_Lickley,Q7346887,,86,,2011.0
Engineer,Charles_Hershfield,Q5079017,male,80,,2011.0
Engineer,Ulises_Armand_Sanabria,Q7879038,,63,,2007.0
Engineer,Valdemar_Poulsen,Q442681,male,73,,2004.0
Engineer,Valentin_Bliznyuk,Q4088158,,91,,2020.0
Engineer,Varro_Eugene_Tyler,Q15443032,male,93,,2009.0
Engineer,Vasily_Bakalov,Q4075833,,91,,2020.0
Engineer,Veikko_Muronen,Q7918653,male,79,,2012.0
Engineer,Vernon_Robertson,Q7922222,male,81,,2008.0
Engineer,Viktor_Makeyev,Q277559,male,61,,2005.0
Engineer,Vincent_Hugo_Bendix,Q2568906,male,64,,2005.0
Engineer,Vladimir_Petlyakov,Q558609,male,51,,2004.0
Engineer,Douglas_Wood_(engineer),Q5302121,male,78,,2005.0
Engineer,Peter_F._B._Alsop,Q18161967,,79,,2014.0
Engineer,Conde_McCullough,Q1124416,male,59,,2004.0
Engineer,Conrad_Lau,Q87334237,,43,,2020.0
Engineer,Constantin_Perskyi,Q2995013,male,52,,2004.0
Engineer,Massey_Bromley,Q6784601,male,38,,2007.0
Engineer,Matthew_Stirling_(railway_engineer),Q6791275,male,75,,2007.0
Engineer,Maurice_Fitzmaurice,Q6793101,,63,,2008.0
Engineer,Maurice_Koechlin,Q339645,male,90,,2004.0
Engineer,Russell_Dumas,Q7381471,male,88,,2007.0
Engineer,Ryoichi_Nakagawa,Q14076501,male,85,,2013.0
Engineer,S._D._Holden,Q7387421,male,48,,2006.0
Engineer,S._Kellogg_Stryker,Q7387610,male,87,,2009.0
Engineer,"George_Buchanan_(engineer,_born_1865)",Q5537385,,75,,2003.0
Engineer,Clifford_Milburn_Holland,Q5133008,male,41,,2004.0
Engineer,Clifford_Washington_Kissinger,Q5133072,male,64,,2009.0
Engineer,Clyde_Jennings,Q5136952,male,12,,2009.0
Engineer,Clément_Ader,Q313078,male,84,,2003.0
Engineer,Alexander_Binnie,Q2255435,male,78,,2003.0
Engineer,Edward_B._Ellington,Q5341691,,69,,2004.0
Engineer,Edward_Boker_Sterling,Q5341937,male,74,,2009.0
Engineer,Edward_Bury,Q5342103,male,64,,2010.0
Engineer,Edward_Gordon_Perry_Jr,Q64562583,male,101,,2019.0
Engineer,Edward_Haven_Mason,Q5343365,male,68,,2009.0
Engineer,Edward_Kleinschmidt,Q1292107,male,101,,2008.0
Engineer,Edward_Orpen_Moriarty,Q21537131,male,72,,2016.0
Engineer,Edward_Snell_(engineer),Q16063402,male,60,,2014.0
Engineer,Edward_Woods_(engineer),Q5345985,male,89,,2007.0
Engineer,Edwin_Müller,Q63592,,64,,2007.0
Engineer,Egide_Walschaerts,Q1297794,male,81,,2004.0
Engineer,Eli_Whitney,Q280930,male,60,,2001.0
Engineer,Elias_Howe,Q360359,male,48,,2003.0
Engineer,Eliphalet_Remington,Q376718,male,68,,2004.0
Engineer,Elisha_Otis,Q171413,male,50,,2003.0
Engineer,Ellis_S._Chesbrough,Q16062843,male,73,,2013.0
Engineer,Elsie_Eaves,Q34919,,85,,2006.0
