subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Journalist,Carles_Capdevila,Q12385322,male,52,,2022.0
Journalist,Robert_Nielsen,Q16018540,male,87,,2009.0
Journalist,Robert_Reguly,Q7349213,male,80,,2007.0
Journalist,Roscoe_Drummond,Q16010338,male,81,,2013.0
Journalist,Roy_Reed,Q45899448,male,87,,2017.0
Journalist,Bess_Whitehead_Scott,Q28654942,female,107,,2017.0
Journalist,Brian_Donovan_(journalist),Q55605918,male,77,,2018.0
Journalist,David_English_(editor),Q5233395,male,67,,2007.0
Journalist,David_Lee_Child,Q5236441,male,80,,2009.0
Journalist,Debbie_Goad,Q5247927,female,46,,2004.0
Journalist,Dennis_Bell_(journalist),Q104398454,male,47,,2020.0
Journalist,Homer_Bigart,Q13560405,male,84,,2006.0
Journalist,John_R._Thistlethwaite,Q108120771,male,78,,2021.0
Journalist,John_Rettie,Q16018565,male,84,,2012.0
Journalist,John_Seymour_Chaloner,Q1701729,male,83,,2019.0
Journalist,John_Thompson_(journalist),Q30555631,male,89,,2017.0
Journalist,"John_Walter_(editor,_born_1776)",Q1702096,male,71,,2004.0
Journalist,John_Wesley_Dafoe,Q6263534,male,78,,2007.0
Journalist,Paul_Coates,Q7149883,male,47,,2009.0
Journalist,Percy_Dale_East,Q83582020,male,50,,2020.0
Journalist,Peter_Braestrup,Q7172931,male,68,,2010.0
Journalist,Peter_Freyne,Q82348245,male,60,,2020.0
Journalist,Richard_Stott,Q7329270,male,64,,2007.0
Journalist,Vic_Batchelder,Q7924736,male,61,,2007.0
Journalist,David_Perlman,Q47468858,male,102,,2018.0
Journalist,Robert_Rintoul,Q6073287,male,71,,2005.0
Journalist,Robert_Shogan,Q59532646,male,83,,2020.0
Journalist,Conrad_Poirier,Q2993614,male,56,,2014.0
Journalist,Chuck_Dauphin,Q67983778,male,45,,2019.0
Journalist,Chuck_Panama,Q54484830,male,93,,2018.0
Journalist,Edward_Whipple_Bancroft_Morrison,Q5345859,male,58,,2006.0
Journalist,Elsie_Reasoner_Ralph,Q19802861,female,35,,2020.0
Journalist,Fred_J._Cook,Q5495551,male,92,,2007.0
Journalist,Fulgence_Charpentier,Q5507852,male,104,,2003.0
Journalist,Gary_Burgess,Q108292184,male,47,,2021.0
Journalist,Gerard_O'Neill,Q66738115,male,77,,2008.0
Journalist,Gillian_O'Connor,Q32101933,female,75,,2017.0
Journalist,Najmul_Hasan_(journalist),Q107644710,male,37,,2021.0
Journalist,Thomas_Worrall_Kent,Q7795308,male,89,,2005.0
Journalist,Andy_O'Brien_(journalist),Q95147137,male,77,,2020.0
Journalist,Angus_McGill,Q42546424,male,88,,2017.0
Journalist,Anne_Morrissy_Merick,Q29882590,female,84,,2017.0
Journalist,Louis_Graves,Q24846043,male,82,,2016.0
Journalist,Louise_Leung_Larson,Q108491766,female,83,,2022.0
Journalist,Lu_Palmer,Q66962312,male,82,,2018.0
Journalist,Mamie_Magnusson,Q38248172,female,87,,2017.0
Journalist,Stanley_Burke,Q7599502,male,93,,2005.0
Journalist,Étienne_Parent,Q3592315,male,72,,2006.0
Journalist,Frank_Lennon,Q5487912,male,79,,2006.0
Journalist,Maurice_Russell_Brown,Q6793455,male,96,,2004.0
Journalist,Avraham_Shifrin,Q19876465,male,75,,2015.0
Journalist,Bruce_Garvey,Q4977536,male,71,,2010.0
Journalist,Tony_Conyers,Q16019018,male,83,,2011.0
Journalist,Wendy_Bergen,Q63928625,female,61,,2019.0
Journalist,A._H._Weiler,Q18645668,male,94,,2014.0
Journalist,Alfred_Hermann_Fried,Q78488,male,57,,2003.0
Journalist,Darya_Dugina,Q113568088,female,30,,2022.0
Journalist,Ed_Fouhy,Q19941605,male,81,,2015.0
Journalist,Edith_Josie,Q5338582,female,89,,2010.0
Journalist,Eric_Bishop,Q5386142,male,74,,2004.0
Journalist,Ernesto_Teodoro_Moneta,Q12086,male,85,,2003.0
Journalist,Caco_Barcellos,Q16337019,male,74,,2017.0
Journalist,Camilla_Long,Q14945590,female,46,,2013.0
Journalist,Camilla_Wright,Q5026604,female,54,,2011.0
Journalist,Carl_Fellstrom,Q5040124,male,60,,2009.0
Journalist,Caryn_Franklin,Q5047699,female,65,,2006.0
Journalist,Robert_Simonson,Q56650774,male,60,,2018.0
Journalist,Robin_Aitken,Q15506284,male,72,,2005.0
Journalist,Robin_Oakley,Q7352695,male,83,,2005.0
Journalist,Roger_Smith_(journalist),Q7358934,male,73,,2008.0
Journalist,Rosalind_Helderman,Q61747180,female,46,,2022.0
Journalist,Rudi_Vranckx,Q2496736,male,65,,2021.0
Journalist,Sampson_Collins,Q24962942,male,42,,2016.0
Journalist,Sara_Murray_(journalist),Q27538907,female,39,,2019.0
Journalist,Sara_Nathan_(journalist),Q7421721,female,47,,2007.0
Journalist,Omari_Salisbury,Q107556644,male,49,,2021.0
Journalist,Becky_Anderson,Q469194,female,57,,2006.0
Journalist,Ben_Schreckinger,Q111386219,male,97,,2022.0
Journalist,Brad_Fay,Q4953923,male,60,,2010.0
Journalist,Brian_Reade,Q4965103,male,67,,2005.0
Journalist,David_Shuster,Q1176645,male,57,,2006.0
Journalist,David_W._Dunlap,Q22277640,male,72,,2015.0
Journalist,Dawn_Neesom,Q5242482,female,60,,2007.0
Journalist,Deborra_Hope,Q5248421,female,69,,2007.0
Journalist,Deneen_Borelli,Q17385669,female,60,,2014.0
Journalist,Andrew_Feinberg,Q30608158,male,42,,2017.0
Journalist,John_Pienaar,Q6252885,male,68,,2007.0
Journalist,John_Short_(journalist),Q20685531,male,87,,2015.0
Journalist,John_Walker_(journalist),Q6262724,male,47,,2009.0
Journalist,Joshua_Rozenberg,Q6290170,male,74,,2010.0
Journalist,Joumana_Haddad,Q290197,female,54,,2007.0
Journalist,Joyce_Wadler,Q15441994,female,76,,2009.0
Journalist,Pavlo_Kazarin,Q50316282,male,41,,2022.0
Journalist,Richard_Greene_(journalist),Q28868154,male,70,,2017.0
Journalist,Rick_Hummel,Q7331470,male,78,,2007.0
Journalist,Robert_F._Worth,Q23928004,male,59,,2016.0
Journalist,Vanessa_de_la_Torre,Q16302596,female,46,,2016.0
Journalist,David_Oancia,Q24883285,male,95,,2016.0
Journalist,Cory_Woron,Q11808688,male,55,,2008.0
Journalist,Craig_Oliver_(Canadian_journalist),Q3002047,male,86,,2006.0
Journalist,Marília_Gabriela,Q10327090,female,76,,2017.0
Journalist,Matt_Dickinson_(journalist),Q18357985,male,56,,2014.0
Journalist,Matthew_Price,Q6791092,male,52,,2006.0
Journalist,Matthew_Rose_(journalist),Q6791159,male,52,,2006.0
Journalist,Melinda_Crane,Q1919355,female,68,,2018.0
Journalist,Rupert_Goodwins,Q7380290,male,59,,2006.0
Journalist,Sahar_Zand,Q56448248,female,35,,2018.0
Journalist,Paul_Nuki,Q7152756,male,60,,2012.0
Journalist,Christopher_Ward_(journalist),Q5113388,male,82,,2012.0
Journalist,Emma_Soames,Q3052477,female,75,,2007.0
Journalist,Frits_Wester,Q2022576,male,62,,2020.0
Journalist,Gabriel_Clarke,Q5515573,male,61,,2006.0
Journalist,Gary_Gibbon,Q5525125,male,59,,2008.0
Journalist,George_Pascoe-Watson,Q5543222,male,58,,2007.0
Journalist,Graham_Richardson_(journalist),Q5593181,male,54,,2007.0
Journalist,Miranda_Sawyer,Q6872838,female,57,,2006.0
Journalist,Moshe_Shaul,Q61635419,male,95,,2021.0
Journalist,Mykel_Board,Q6947527,male,74,,2005.0
Journalist,Andy_Eddy,Q4760637,male,66,,2008.0
Journalist,Anna_Woolhouse,Q100408392,female,40,,2020.0
Journalist,Leda_Nagle,Q10316861,female,73,,2018.0
Journalist,Lewis_Goodall,Q98515385,male,35,,2020.0
Journalist,Lisa_Byington,Q20708259,female,48,,2015.0
Journalist,Stephanie_Gosk,Q16204967,female,52,,2013.0
Journalist,Stephen_Glover_(columnist),Q7609324,male,72,,2005.0
Journalist,Steve_Armitage,Q7611811,male,80,,2006.0
Journalist,Zeina_Yazigi,Q8072236,female,49,,2011.0
Journalist,Éva_Circé-Côté,Q3592675,female,153,,2011.0
Journalist,Matt_Lawton_(journalist),Q61811883,male,54,,2018.0
Journalist,Brough_Scott,Q4975768,male,82,,2008.0
Journalist,Bruce_Parker,Q4978113,male,83,,2004.0
Journalist,Tim_Gardam,Q7803528,male,68,,2005.0
Journalist,Tim_Shipman,Q45410447,male,49,,2017.0
Journalist,Tom_Knudson,Q58885653,male,71,,2018.0
Journalist,Wendi_Nix,Q7982510,female,50,,2007.0
Journalist,Ireland_Thomas,Q108086684,male,149,,2021.0
Journalist,Aaron_Katersky,Q4662135,male,49,,2010.0
Journalist,Adnan_AlKateb,Q16120428,male,66,,2017.0
Journalist,Alan_Cowell,Q4706423,male,77,,2007.0
Journalist,Alex_Renton,Q29453136,male,63,,2017.0
Journalist,Alexis_Petridis,Q4721514,male,53,,2006.0
Journalist,Ana_Maria_Braga,Q1789267,female,75,,2017.0
Journalist,D._M._Sutherland,Q5203728,male,149,,2009.0
Journalist,Dan_Roan,Q5214285,male,48,,2009.0
Journalist,Danielle_Crittenden,Q5219351,female,61,,2005.0
Journalist,Darren_Dutchyshen,Q5224894,male,58,,2008.0
Journalist,Fabiana_Rosales,Q61665580,female,32,,2019.0
Journalist,Fay_Maschler,Q17297770,female,79,,2014.0
Journalist,Nina_Teicholz,Q29871144,female,59,,2018.0
Journalist,Pascale_Nadeau,Q3367701,female,64,,2009.0
Journalist,Pat_Battle,Q7143209,female,65,,2005.0
Journalist,Pat_Hambright,Q28085997,male,57,,2015.0
Journalist,William_Jordan_Rattray,Q8013752,male,-141,,2010.0
Journalist,Bernard_Lefkowitz,Q16016201,male,-20,,2004.0
Journalist,Antoinette_Donnelly,Q4775579,female,-60,,2007.0
Journalist,James_W._Scott,Q112146011,male,-129,,2022.0
Journalist,Frank_Page_(motoring_journalist),Q19845231,male,-10,,2015.0
Journalist,Carolyn_Curiel,Q84607014,female,0,,2020.0
Journalist,Cass_Edwards,Q5049158,male,0,,2006.0
Journalist,Ami_Vitale,Q4746095,female,0,,2006.0
Journalist,Amy_Astley,Q4749082,female,0,,2008.0
Journalist,Amy_Braunschweiger,Q4749118,female,0,,2006.0
Journalist,Belle_Puri,Q16210131,female,0,,2013.0
Journalist,Ben_Casselman,Q110928527,male,0,,2022.0
Journalist,Ben_Geoghegan,Q4885707,male,0,,2007.0
Journalist,Ben_Mathis-Lilley,Q27947574,male,0,,2016.0
Journalist,Ben_Webb_(journalist),Q4886647,male,0,,2006.0
Journalist,Ben_White_(finance_journalist),Q21064106,male,0,,2015.0
Journalist,Robert_Moynihan,Q7347858,male,0,,2009.0
Journalist,Roberta_Temes,Q21706150,female,0,,2015.0
Journalist,Robin_Rowland_(author),Q7352753,male,0,,2008.0
Journalist,Roger_Parloff,Q62590793,male,0,,2019.0
Journalist,Ronald_Payne,Q24514860,male,0,,2014.0
