subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Judge,William_Osceola_Gordon,Q27178040,male,77,,2016.0
Judge,"Nigel_Bridge,_Baron_Bridge_of_Harwich",Q867281,,90,,2006.0
Judge,Pritam_Pal,Q18916559,male,77,,2015.0
Judge,Lokeshwar_Singh_Panta,Q19605076,male,80,,2015.0
Judge,Pius_C._Kuriakose,Q7199589,male,73,,2013.0
Judge,"Beaumont_Hotham,_2nd_Baron_Hotham",Q18526620,male,0,,2015.0
Judge,Benjamin_Lynde_Sr.,Q4888987,male,0,,2012.0
Judge,Eldena_Bear_Don't_Walk,Q57292677,female,0,,2018.0
Judge,Eleanor_Nisperos,Q66828308,female,0,,2019.0
Judge,Elijah_Miller,Q5360957,male,0,,2007.0
Judge,Andrew_Wiggin_(judge),Q4758910,male,0,,2006.0
Judge,Paul_W._Kahn,Q7154190,male,0,,2006.0
Judge,Charles_D._Hamel,Q106866662,,0,,2018.0
Judge,Cynthia_Dianne_Steel,Q107015221,female,0,,2021.0
Judge,David_Linton_(judge),Q5236648,male,0,,2024.0
Judge,Paul_T._Farrell,Q108874570,,0,,2021.0
Judge,William_J._Wilkins_(judge),Q8013366,,0,,2009.0
Judge,Elizabeth_A._Hayden,Q5362259,female,0,,2009.0
Judge,Ellis_Ames,Q47527974,male,0,,2018.0
Judge,Nathaniel_Thomas_(Massachusetts_judge),Q6969894,male,0,,2012.0
Judge,William_R._Green_Jr.,Q106687940,male,0,,2018.0
Judge,Elizabeth_Barrett-Anderson,Q19865906,female,0,,2015.0
Judge,Erick_Kolthoff-Benners,Q5388168,male,0,,2009.0
Judge,Orrin_N._Hilton,Q7104088,male,0,,2007.0
Judge,W._C._Lansdon,Q115493466,male,0,,2018.0
Judge,Boce_W._Barlow_Jr.,Q35160328,male,0,,2017.0
Judge,Harold_B._Willey,Q5659992,male,0,,2007.0
Judge,John_McCunn,Q6247592,,0,,2005.0
Judge,Thomas_J._Spargo,Q16885811,male,0,,2006.0
Judge,Darwin_Thomas,Q5226028,,0,,2023.0
Judge,Garry_Malphrus,Q5524180,,0,,2008.0
Judge,James_Dooley_(judge),Q15999435,male,0,,2023.0
Judge,James_Gay_Gordon,Q82213133,male,0,,2020.0
Judge,John_E._Bridges,Q6230674,male,0,,2005.0
Judge,John_F._Dean,Q6232250,male,0,,2005.0
Judge,John_Fleming_(judge),Q6233429,male,0,,2007.0
Judge,John_Hanson_Briscoe,Q105044620,,0,,2021.0
Judge,Jules_Gilmer_Korner_Jr.,Q106647233,male,0,,2018.0
Judge,Justin_Woodward_Harding,Q22097366,male,0,,2015.0
Judge,Carleton_Powell,Q5041240,male,0,,2005.0
Judge,Christopher_M._Murray,Q92730463,male,0,,2020.0
Judge,Cindy_Hendrickson,Q67141462,female,0,,2019.0
Judge,Daniel_J._Dinan,Q5217611,,0,,2009.0
Judge,Edward_F._O'Dwyer,Q5342839,male,0,,2010.0
Judge,Edward_R._Harden,Q109236249,male,0,,2015.0
Judge,Israel_Meyer_Augustine_Jr.,Q106730578,male,0,,2021.0
Judge,Israel_Williams,Q6087292,male,0,,2006.0
Judge,Joseph_A._Mallery,Q18715774,male,0,,2014.0
Judge,Joseph_Burke_(judge),Q6281797,male,0,,2009.0
Judge,Judith_Cowin,Q6303355,female,0,,2011.0
Judge,Kim_Berkeley_Clark,Q42211633,,0,,2017.0
Judge,Mary_Belle_Grossman,Q62097294,female,0,,2020.0
Judge,Jedediah_Foster,Q19282376,male,0,,2015.0
Judge,Albert_R._Alexander,Q27460633,male,0,,2016.0
Judge,Larry_Bakman,Q27734012,male,0,,2016.0
Judge,Henry_Walton_(judge),Q16859193,male,0,,2013.0
Judge,Terry_Lewis_(judge),Q18217487,,0,,2014.0
Judge,Mary_French_(attorney),Q6779593,female,0,,2006.0
Judge,Shireen_Avis_Fisher,Q7498533,,0,,2010.0
Judge,William_J._Sullivan,Q16105228,male,0,,2007.0
Judge,Odessa_Pittard_Bailey,Q113588179,,0,,2022.0
Judge,Spencer_S._Marsh,Q7576172,male,0,,2010.0
Judge,Thomas_K._Finletter_(judge),Q85809246,male,0,,2020.0
Judge,Gilbert_Nations,Q5561133,,0,,2012.0
Judge,Roger_S._Hayes,Q7358868,male,0,,2011.0
Judge,William_Hancock_(judge),Q8010800,,0,,2010.0
Judge,Patricia_Golden,Q7145602,female,0,,2008.0
Judge,Raja_Rajeswari,Q24053609,female,0,,2016.0
Judge,William_S._Lott,Q8017976,male,0,,2010.0
Judge,Thomas_Demakos,Q111317478,male,0,,2022.0
Judge,Virendra_Singh_(Lokayukta),,,0,,2021.0
Judge,Karen_Fort_Hood__US-judge-stub__1,,,0,,
Judge,Kelly_Thompson_(judge)__US-judge-stub__1,,,0,,
Judge,Jonathan_Remington__US-judge-stub__1,,,0,,
Judge,Joseph_W._Nega__US-judge-stub__1,,,0,,
Judge,Judith_Ann_Yannello__US-judge-stub__1,,,0,,
Judge,Barbara_Womack_Webb__US-judge-stub__1,,,0,,
Judge,David_S._Mann_(judge)__US-judge-stub__1,,,0,,
Judge,Jennifer_S._Henderson__US-judge-stub__1,,,0,,
Judge,John_G._Fenn__US-judge-stub__1,,,0,,
Judge,John_Perkins_Sr.__US-judge-stub__1,,,0,,
Judge,Marc_Rosenberg_(judge)__US-judge-stub__1,,,0,,
Judge,Michael_W._Pirtle__US-judge-stub__1,,,0,,
Judge,Valerie_Stanfill__US-judge-stub__1,,,0,,
Judge,William_H._Bright_Jr.__US-judge-stub__1,,,0,,
Judge,William_M._Marutani__US-judge-stub__1,,,0,,
Judge,William_S._Thompson__US-judge-stub__1,,,0,,
Judge,Zachary_W._Carter__US-judge-stub__1,,,0,,
Judge,Errol_Rajesh_Arthur__US-judge-stub__1,,,0,,
Judge,James_A._Belson__US-judge-stub__1,,,0,,
Judge,James_A._Finch_Jr.__US-judge-stub__1,,,0,,
Judge,James_Daniel_Lynch__US-judge-stub__1,,,0,,
Judge,Frank_J._Donahue__US-judge-stub__1,,,0,,
Judge,Frankie_J._Moore__US-judge-stub__1,,,0,,
Judge,Nancy_Waples__US-judge-stub__1,,,0,,
Judge,Charles_R._Wilson_(judge)__US-judge-stub__1,,,0,,
Judge,Steve_Williams_(politician)__US-judge-stub__1,,,0,,
Judge,Thomas_Hartley_Crawford__US-judge-stub__1,,,0,,
Judge,Gary_Hicks__US-judge-stub__1,,,0,,
Judge,George_Carroll_(judge)__US-judge-stub__1,,,0,,
Judge,Adrienne_Jennings_Noti__US-judge-stub__1,,,0,,
Judge,Alfred_Moellering__US-judge-stub__1,,,0,,
Judge,Alton_A._Lessard__US-judge-stub__1,,,0,,
Judge,Olen_Underwood__US-judge-stub__1,,,0,,
Judge,Philip_Ray_Martinez__US-judge-stub__1,,,0,,
Judge,Shirley_Troutman__US-judge-stub__1,,,0,,
Judge,T._D._Evans__US-judge-stub__1,,,0,,
Judge,Carl_Ezekiel_Ross__US-judge-stub__1,,,0,,
Judge,D.W._Tunnage__US-judge-stub__1,,,0,,
Judge,Elizabeth_Crewson_Paris__US-judge-stub__1,,,0,,
Judge,Elizabeth_Jenkins_(judge)__US-judge-stub__1,,,0,,
Judge,Enrique_Rodríguez_Negrón__US-judge-stub__1,,,0,,
Judge,Flerida_Ruth_Pineda-Romero__US-judge-stub__1,,,0,,
Judge,Francie_C._Riedmann__US-judge-stub__1,,,0,,
Judge,Angela_McCormick_Bisig__US-judge-stub__1,,,0,,
Judge,Derek_R._Molter__US-judge-stub__1,,,0,,
Judge,Hooper_C._Van_Vorst__US-judge-stub__1,,,0,,
Judge,Maria_Berkenkotter__US-judge-stub__1,,,0,,
Judge,Maria_Teresa_B._Cenzon__US-judge-stub__1,,,0,,
Judge,Marlin_Appelwick__US-judge-stub__1,,,0,,
Judge,Lawrence_E._Welch_Jr.__US-judge-stub__1,,,0,,
Judge,Rick_E._Lawrence__US-judge-stub__1,,,0,,
Judge,Robert_A._Miller_(judge)__US-judge-stub__1,,,0,,
Judge,Sophia_Y._Vuelo__US-judge-stub__1,,,0,,
