subclass,instance,wikiDataID,gender,age,birthYear,publication_year
MilitaryPerson,Gerrit_Opperman,Q19276822,male,0,,2015.0
MilitaryPerson,Gerry_Fitt,Q333646,male,79,,2003.0
MilitaryPerson,Gerry_H._Kisters,Q5552766,male,0,,2008.0
MilitaryPerson,Gerry_Mayhew,Q24053562,male,0,,2016.0
MilitaryPerson,Gershom_Mott,Q5553099,male,0,,2006.0
MilitaryPerson,Gershon_Zak,Q2919478,male,0,,2010.0
MilitaryPerson,Gerstner_Field,Q14691632,,0,,2013.0
MilitaryPerson,Gert-René_Polli,Q1343785,male,0,,2015.0
MilitaryPerson,Gert_Boshoff,Q20880385,male,0,,2015.0
MilitaryPerson,Gert_Jeschonnek,Q1515223,male,0,,2015.0
MilitaryPerson,Gertrude_Noone,Q5553369,female,0,,2009.0
MilitaryPerson,Gervais_Carpentier,Q92555391,male,0,,2020.0
MilitaryPerson,Gervaise_Cooke,Q5553457,male,0,,2010.0
MilitaryPerson,Gervase_Alard,Q61776444,male,0,,2019.0
MilitaryPerson,Gervase_Thorpe,Q19937243,male,0,,2016.0
MilitaryPerson,Gervasio_Bitossi,Q61740641,male,0,,2021.0
MilitaryPerson,Getachew_Abate,Q5554381,male,0,,2009.0
MilitaryPerson,Gewargis_Hanna,,,0,,
MilitaryPerson,Geyr_von_Schweppenburg,,,0,,2007.0
MilitaryPerson,Ghafour_Jeddi,Q5962468,male,0,,2015.0
MilitaryPerson,Ghali_Zakirov,Q12572389,male,0,,2015.0
MilitaryPerson,Ghalib_ibn_Abdullah_al-Laithi,,,0,,2017.0
MilitaryPerson,Ghanem_Ibrahim_al-Hassan,Q5555542,male,0,,2011.0
MilitaryPerson,Ghassan_Afif,,,0,,
MilitaryPerson,Ghassan_Alian,Q16129259,male,0,,2014.0
MilitaryPerson,Ghassed,Q7267055,,0,,2013.0
MilitaryPerson,Ghausuddin,,,0,,
MilitaryPerson,Ghazi_Kanaan,Q741727,male,-19,,2005.0
MilitaryPerson,Ghazi_Mohammed_Daghistani,Q25451619,male,0,,2016.0
MilitaryPerson,Gheorghe_Arsenescu,Q5556260,male,0,,2007.0
MilitaryPerson,Gheorghe_Avramescu,Q655273,male,0,,2008.0
MilitaryPerson,Gheorghe_Cantacuzino-Grănicerul,Q2292131,male,0,,2021.0
MilitaryPerson,Gheorghe_Catrina,Q5556296,male,0,,2007.0
MilitaryPerson,Gheorghe_Eminescu,Q18543994,male,0,,2021.0
MilitaryPerson,Gheorghe_Flondor,Q13580326,male,0,,2007.0
MilitaryPerson,Gheorghe_Manoliu,Q4385843,male,0,,2008.0
MilitaryPerson,Gheorghe_Mihail,Q6150510,male,0,,2016.0
MilitaryPerson,Gheorghe_Mihăilescu,Q109569655,male,0,,2021.0
MilitaryPerson,Gheorghe_Mărdărescu,Q15980107,male,0,,2014.0
MilitaryPerson,Gheorghe_Pănculescu,Q12729208,,0,,2021.0
MilitaryPerson,Gheorghe_Răscănescu,Q5556410,male,0,,2008.0
MilitaryPerson,Gheorghe_Văleanu,Q19823640,male,0,,2021.0
MilitaryPerson,Gherardo_Hercolani_Fava_Simonetti,Q1521635,male,0,,2010.0
MilitaryPerson,Gherman_Pântea,Q2033409,male,0,,2010.0
MilitaryPerson,Gholam_Ali_Rashid,Q4391340,male,0,,2016.0
MilitaryPerson,Gholamali_Bayandor,Q373344,male,0,,2008.0
MilitaryPerson,Gholamhossein_Gheybparvar,Q28024144,male,0,,2016.0
MilitaryPerson,Gholamreza_Soleimani,Q65055486,male,0,,2019.0
MilitaryPerson,Ghukas_Madoyan,Q4274340,male,0,,2017.0
MilitaryPerson,Ghulam_Hussain_Chaudry,Q16007131,male,0,,2007.0
MilitaryPerson,Ghulam_Jilani_Khan,Q5557597,male,0,,2012.0
MilitaryPerson,Ghulam_Muhammad_Malik,Q5557634,male,0,,2006.0
MilitaryPerson,Ghulam_Mustafa_(Pakistan_Army_officer),Q5557642,male,0,,2012.0
MilitaryPerson,Ghulam_Rasul_Raja,Q5557668,male,0,,2011.0
MilitaryPerson,Ghulam_Yahya_Daneshian,Q6405590,male,0,,2015.0
MilitaryPerson,Ghurak,,,0,,2012.0
MilitaryPerson,Gi_Ja-oh,Q28699529,male,0,,2024.0
MilitaryPerson,Giacomo_Carboni,Q3762029,male,0,,2010.0
MilitaryPerson,Giacomo_Castagna,,,0,,
MilitaryPerson,Gian_Francesco_Brignole_Sale_II,,,0,,
MilitaryPerson,Gian_Giacomo_Medici,Q983302,male,0,,2004.0
MilitaryPerson,Gian_Giacomo_Trivulzio,Q742997,male,0,,2005.0
MilitaryPerson,Gian_Marco_Chiarini,,,0,,
MilitaryPerson,Gian_Paolo_Gamerra,Q21208085,male,0,,2021.0
MilitaryPerson,Gian_Singh_(soldier),Q5558043,male,0,,2004.0
MilitaryPerson,Gianettino_Doria,,,0,,2021.0
