subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Monarch,Casper_(Maya_ruler),Q448453,male,0,,2008.0
Monarch,Belshazzar,Q225198,,0,,2003.0
Monarch,Enlil-nadin-shumi,Q2620220,,0,,2011.0
Monarch,Mohammad_Ali_Khan,Q109522271,,0,,2017.0
Monarch,Mulondo_of_Buganda,Q6934319,male,0,,2009.0
Monarch,Mwanga_I_of_Buganda,Q6944665,male,0,,2008.0
Monarch,Morayma,Q4968077,female,0,,2011.0
Monarch,Bounkhong,Q2922204,,0,,2003.0
Monarch,Ali_III_of_Shirvan,Q7499016,male,0,,2023.0
Monarch,Ali_II_of_Shirvan,Q16415225,male,0,,2012.0
Monarch,Animal_Skull,Q4220854,male,0,,2015.0
Monarch,Hormizd_I,Q310287,male,0,,2002.0
Monarch,Reza_Shah,Q182921,male,0,,2003.0
Monarch,Cyilima_II_Rujugira,Q19560300,male,0,,2015.0
Monarch,Ukit_Took,Q17264397,,0,,2014.0
Monarch,Veerapandiya_Kattabomman,Q888293,male,0,,2006.0
Monarch,Višeslav_of_Croatia,Q1282974,,0,,2006.0
Monarch,Jafar_Khan,Q81098,male,0,,2006.0
Monarch,Kutlug_I_Bilge_Kagan,Q68221,male,0,,2011.0
Monarch,Kyabaggu_of_Buganda,Q6450630,male,0,,2009.0
Monarch,Nuun_Ujol_Chaak,Q21665587,,0,,2015.0
Monarch,Sajida_Sultan,Q7402657,,0,,2005.0
Monarch,Seedo,Q7445680,male,0,,2008.0
Monarch,Tālivaldis,Q3544096,male,0,,2012.0
Monarch,Raadhafathi_of_the_Maldives,Q4973827,female,0,,2008.0
Monarch,Alexander_II_Mircea,Q2625355,,0,,2006.0
Monarch,Alexandru_Coconul,Q1371087,,0,,2006.0
Monarch,Mohammad_Reza_Pahlavi,Q128245,male,0,,2002.0
Monarch,Mutesa_II_of_Buganda,Q356026,male,0,,2004.0
Monarch,Muwenda_Mutebi_II_of_Buganda,Q630274,,0,,2005.0
Monarch,Mwanga_II_of_Buganda,Q707775,,0,,2004.0
Monarch,Ttembo_of_Buganda,Q7850457,male,0,,2009.0
Monarch,Ruganzu_II_Ndoli,Q19660948,male,0,,2014.0
Monarch,Animal_Headdress,Q4220853,male,0,,2015.0
Monarch,Aristodemus,Q666525,male,0,,2002.0
Monarch,Lotf_Ali_Khan,Q15859,,0,,2004.0
Monarch,Suleiman_I_of_Persia,Q210704,male,0,,2005.0
Monarch,Cleodaeus,Q329690,male,0,,2002.0
Monarch,Hari_Rao_Holkar,Q13635651,male,0,,2013.0
Monarch,Ibrahim_I_of_Shirvan,Q2637299,male,0,,2006.0
Monarch,Igwe_Josiah_Orizu_II,Q16000290,male,0,,2012.0
Monarch,Khadijah_of_the_Maldives,Q4958677,female,0,,2008.0
Monarch,Spurius_Maelius,Q984200,,0,,2005.0
Monarch,Manuchihr_III_of_Shirvan,Q4295292,male,0,,2012.0
Monarch,Manuchihr_II_of_Shirvan,Q12840645,,0,,2012.0
Monarch,Manuchihr_II_of_Shirvan,Q31189840,,0,,2012.0
Monarch,Manuchihr_I_of_Shirvan,Q7499027,male,0,,2012.0
Monarch,Mawanda_of_Buganda,Q6794350,male,0,,2009.0
Monarch,Mutebi_I_of_Buganda,Q6943774,male,0,,2009.0
Monarch,Muteesa_I_of_Buganda,Q889311,male,0,,2009.0
Monarch,Utkal_Plains,Q7902879,,0,,2005.0
Monarch,Ahmad_of_Shirvan,Q12849938,male,0,,2012.0
Monarch,Daudi_Cwa_II_of_Buganda,Q708027,,0,,2004.0
Monarch,Wazir_Ali_Khan,Q305224,male,0,,2008.0
Monarch,Hawise_of_Monmouth,Q1245954,female,0,,2012.0
Monarch,Haytham_ibn_Khalid,Q4494854,male,0,,2012.0
Monarch,Jesus_ben_Ananias,Q740789,male,0,,2005.0
Monarch,Joni_Madraiwiwi_I,Q6275552,male,0,,2004.0
Monarch,Juuko_of_Buganda,Q6318818,male,0,,2009.0
Monarch,Kateregga_of_Buganda,Q6375953,male,0,,2009.0
Monarch,Haytham_II_of_Shirvan,Q5687302,male,0,,2012.0
Monarch,Sallar_of_Shirvan,Q12845443,male,0,,2012.0
Monarch,Abbas_II_of_Egypt,Q157159,male,0,,2001.0
Monarch,Abdul_Momin,Q18235301,,0,,2006.0
Monarch,Abdul_Momin,Q40390,male,0,,2006.0
Monarch,Afridun_I,Q7499011,male,0,,2012.0
Monarch,Ahmad_Shah_Qajar,Q317799,male,0,,2004.0
Monarch,Altan_Khan,Q434393,male,0,,2004.0
Monarch,Amazonis_Planitia,Q456529,,0,,2006.0
Monarch,23rd_Ruler,Q23580339,male,0,,2015.0
Monarch,24th_Ruler,Q23036030,,0,,2015.0
Monarch,28th_Ruler,Q23580349,,0,,2015.0
Monarch,Ajen_Yohl_Mat,Q1270694,male,0,,2004.0
Monarch,Akhsitan_II,Q4073174,,0,,2012.0
Monarch,Dark_Sun_(Maya_ruler),Q23041496,male,0,,2015.0
Monarch,Amanishakheto,Q275888,female,0,,2006.0
Monarch,Amanitore,Q257004,,0,,2008.0
Monarch,British_Asian_Trust,Q4969500,,0,,2011.0
Monarch,Pandara_Vanniyan,Q7130513,male,0,,2006.0
Monarch,Chwa_I_of_Buganda,Q5118438,male,0,,2005.0
Monarch,Dhaain_of_the_Maldives,Q4944756,female,0,,2008.0
Monarch,Fariburz_I,Q12840666,male,0,,2012.0
