subclass,instance,wikiDataID,gender,age,birthYear,publication_year
OfficeHolder,Morton_Schapiro,,,0,,2008.0
OfficeHolder,Morton_Shulman,Q6914947,male,75,,2004.0
OfficeHolder,Mosaburō_Suzuki,Q3652649,male,77,,2004.0
OfficeHolder,Mosaddek_Ali_Falu,,,0,,2017.0
OfficeHolder,Moscow_Summit_(1972),Q17011537,,0,,2012.0
OfficeHolder,Moscow_Summit_(1988),Q6915535,,0,,2011.0
OfficeHolder,Moses_Adasu,Q6915680,male,60,,2010.0
OfficeHolder,Moses_Akaranga,Q6915674,male,71,,2008.0
OfficeHolder,Moses_Alexander,Q327585,male,79,,2004.0
OfficeHolder,Moses_Asaga,Q6915695,male,67,,2012.0
OfficeHolder,Moses_Bigelow,Q26707113,male,74,,2016.0
OfficeHolder,Moses_Blah,Q561542,male,66,,2003.0
OfficeHolder,Moses_E._Clapp,Q1949146,male,78,,2003.0
OfficeHolder,Moses_E._Lewis,Q6915755,male,97,,2007.0
OfficeHolder,Moses_Elijah_McGarry,Q15997817,male,71,,2008.0
OfficeHolder,Moses_Fasanya,Q6915780,male,0,,2009.0
OfficeHolder,Moses_Fellows,Q6915769,male,76,,2012.0
OfficeHolder,Moses_Gill,Q675934,male,67,,2005.0
OfficeHolder,Moses_Gregory,,,0,,
OfficeHolder,Moses_H._Nickerson,Q15452127,male,0,,2009.0
OfficeHolder,Moses_Hampton,Q13219640,male,75,,2006.0
OfficeHolder,Moses_Hampton_Todd,Q16026301,male,90,,2013.0
OfficeHolder,Moses_Hoge,Q18206483,male,68,,2014.0
OfficeHolder,Moses_Kimball,Q6915838,male,86,,2005.0
OfficeHolder,Moses_Kunkuyu,Q16731106,male,0,,2012.0
OfficeHolder,Moses_L._Frost,Q6915845,male,87,,2012.0
OfficeHolder,Moses_Macdonald,Q1949192,male,54,,2007.0
OfficeHolder,Moses_Majekodunmi,Q6915867,male,96,,2010.0
OfficeHolder,Moses_Morgan,Q13522503,male,78,,2005.0
OfficeHolder,Moses_Nagamootoo,Q6915896,male,77,,2006.0
OfficeHolder,Moses_Ndlovu,Q6915903,male,0,,2009.0
OfficeHolder,Moses_Pitakaka,Q1747270,male,66,,2011.0
OfficeHolder,Moses_Robinson,Q888648,male,72,,2005.0
OfficeHolder,Moses_W._Field,Q1949227,male,61,,2006.0
OfficeHolder,Moses_W._Reed,,,0,,
OfficeHolder,Moses_Waddel,Q6915971,male,70,,2006.0
OfficeHolder,Moses_Wisner,Q884094,male,48,,2004.0
OfficeHolder,Mosharraf_Hossain_(politician),Q5378731,male,81,,2024.0
OfficeHolder,Moshe_Feiglin,Q1367272,male,62,,2004.0
OfficeHolder,Moshe_Gafni,Q2386604,male,72,,2005.0
OfficeHolder,Moshe_Kahlon,Q265006,male,64,,2006.0
OfficeHolder,Moshe_Katsav,Q181832,male,79,,2003.0
OfficeHolder,Moshe_Kol,Q2907940,male,78,,2007.0
OfficeHolder,Moshe_Landau,Q77344,male,99,,2008.0
OfficeHolder,Moshe_Peled_(politician),Q2776377,male,79,,2009.0
OfficeHolder,Moshe_Sharett,Q208477,male,71,,2003.0
OfficeHolder,Moshe_Sharoni,Q2778290,male,-4,,2008.0
OfficeHolder,Moshe_Sneh,Q1338975,male,63,,2006.0
OfficeHolder,Moshen_al-Shammari,,,0,,
OfficeHolder,Mosimanegare_Kenneth_Mmoiemang,,,0,,
OfficeHolder,Mosireen,,,0,,
OfficeHolder,Mosiuoa_Lekota,Q982259,male,76,,2006.0
OfficeHolder,Moslem_Malakouti,Q353139,male,90,,2014.0
OfficeHolder,Moss_Cass,Q6916542,male,95,,2006.0
OfficeHolder,Moss_K._Platt,Q6916572,male,67,,2009.0
OfficeHolder,Moss_Kent_Dickinson,Q6916574,male,75,,2005.0
OfficeHolder,Most_Reverend,,,0,,2016.0
OfficeHolder,Mostafa_Chamran,Q720760,male,0,,2005.0
OfficeHolder,Mostafa_Kavakebian,Q6916852,male,61,,2010.0
OfficeHolder,Mostafa_Madbouli,,,0,,2018.0
OfficeHolder,Mostafa_Mir-Salim,Q5956077,male,77,,2009.0
OfficeHolder,Mostafa_Moeen,Q1382680,male,73,,2005.0
OfficeHolder,Mostafa_Mussad,Q6916865,male,0,,2012.0
OfficeHolder,Mostafa_Pourmohammadi,Q349311,male,64,,2006.0
OfficeHolder,Mostafizur_Rahman,Q56033273,,0,,2018.0
OfficeHolder,Mostapha_Sahel,Q3050101,male,0,,2006.0
OfficeHolder,Mota_Amaral,,,0,,2017.0
OfficeHolder,Mothetjoa_Metsing,Q17781861,male,57,,2014.0
OfficeHolder,Mothey_Vedakumari,Q6511127,female,93,,2013.0
OfficeHolder,Moti_Lal_Bohora,Q16199680,male,0,,2013.0
OfficeHolder,Motilal_Nehru,Q380148,male,163,,2004.0
OfficeHolder,Motilal_Vora,Q31315395,,92,,2007.0
OfficeHolder,Motilal_Vora,Q6917707,male,92,,2007.0
OfficeHolder,Motojirō_Sugiyama,,,0,,
OfficeHolder,Motoo_Hayashi,Q926370,male,77,,2007.0
OfficeHolder,Mou_Chung-yuan,Q9009255,male,0,,2013.0
OfficeHolder,Moudud_Ahmed,Q3250277,male,81,,2005.0
OfficeHolder,Moulaye_Ould_Mohamed_Laghdaf,Q440509,male,67,,2008.0
OfficeHolder,Mouldi_Kefi,Q980071,male,78,,2011.0
OfficeHolder,Mounce_Gore_Butler,Q1950258,male,162,,2023.0
OfficeHolder,Mounir_Fakhry_Abdel_Nour,Q1860273,male,79,,2005.0
OfficeHolder,Mounir_Khaled_Berrah,,,0,,
OfficeHolder,Mounir_Majidi,Q16195662,male,59,,2012.0
OfficeHolder,Mount_Vernon_Conference,Q6924366,,0,,2007.0
OfficeHolder,Mount_Zion_Lodge_Masonic_Temple,Q6924787,,0,,2011.0
OfficeHolder,Mountaga_Tall,Q3326057,male,0,,2005.0
OfficeHolder,Mounted_police,Q578015,,0,,2004.0
OfficeHolder,Mountstuart_Elphinstone,Q910933,male,80,,2003.0
OfficeHolder,Mourad_Boudjellal,Q264650,male,64,,2008.0
OfficeHolder,Mousa_Mohammed_Abu_Marzook,Q125976,male,73,,2023.0
OfficeHolder,Moussa_Dadis_Camara,Q314271,male,60,,2008.0
OfficeHolder,Moussa_Faki,Q58117,male,64,,2003.0
OfficeHolder,Moussa_Koussa,Q337755,male,0,,2009.0
OfficeHolder,Moussa_Mara,Q3326215,male,49,,2014.0
OfficeHolder,Moussa_Touati,,,0,,
OfficeHolder,Moustafa_Al-Hakim,,,0,,
OfficeHolder,Moustapha_Niasse,Q1951094,male,0,,2005.0
OfficeHolder,Moven_Mahachi,Q14922135,male,53,,2007.0
OfficeHolder,Movladi_Udugov,Q1975853,male,62,,2006.0
OfficeHolder,Movses_Abelian,Q28195981,male,0,,2016.0
OfficeHolder,Movsum_Samadov,,,0,,2023.0
OfficeHolder,Moïse_Houde,Q3327071,male,74,,2007.0
OfficeHolder,Moïse_Plante,Q6928041,male,-132,,2009.0
OfficeHolder,Mr.Zabej,,,0,,
OfficeHolder,Mr._Fred_Toczek,,,0,,
OfficeHolder,Mr._Peter_Shaughnessy,,,0,,
OfficeHolder,Mr._Pravin_Patel,,,0,,
OfficeHolder,Mr._Tanveer_Aslam_Malik,,,0,,
OfficeHolder,Mr._Tsang_Kin_Wah_Francis,,,0,,
OfficeHolder,Mr._Zafarullah_Khan,,,0,,
OfficeHolder,Mr_Irving_Koo,,,0,,
OfficeHolder,"Mr_Lai_Tung-kwok,_SBS,_IDSM,_JP",,,0,,
OfficeHolder,Mr_Mohamed_Y._Osman_(Acting_President),,,0,,
OfficeHolder,"Mr_Yeung_Yiu_Chung,_BBS,_JP",,,0,,
OfficeHolder,Mridula_Sinha,Q12447464,female,78,,2008.0
OfficeHolder,Mrinal_Miri,Q3595948,male,84,,2005.0
OfficeHolder,Ms.Guo_Wenli,,,0,,
OfficeHolder,MuThwa_Dynasty,,,0,,
OfficeHolder,Muammar_Gaddafi,Q19878,male,-13,,2002.0
OfficeHolder,Muammer_Güler,Q6930701,male,75,,2005.0
OfficeHolder,Mubarak_Abdallah_al-Shamikh,,,0,,2005.0
OfficeHolder,Mubarak_Al-Sabah,Q388730,male,0,,2005.0
OfficeHolder,Mubarak_Al_Duaij_Al_Sabah,,,0,,
OfficeHolder,Mubariz_Gurbanli,Q12842413,male,70,,2016.0
OfficeHolder,Mudar_Badran,Q696952,male,90,,2005.0
OfficeHolder,Mudasiru_Oyetunde_Hussein,Q13651011,male,0,,2009.0
OfficeHolder,Mufi_Hannemann,Q1453320,male,70,,2004.0
OfficeHolder,Mufiz_al-Makhalalati,,,0,,
OfficeHolder,Mufti_Mohammad_Sayeed,Q6095720,male,80,,2004.0
OfficeHolder,Mugur_Isărescu,Q255022,male,75,,2004.0
OfficeHolder,Muhamad_Chatib_Basri,Q12499347,male,59,,2013.0
OfficeHolder,Muhamad_Kanan,Q2901955,male,69,,2008.0
OfficeHolder,Muhamedin_Kullashi,Q3327481,male,75,,2008.0
OfficeHolder,Muhamentnur_Halylov,Q59306308,male,0,,2018.0
OfficeHolder,Muhammad_Abdi_Yusuf,Q1397020,male,83,,2004.0
OfficeHolder,Muhammad_Afzal_Zullah,Q6932351,male,96,,2006.0
