subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Philosopher,Carl_F._H._Henry,Q1134263,male,90,,2003.0
Philosopher,Carl_Gustav_Hempel,Q61885,male,92,,2005.0
Philosopher,Carl_Schmitt,Q77148,male,97,,2003.0
Philosopher,Carl_Stumpf,Q57497,male,88,,2004.0
Philosopher,Carmen_Martín_Gaite,Q268582,female,75,,2005.0
Philosopher,Priscilla_Cohn,Q7245585,female,86,,2012.0
Philosopher,Pyotr_Fedoseev,Q3512648,male,82,,2023.0
Philosopher,Pyotr_Lavrov,Q337628,male,77,,2005.0
Philosopher,Robert_Morrison_MacIver,Q1136106,male,88,,2004.0
Philosopher,Robert_Nozick,Q205927,male,64,,2001.0
Philosopher,Roderick_Chisholm,Q877276,male,83,,2003.0
Philosopher,Rodrigo_de_Arriaga,Q12049595,male,75,,2017.0
Philosopher,Roger_Cribb,Q15129983,male,59,,2007.0
Philosopher,Roger_Garaudy,Q160619,male,99,,2003.0
Philosopher,Roger_Gibson,Q26213595,male,71,,2016.0
Philosopher,Roger_Scruton,Q445939,male,76,,2004.0
Philosopher,Roland_Barthes,Q179109,male,65,,2003.0
Philosopher,Rom_Harré,Q2026604,male,92,,2006.0
Philosopher,Roman_Jakobson,Q156201,male,86,,2002.0
Philosopher,Ronald_Dworkin,Q319803,male,82,,2003.0
Philosopher,Roy_Bhaskar,Q523951,male,70,,2004.0
Philosopher,Rudolf_Carnap,Q76519,male,79,,2002.0
Philosopher,Rudolf_Christoph_Eucken,Q47695,male,80,,2003.0
Philosopher,Rudolf_Steiner,Q78484,male,64,,2001.0
Philosopher,Rudolf_Sutermeister,Q119477,male,66,,2014.0
Philosopher,Rudolf_von_Jhering,Q62605,male,74,,2003.0
Philosopher,Rufus_Jones_(writer),Q2713471,male,85,,2005.0
Philosopher,Sam_C._Sarkesian,Q2216395,male,84,,2011.0
Philosopher,Samuel_Bailey,Q3305906,male,79,,2002.0
Philosopher,Samuel_Edward_Konkin_III,Q1110509,male,57,,2005.0
Philosopher,Samuel_Martin_Thompson,Q20687376,male,81,,2015.0
Philosopher,Samuel_Todes,Q7412787,male,67,,2007.0
Philosopher,Samuel_von_Pufendorf,Q57186,male,62,,2003.0
Philosopher,Sandra_Bartky,Q7416537,female,81,,2008.0
Philosopher,Sara_Danius,Q4944209,female,57,,2013.0
Philosopher,Sarah_Kofman,Q448427,female,60,,2006.0
Philosopher,Saul_Kripke,Q298521,male,82,,2002.0
Philosopher,Scipione_Ammirato,Q600041,male,70,,2004.0
Philosopher,Elias_Petropoulos,Q5360583,male,75,,2008.0
