subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Pilot,Boris_Bugayev,Q563485,,84,,2008.0
Pilot,Capitán_Vicente_Almandos_Almonacid,Q3556915,male,142,,2019.0
Pilot,Carl_Cover,Q89406815,male,131,,2019.0
Pilot,Péter_Besenyei,Q793984,male,68,,2006.0
Pilot,Robert_Stanley_(aviator),Q7349996,male,112,,2005.0
Pilot,Robert_William_Prescott,Q7351104,male,111,,2012.0
Pilot,Robina_Asti,Q106161931,,103,,2021.0
Pilot,Roland_R._Wright,Q7360393,male,105,,2009.0
Pilot,Roscoe_Turner,Q7367535,male,129,,2005.0
Pilot,Ross_Macpherson_Smith,Q963291,male,132,,2006.0
Pilot,Ben_Murphy_(aviator),Q45193775,male,49,,2017.0
Pilot,Benedetta_Willis,Q55590239,female,110,,2018.0
Pilot,Bennett_Griffin,Q4889691,male,129,,2009.0
Pilot,Bernice_Steadman,Q19814898,female,99,,2011.0
Pilot,Bob_Johnson_(pilot),Q19840273,male,107,,2015.0
Pilot,Bobbi_Trout,Q52917,female,118,,2010.0
Pilot,Annette_Elizabeth_Mahon,Q27996526,female,106,,2018.0
Pilot,Antoni_Kocjan,Q4776172,male,122,,2006.0
Pilot,Hudson_Fysh,Q524932,male,129,,2004.0
Pilot,Hugo_Eckener,Q61666,male,156,,2003.0
Pilot,Joseph_John_%22Tym%22_Tymczyszyn,Q6284399,male,106,,2010.0
Pilot,Juan_Velarde_(aviator),Q24006548,,50,,2016.0
Pilot,Jules_Védrines,Q3188966,male,143,,2012.0
Pilot,Paul_Bikle,Q7149364,male,108,,2006.0
Pilot,Paul_Bonhomme,Q783728,male,60,,2006.0
Pilot,Paul_T._Entrekin,Q7153904,male,70,,2012.0
Pilot,Paulo_de_Mello_Bastos,Q113782754,male,106,,2022.0
Pilot,Perry_H._Young_Jr.,Q66049382,male,105,,2019.0
Pilot,Pete_McLeod,Q2677709,male,40,,2008.0
Pilot,Peter_Girard,Q7174250,male,106,,2011.0
Pilot,Peter_Lloyd_(aviator),Q24706194,male,104,,2016.0
Pilot,Peter_Podlunšek,Q16734593,male,54,,2014.0
Pilot,Peter_Twiss,Q4355632,male,103,,2006.0
Pilot,Petr_Kopfstein,Q18511415,male,46,,2016.0
Pilot,René_Guilbaud,Q3426310,male,134,,2011.0
Pilot,Rob_Holland_(pilot),Q27831046,male,50,,2016.0
Pilot,Vladimir_Ilyushin,Q456714,male,97,,2004.0
