subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Politician,Malcolm_Lee_(judge),Q14917658,male,0,,2012.0
Politician,"Malcolm_Leslie,_20th_Earl_of_Rothes",Q6742439,male,73,,2012.0
Politician,Malcolm_Lucas,Q6742451,male,89,,2005.0
Politician,Malcolm_M._Mercer,Q55621873,male,0,,2018.0
Politician,Malcolm_Mabry,Q21598254,male,87,,2015.0
Politician,Malcolm_MacDonald,Q333507,male,80,,2004.0
Politician,Malcolm_MacInnis,Q6742459,male,91,,2008.0
Politician,Malcolm_MacKay_(Canadian_politician),Q19276722,male,80,,2014.0
Politician,Malcolm_MacLeod_(politician),Q6742464,male,96,,2006.0
Politician,Malcolm_Macgregor_Summers,Q23618637,male,0,,2016.0
Politician,Malcolm_Mackay_(Australian_politician),Q6742471,male,80,,2008.0
Politician,"Malcolm_Maclean,_3rd_Chief",Q6742475,male,0,,2009.0
Politician,Malcolm_Maxwell,Q6742482,male,0,,2011.0
Politician,Malcolm_McColm,Q16004072,male,52,,2008.0
Politician,"Malcolm_McCorquodale,_1st_Baron_McCorquodale_of_Newton",Q6742487,male,70,,2006.0
Politician,Malcolm_McCusker,Q1967221,male,86,,2011.0
Politician,Malcolm_McEacharn,Q6742491,male,58,,2006.0
Politician,Malcolm_McFadyen,Q19561480,male,45,,2014.0
Politician,Malcolm_McIntosh,Q16745007,male,55,,2023.0
Politician,Malcolm_McIntyre,Q23616871,male,80,,2016.0
Politician,Malcolm_McKay_(politician),Q55621875,male,55,,2018.0
Politician,Malcolm_McKenzie,Q6742497,male,50,,2007.0
Politician,Malcolm_McLane,Q27708715,male,84,,2016.0
Politician,Malcolm_McLean_(politician),Q6742503,male,59,,2009.0
Politician,Malcolm_McLeod,Q104876191,male,73,,2020.0
Politician,"Malcolm_Mitchell-Thomson,_3rd_Baron_Selsdon",Q1887022,male,87,,2007.0
Politician,Malcolm_Moos,Q3843847,male,66,,2006.0
Politician,Malcolm_Moss,Q6742518,male,81,,2004.0
Politician,Malcolm_Muir_(judge),Q6742520,male,97,,2009.0
Politician,Malcolm_Munroe,Q17110277,male,0,,2013.0
Politician,Malcolm_Nichols,Q3281706,male,75,,2004.0
Politician,Malcolm_Noonan,Q84765076,male,0,,2020.0
Politician,Malcolm_Offord,Q107280370,male,60,,2021.0
Politician,"Malcolm_Pearson,_Baron_Pearson_of_Rannoch",Q127742,male,82,,2005.0
Politician,Malcolm_R._Barnebey,Q6742577,male,97,,2009.0
Politician,Malcolm_R._Patterson,Q358464,male,74,,2004.0
Politician,Malcolm_Richard_Wilkey,Q6742586,male,91,,2009.0
Politician,Malcolm_Rifkind,Q333487,male,78,,2003.0
Politician,Malcolm_Ritchie,Q21538230,male,77,,2020.0
Politician,Malcolm_Roberts_(politician),Q26848575,male,69,,2016.0
Politician,Malcolm_Robertson,Q6742592,male,74,,2020.0
Politician,Malcolm_Ross_(courtier),Q11806868,male,76,,2006.0
Politician,Malcolm_Rowe,Q27734072,male,0,,2016.0
Politician,Malcolm_Savidge,Q6742616,male,78,,2004.0
Politician,Malcolm_Scott_(politician),Q6742617,male,78,,2008.0
Politician,Malcolm_Searle,Q105533849,male,71,,2021.0
Politician,"Malcolm_Shepherd,_2nd_Baron_Shepherd",Q1887053,male,83,,2004.0
Politician,Malcolm_Shepherd_(public_servant),Q6742624,male,87,,2012.0
Politician,"Malcolm_Sinclair,_20th_Earl_of_Caithness",Q335726,male,76,,2006.0
Politician,Malcolm_Sinclair_(Swedish_nobleman),Q4420361,male,-285,,2013.0
Politician,Malcolm_Skilbeck,Q6742630,male,90,,2006.0
Politician,Malcolm_Smith_(American_politician),Q368078,male,68,,2006.0
Politician,Malcolm_Smith_Schell,Q6742641,male,71,,2007.0
Politician,Malcolm_St_Clair_(politician),Q6742645,male,77,,2006.0
Politician,Malcolm_Stevenson,Q6742650,male,49,,2007.0
Politician,Malcolm_Struan_Tonnochy,Q6742661,male,183,,2006.0
Politician,Malcolm_Thornton,Q6742667,male,85,,2006.0
Politician,Malcolm_Toon,Q6742685,male,93,,2006.0
Politician,Malcolm_Turnbull,Q927550,male,70,,2003.0
Politician,Malcolm_Turner,Q60735073,male,0,,2018.0
Politician,Malcolm_W._Perkins,Q96247435,male,77,,2020.0
Politician,Malcolm_Wallis,Q23304270,male,74,,2015.0
Politician,Malcolm_Wallop,Q984376,male,78,,2005.0
Politician,Malcolm_Wicks,Q264761,male,65,,2004.0
Politician,Malcolm_Williamson,Q644392,male,72,,2003.0
Politician,Malcolm_Wilson_(governor),Q880392,male,86,,2023.0
Politician,Malcom_Mussen_Lamoh,Q20455161,male,0,,2016.0
Politician,Maleeha_Lodhi,Q6743544,female,72,,2004.0
Politician,Maleeka_Bokhari,Q56065194,female,0,,2018.0
Politician,Malegapuru_William_Makgoba,Q6742987,male,0,,2006.0
Politician,Malek_Boutih,Q3281828,male,60,,2007.0
Politician,Malek_K._Gabr,Q27975318,male,-17,,2016.0
Politician,Malek_Mansur_Mirza_Shoa_O-Saltaneh,Q5244068,male,0,,2023.0
Politician,Malena_Galmarini,Q20016345,female,49,,2022.0
Politician,Malene_Vahl_Rasmussen,Q93790878,female,30,,2020.0
Politician,Malethu_Sarala_Devi,Q13114038,female,0,,2019.0
Politician,Maleyka_Abbaszadeh,Q12842671,female,0,,2013.0
Politician,Malfourd_W._Trumbo,Q6743182,male,70,,2008.0
Politician,Mali_Khan,Q109546683,male,0,,2011.0
Politician,Mali_Mariyappa,Q104239614,male,112,,2020.0
Politician,Malia_Bouattia,Q24005996,female,37,,2016.0
Politician,Malia_Cohen,Q13562240,female,47,,2011.0
Politician,Maliaman_Kassim,Q85981575,male,0,,2020.0
Politician,Malick_Diaw,Q103868460,male,0,,2020.0
Politician,Malick_M'Baye,Q27975342,male,0,,2023.0
Politician,Malietoa_Tanumafili_II,Q317378,male,94,,2003.0
Politician,Maliha_Ali_Asghar_Khan,Q46591946,female,0,,2017.0
Politician,Maliha_Zulfacar,Q43289119,female,0,,2017.0
Politician,Maliina_Abelsen,Q3740035,female,48,,2010.0
Politician,Malik_Aamir_Dogar,Q18815993,male,52,,2015.0
Politician,Malik_Abbas_Rehman,Q65746923,male,0,,2019.0
Politician,Malik_Abdul_Gafar_Dogar,Q18815995,male,60,,2015.0
Politician,Malik_Agar,Q6743558,male,0,,2011.0
Politician,Malik_Ahmad_Ali_Aulakh,Q55825073,male,0,,2018.0
Politician,Malik_Ahmad_Karim_Qaswar_Langrial,Q47405671,male,53,,2018.0
Politician,Malik_Ahmad_Khan,Q47405978,male,53,,2018.0
Politician,Malik_Ahmad_Khan_Bhachar,Q16731872,male,56,,2013.0
Politician,Malik_Ahmad_Saeed_Khan,Q47405667,male,49,,2018.0
Politician,Malik_Ahmad_Yar_Hunjra,Q47405662,male,46,,2018.0
Politician,Malik_Ahmed_Hussain_Dehar,Q55767543,male,0,,2018.0
Politician,Malik_Aitbar_Khan,Q18816140,male,71,,2015.0
Politician,Malik_Al-Hassan_Yakubu,Q2646607,male,0,,2006.0
Politician,Malik_Ali_Abbas_Khokhar,Q47405654,male,52,,2018.0
Politician,Malik_Amin_Aslam,Q14949449,male,58,,2013.0
Politician,Malik_Anwar_Taj,Q55761337,male,0,,2018.0
Politician,Malik_Asad_Ali_Khokhar,Q59727640,male,0,,2018.0
Politician,Malik_Ata_Muhammad_Khan,Q6743568,male,83,,2011.0
Politician,Malik_Azmani,Q2798242,male,48,,2011.0
Politician,Malik_Badri,Q105424281,male,0,,2021.0
Politician,Malik_Badshah_Saleh,Q55819774,male,0,,2018.0
Politician,Malik_Berthelsen,Q105043815,female,0,,2021.0
Politician,Malik_Dohan_al-Hassan,Q1887359,male,102,,2009.0
Politician,Malik_Ehsan_Ullah_Tiwana,Q55767482,male,0,,2018.0
Politician,Malik_Evans,Q107439928,male,44,,2021.0
Politician,Malik_Fiaz_Ahmad_Awan,Q47405651,male,64,,2018.0
Politician,Malik_Ghulam_Arbi_Khar,Q112134447,male,-11,,2022.0
Politician,Malik_Ghulam_Habib_Awan,Q47405992,male,59,,2018.0
Politician,Malik_Ghulam_Nabi,Q63386787,male,0,,2019.0
