subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Religious,Carol_Anne_O'Marie,Q5044240,female,76,,2007.0
Religious,Prabhu_Jagadbandhu,Q3260366,male,50,,2012.0
Religious,Prahlad_Jani,Q1647721,male,91,,2005.0
Religious,Prajnanapada,Q980113,male,83,,2005.0
Religious,Prakashananda,Q16066828,male,53,,2014.0
Religious,Pramukh_Swami_Maharaj,Q113785609,,95,,2005.0
Religious,Pramukh_Swami_Maharaj,Q7238282,male,95,,2005.0
Religious,Pranavananda_Saraswathi,Q173278,male,74,,2008.0
Religious,Qazi_Athar_Mubarakpuri,Q7267277,male,80,,2005.0
Religious,Qazi_Mu'tasim_Billah,Q105379206,male,80,,2022.0
Religious,Robert_Nicholl_Carne,Q7348033,male,86,,2012.0
Religious,Robert_Watson_Wood,Q62573024,male,95,,2019.0
Religious,Ros_Mey,Q7366980,male,85,,2010.0
Religious,Rose_Hanigan,Q21537657,female,88,,2021.0
Religious,Ruben_Ecleo,Q7375960,male,53,,2023.0
Religious,Rujing,Q5964809,male,65,,2009.0
Religious,Samael_Aun_Weor,Q527908,male,60,,2004.0
Religious,Samu_(sunim),Q7410670,male,81,,2008.0
Religious,Samuel_Eusebius_McCorkle,Q55720302,male,65,,2018.0
Religious,Samuel_Eyles_Pierce,Q376354,male,83,,2010.0
Religious,Sanaullah_Amritsari,Q6811470,male,80,,2016.0
Religious,Sankardev,Q3116915,male,119,,2004.0
Religious,Sarada_Devi,Q3278399,female,67,,2004.0
Religious,Saradananda,Q3631646,male,62,,2011.0
Religious,Sathya_Sai_Baba,Q483931,male,85,,2002.0
Religious,Satya_Priya_Mahathero,Q31728257,male,89,,2019.0
Religious,Satyadhyana_Tirtha,Q66436576,male,70,,2019.0
Religious,Satyananda_Giri,Q7426925,male,75,,2007.0
Religious,Satyananda_Saraswati,Q1085793,male,86,,2005.0
Religious,Sawan_Singh,Q328893,male,90,,2005.0
Religious,Sayed_Nafees_al-Hussaini,Q7429180,male,75,,2020.0
Religious,Sayyid_Mumtaz_Ali,Q28034698,male,75,,2020.0
Religious,Sayyid_Qutb,Q211379,male,60,,2003.0
Religious,Mufti_Muhammad_Sadiq,Q16800685,male,85,,2014.0
Religious,Muhammad_ibn_Yusuf_al-Kindi,Q12178132,male,64,,2018.0
Religious,Ben_Klassen,Q1819273,male,75,,2004.0
Religious,Benedetta_Carlini,Q2638073,female,71,,2006.0
Religious,Benhuan,Q4885875,male,105,,2012.0
Religious,Beopjeong,Q12598060,male,78,,2014.0
Religious,Bernard_Braskamp,Q4892949,male,79,,2011.0
Religious,Bernard_of_Wąbrzeźno,Q21661959,male,28,,2016.0
Religious,Bernie_Glassman,Q822446,male,79,,2006.0
Religious,Bhagatji_Maharaj,Q4900610,male,68,,2012.0
Religious,Bhagwan_Gopinath,Q4900666,male,70,,2007.0
Religious,Bhakti_Ballabh_Tirtha,Q23881468,male,93,,2016.0
Religious,Bhakti_Charu_Swami,Q4100792,male,75,,2005.0
