subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Royalty,"Frederick_Francis_III,_Grand_Duke_of_Mecklenburg-Schwerin",Q57974,male,0,,2023.0
Royalty,"Frederick_Francis_IV,_Grand_Duke_of_Mecklenburg-Schwerin",Q57930,male,0,,2023.0
Royalty,"Frederick_Henry,_Duke_of_Saxe-Zeitz-Pegau-Neustadt",Q96767,male,0,,2007.0
Royalty,"Frederick_I,_Duke_of_Anhalt",Q704332,male,0,,2008.0
Royalty,"Frederick_I,_Duke_of_Brunswick-Osterode",Q2102248,male,0,,2012.0
Royalty,"Frederick_I,_Duke_of_Lorraine__Frederick_I__1",,,0,,
Royalty,"Frederick_I,_Duke_of_Saxe-Gotha-Altenburg",Q63770,male,0,,2006.0
Royalty,"Frederick_I,_Elector_of_Saxony",Q704939,male,0,,2005.0
Royalty,"Frederick_I,_Grand_Duke_of_Baden",Q57483,male,0,,2005.0
Royalty,"Frederick_I,_Grand_Duke_of_Baden",Q61208,male,0,,2005.0
Royalty,"Frederick_I,_Margrave_of_Brandenburg-Ansbach",Q700425,male,0,,2002.0
Royalty,"Frederick_I,_Margrave_of_Meissen",Q694358,male,0,,2005.0
Royalty,"Frederick_II,_Duke_of_Austria",Q280338,male,0,,2004.0
Royalty,"Frederick_II,_Duke_of_Mecklenburg-Schwerin",Q570989,male,0,,2010.0
Royalty,"Frederick_II,_Duke_of_Saxe-Gotha-Altenburg",Q61447,male,0,,2006.0
Royalty,"Frederick_II,_Elector_Palatine",Q61245,male,0,,2006.0
Royalty,"Frederick_II,_Elector_of_Brandenburg",Q701736,male,0,,2002.0
Royalty,"Frederick_II,_Elector_of_Saxony",Q702602,male,0,,2005.0
Royalty,"Frederick_II,_Grand_Duke_of_Baden",Q57414,male,0,,2005.0
Royalty,"Frederick_II,_Holy_Roman_Emperor",Q130221,male,0,,2001.0
Royalty,"Frederick_II,_Landgrave_of_Hesse-Kassel",Q454473,male,0,,2005.0
Royalty,"Frederick_II,_Margrave_of_Meissen",Q695279,male,0,,2005.0
Royalty,"Frederick_III,_Duke_of_Austria",Q2297498,male,0,,2024.0
Royalty,"Frederick_III,_Duke_of_Holstein-Gottorp",Q61360,male,0,,2006.0
Royalty,"Frederick_III,_Duke_of_Lorraine__Frederick_III__1",,,0,,
Royalty,"Frederick_III,_Duke_of_Saxe-Gotha-Altenburg",Q65038,male,0,,2006.0
Royalty,"Frederick_III,_Elector_of_Saxony",Q77233,male,0,,2003.0
Royalty,"Frederick_III,_German_Emperor",Q58600,male,0,,2002.0
Royalty,"Frederick_III,_Holy_Roman_Emperor__Frederick_III__1",,,0,,
Royalty,"Frederick_III,_Landgrave_of_Thuringia",Q702473,male,0,,2005.0
Royalty,"Frederick_III,_Prince_of_Salm-Kyrburg",Q540802,male,0,,2007.0
Royalty,Frederick_III_of_Denmark,Q157812,male,0,,2002.0
Royalty,Frederick_III_of_Denmark,Q68652,male,0,,2002.0
Royalty,Frederick_III_of_Sicily,Q367226,male,0,,2002.0
Royalty,"Frederick_II_Eugene,_Duke_of_Württemberg",Q58052,male,0,,2005.0
Royalty,Frederick_II_of_Denmark,Q154041,male,0,,2002.0
Royalty,"Frederick_IV,_Duke_of_Holstein-Gottorp",Q60286,male,0,,2006.0
Royalty,"Frederick_IV,_Duke_of_Lorraine",Q562051,male,0,,2004.0
Royalty,"Frederick_IV,_Duke_of_Saxe-Gotha-Altenburg",Q649856,male,0,,2006.0
Royalty,"Frederick_IV,_Elector_Palatine",Q60746,male,0,,2005.0
Royalty,Frederick_IV_of_Denmark,Q161059,male,0,,2003.0
Royalty,Frederick_IX_of_Denmark,Q151312,male,0,,2024.0
Royalty,Frederick_I_of_Denmark,Q157789,male,0,,2003.0
Royalty,Frederick_I_of_Prussia,Q151826,male,0,,2001.0
Royalty,Frederick_I_of_Sweden,Q52932,male,0,,2002.0
Royalty,Frederick_I_of_Württemberg,Q170179,male,0,,2002.0
Royalty,Frederick_I_of_Württemberg,Q62109,male,0,,2002.0
Royalty,"Frederick_Louis,_Duke_of_Schleswig-Holstein-Sonderburg-Beck",Q63742,male,0,,2005.0
Royalty,"Frederick_Louis,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin",Q61451,male,0,,2008.0
Royalty,Frederick_Louis_of_Württemberg-Winnental,Q67365,male,0,,2007.0
Royalty,"Frederick_Michael,_Count_Palatine_of_Zweibrücken",Q61780,male,0,,2007.0
Royalty,Frederick_Michael_of_Zweibrücken-Birkenfeld,,,0,,2007.0
Royalty,"Frederick_V,_Elector_Palatine",Q57195,male,0,,2017.0
Royalty,"Frederick_V,_Landgrave_of_Hesse-Homburg",Q214050,male,0,,2010.0
Royalty,"Frederick_VI,_Landgrave_of_Hesse-Homburg",Q654867,male,0,,2009.0
Royalty,"Frederick_VIII,_Duke_of_Schleswig-Holstein",Q700644,male,0,,2003.0
Royalty,Frederick_VIII_of_Denmark,Q152756,male,0,,2002.0
Royalty,Frederick_VII_of_Denmark,Q94941,male,0,,2003.0
Royalty,Frederick_VI_of_Denmark,Q155002,male,0,,2003.0
Royalty,Frederick_V_of_Denmark,Q156187,male,0,,2003.0
Royalty,Frederick_V_of_the_Palatinate,Q57195,male,0,,2003.0
Royalty,"Frederick_William,_Duke_of_Brunswick-Wolfenbüttel",Q62029,male,0,,2005.0
Royalty,"Frederick_William,_Duke_of_Courland",Q63494,male,0,,2009.0
Royalty,"Frederick_William,_Duke_of_Mecklenburg-Schwerin",Q552274,male,0,,2011.0
Royalty,"Frederick_William,_Elector_of_Brandenburg",Q152727,male,0,,2001.0
Royalty,"Frederick_William,_Elector_of_Hesse",Q550714,male,0,,2008.0
Royalty,"Frederick_William,_Grand_Duke_of_Mecklenburg-Strelitz",Q61444,male,0,,2007.0
Royalty,"Frederick_William,_Prince_of_Nassau-Weilburg",Q699481,male,0,,2007.0
Royalty,"Frederick_William_II,_Duke_of_Schleswig-Holstein-Sonderburg-Beck",Q89278,male,0,,2012.0
Royalty,Frederick_William_III_of_Prussia,Q1458758,male,0,,2003.0
Royalty,Frederick_William_III_of_Prussia,Q37134,male,0,,2003.0
Royalty,Frederick_William_II_of_Prussia,Q152229,male,0,,2003.0
Royalty,Frederick_William_IV_of_Prussia,Q57180,male,0,,2003.0
Royalty,Frederick_William_I_of_Prussia,Q105013,male,0,,2002.0
Royalty,Frederick_of_Denmark_(bishop),Q876198,male,0,,2012.0
Royalty,Frederick_of_Luxembourg,Q688842,male,0,,2006.0
Royalty,Frederick_of_Naples,Q264060,male,0,,2005.0
Royalty,Frederick_of_Saxony_(Teutonic_Knight),Q262986,male,0,,2005.0
Royalty,Frederick_the_Fair,Q124950,male,0,,2004.0
Royalty,Frederick_the_Great,Q33550,male,0,,2002.0
Royalty,Frederick_the_Simple,Q468672,male,0,,2003.0
Royalty,Fredericka_Elisabeth_of_Saxe-Eisenach,Q1457037,female,0,,2014.0
Royalty,Fredericka_of_Saxe-Gotha-Altenburg,Q328588,female,0,,2014.0
Royalty,"Frederik,_Crown_Prince_of_Denmark",Q1004037,male,0,,2024.0
Royalty,Frederika_Louisa_of_Hesse-Darmstadt,Q235663,female,0,,2018.0
Royalty,Frederuna,Q272103,female,0,,2004.0
Royalty,Fredrick_Kúmókụn_Adédeji_Haastrup,Q16030480,male,0,,2013.0
Royalty,Fredrick_Obateru_Akinruntan,Q20090079,male,0,,2015.0
Royalty,Fretwork_(music_group),Q3753123,,0,,2005.0
Royalty,Friederike_Auguste_Sophie_of_Anhalt-Bernburg,Q434120,female,0,,2011.0
Royalty,Friederike_Charlotte_of_Hesse-Darmstadt,Q167564,female,0,,2010.0
Royalty,"Friedrich,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg",Q63086,male,0,,2008.0
Royalty,"Friedrich,_Hereditary_Prince_of_Anhalt",Q5503711,male,0,,2007.0
Royalty,"Friedrich,_Prince_of_Waldeck_and_Pyrmont",Q819501,male,0,,2006.0
Royalty,"Friedrich,_Prince_of_Wied",Q68270,male,0,,2010.0
Royalty,"Friedrich_Anton_Ulrich,_Prince_of_Waldeck_and_Pyrmont",Q68257,male,0,,2010.0
Royalty,"Friedrich_Christian,_Margrave_of_Meissen",Q62265,male,0,,2007.0
Royalty,"Friedrich_Ferdinand,_Duke_of_Schleswig-Holstein",Q61782,male,0,,2008.0
Royalty,"Friedrich_Franz,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin",Q215791,male,0,,2008.0
Royalty,Friedrich_Franz_von_Hohenlohe-Waldenburg-Schillingsfürst,Q1459148,male,0,,2012.0
Royalty,"Friedrich_Günther,_Prince_of_Schwarzburg",Q5503810,male,0,,2007.0
Royalty,"Friedrich_Günther,_Prince_of_Schwarzburg-Rudolstadt",Q570974,male,0,,2007.0
Royalty,"Friedrich_Hermann_Otto,_Prince_of_Hohenzollern-Hechingen",Q551544,male,0,,2008.0
Royalty,"Friedrich_I,_Duke_of_Anhalt",,,0,,2008.0
Royalty,"Friedrich_II,_Duke_of_Anhalt",Q657137,male,0,,2008.0
Royalty,"Friedrich_Josias,_Prince_of_Saxe-Coburg_and_Gotha",Q72834,male,0,,2006.0
Royalty,"Friedrich_Karl_August,_Prince_of_Waldeck_and_Pyrmont",Q214068,male,0,,2010.0
Royalty,Friedrich_Karl_Joseph_von_Erthal,Q87611,male,0,,2006.0
Royalty,"Friedrich_Karl_Ludwig,_Duke_of_Schleswig-Holstein-Sonderburg-Beck",Q170179,male,0,,2005.0
Royalty,"Friedrich_Karl_Ludwig,_Duke_of_Schleswig-Holstein-Sonderburg-Beck",Q62109,male,0,,2005.0
Royalty,Friedrich_Kettler,Q31785,male,0,,2008.0
Royalty,"Friedrich_Magnus_VI,_Count_of_Solms-Wildenfels",Q15729514,male,0,,2013.0
Royalty,"Friedrich_VI,_Count_of_Zollern",,,0,,2014.0
Royalty,"Friedrich_Wilhelm,_Duke_of_Saxe-Meiningen",Q67877,male,0,,2006.0
Royalty,"Friedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glücksburg",Q240302,male,0,,2003.0
Royalty,"Friedrich_Wilhelm,_Prince_of_Hohenzollern",Q69420,male,0,,2023.0
Royalty,"Friedrich_Wilhelm_I,_Duke_of_Saxe-Weimar",Q64215,male,0,,2007.0
Royalty,"Friedrich_Wilhelm_II,_Duke_of_Saxe-Altenburg",Q64193,male,0,,2007.0
Royalty,"Friedrich_Wilhelm_III,_Duke_of_Saxe-Altenburg",Q68461,male,0,,2007.0
Royalty,Friedrich_of_Brandenburg-Bayreuth,Q24971024,male,0,,2016.0
Royalty,Friedrich_of_Sülichgau,,,0,,
Royalty,Frithugyth,Q5504765,female,0,,2007.0
Royalty,Frithuswith,Q1314431,female,-1297,,2004.0
Royalty,Frithuwald_of_Bernicia,Q881478,male,0,,2005.0
Royalty,Frithuwold_of_Chertsey,Q12957196,male,0,,2006.0
Royalty,Fritz_von_Thurn_und_Taxis,Q1320693,male,0,,2009.0
Royalty,Fromo_Kesaro,Q101008703,male,0,,2020.0
Royalty,Frozza_Orseolo,Q1885480,female,-953,,2012.0
Royalty,Fruela_II_of_Asturias,Q333603,male,0,,2005.0
Royalty,Fruela_I_of_Asturias,Q351715,male,0,,2002.0
Royalty,Fruzhin,Q3656960,male,0,,2006.0
Royalty,Frédéric_Luz,Q3089989,male,60,,2018.0
Royalty,Frédéric_Maurice_Casimir_de_La_Tour_d'Auvergne,Q3753859,male,0,,2010.0
Royalty,Frédéric_Maurice_de_La_Tour_d'Auvergne,,,0,,2020.0
Royalty,"Frédéric_Maurice_de_La_Tour_d'Auvergne,_Duc_de_Bouillon",Q1471436,male,0,,2005.0
Royalty,Fu_Chong,Q1076723,male,0,,2006.0
Royalty,Fu_Deng,Q1076719,male,0,,2006.0
Royalty,Fu_Gongshi,Q5506837,male,0,,2007.0
Royalty,Fu_Hao,Q270018,female,0,,2004.0
Royalty,Fu_Hong,Q912248,male,0,,2011.0
Royalty,Fu_Jian_(317–355),Q1071647,male,0,,2006.0
Royalty,Fu_Jian_(337–385),Q967998,male,0,,2006.0
Royalty,Fu_Jing_(Shang_dynasty),Q28418816,female,0,,2017.0
Royalty,Fu_Pi,Q1153333,male,0,,2006.0
Royalty,Fu_Sheng_(Former_Qin),Q1151680,male,0,,2006.0
Royalty,Fu_Shou,Q448098,female,0,,2005.0
Royalty,Fu_Xunying,Q5374519,female,0,,2006.0
Royalty,Fuad_I,,,0,,2004.0
Royalty,Fuad_II_of_Egypt,Q311796,male,0,,2003.0
Royalty,Fuad_I_of_Egypt,Q311839,male,0,,2003.0
Royalty,Fubara_Manilla_Pepple,Q95695600,male,0,,2020.0
Royalty,Fuchu_of_Chu,Q796447,male,0,,2006.0
Royalty,Fuhayd_ibn_Hasan,Q42778131,male,0,,2017.0
Royalty,Fujiwara_no_Anshi,Q1054488,female,0,,2011.0
Royalty,Fujiwara_no_Ariko,Q5507511,female,0,,2011.0
Royalty,Fujiwara_no_Chōshi,Q7137331,female,0,,2022.0
Royalty,Fujiwara_no_Fusasaki,Q2173602,male,0,,2007.0
Royalty,Fujiwara_no_Fuyutsugu,Q3090616,male,-1198,,2014.0
Royalty,Fujiwara_no_Genshi,Q5507512,female,0,,2011.0
Royalty,Fujiwara_no_Hiroko,Q5507514,female,0,,2011.0
Royalty,Fujiwara_no_Ikushi,Q5507513,female,0,,2011.0
Royalty,Fujiwara_no_Ishi,Q5507516,female,0,,2011.0
Royalty,Fujiwara_no_Junshi,Q5507517,female,0,,2011.0
Royalty,Fujiwara_no_Kanshi,Q5507519,female,0,,2011.0
Royalty,Fujiwara_no_Kenshi_(994–1027),Q5507521,female,0,,2011.0
Royalty,Fujiwara_no_Kenshi_(Sanjō),,,0,,2021.0
Royalty,Fujiwara_no_Kenshi_(Shirakawa),,,0,,2018.0
Royalty,Fujiwara_no_Kimiko,Q5507518,female,0,,2012.0
Royalty,Fujiwara_no_Kinshi,Q5507522,female,0,,2011.0
