subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Scientist,Henry_How,Q1444691,male,196,,2017.0
Scientist,Henry_Howse,Q16856455,male,73,,2014.0
Scientist,Henry_Ingersoll_Bowditch,Q5723585,male,84,,2008.0
Scientist,Henry_J._M._Barnett,Q14949534,male,94,,2005.0
Scientist,Henry_J._Watt,Q5723736,male,0,,2007.0
Scientist,Henry_Jack,Q15994535,male,61,,2011.0
Scientist,Henry_James_Anderson,Q15458738,male,76,,2007.0
Scientist,Henry_James_Brooke,Q3132560,male,0,,2011.0
Scientist,Henry_James_Clark,Q3132861,male,47,,2008.0
Scientist,Henry_James_Sumner_Maine,Q1195523,male,66,,2003.0
Scientist,Henry_Janowitz,Q66750902,male,93,,2019.0
Scientist,Henry_John_Carter,Q5723970,male,82,,2008.0
Scientist,Henry_John_Elwes,Q2976019,male,76,,2005.0
Scientist,Henry_John_Stephen_Smith,Q742431,male,57,,2002.0
Scientist,Henry_K._Beecher,Q5724155,male,72,,2006.0
Scientist,Henry_Kandrup,Q5724211,male,48,,2008.0
Scientist,Henry_Kater,Q1107900,male,58,,2003.0
Scientist,Henry_Kautz,Q19879460,male,0,,2015.0
Scientist,Henry_Keazor,Q1606940,male,59,,2015.0
Scientist,Henry_Kitchener,Q16149212,male,73,,2011.0
Scientist,Henry_Kranzler,Q108933925,,74,,2021.0
Scientist,Henry_Kressel,Q5724485,male,0,,2012.0
Scientist,Henry_Kunkel,Q1606764,male,0,,2012.0
Scientist,Henry_L._Bachman,Q24207157,male,94,,2016.0
Scientist,Henry_L._Langhaar,Q10294926,male,83,,2017.0
Scientist,Henry_L._Moore,,,0,,2008.0
Scientist,Henry_L._Roediger_III,Q612094,male,77,,2008.0
Scientist,Henry_Lawson_(astronomer),Q18506916,male,0,,2014.0
Scientist,Henry_Lewis_Guy,Q5724898,male,69,,2007.0
Scientist,Henry_Lin_(astronomer),Q18044616,male,0,,2014.0
Scientist,Henry_Lipson,Q5724969,male,81,,2006.0
Scientist,Henry_Littlejohn,Q5724975,male,88,,2011.0
Scientist,Henry_Louis_Le_Chatelier,Q121926,male,86,,2004.0
Scientist,Henry_Louis_Rietz,,,0,,2022.0
Scientist,Henry_Ludwell_Moore,Q3784968,male,89,,2005.0
Scientist,Henry_M._Fales,Q5725270,male,83,,2010.0
Scientist,Henry_M._Foley,Q1312272,male,0,,2008.0
Scientist,Henry_M._Hoenigswald,Q5725292,male,0,,2009.0
Scientist,Henry_Mann,Q1607017,male,0,,2011.0
Scientist,Henry_Margenau,Q5725452,male,96,,2006.0
Scientist,Henry_Markram__Henry_Markram__1,,,62,,
Scientist,Henry_Marsh_(neurosurgeon),Q5725465,male,74,,2008.0
Scientist,Henry_Matthew_Adam,Q84369706,male,93,,2020.0
Scientist,Henry_Maudsley,Q2436868,male,189,,2005.0
Scientist,Henry_McHenry,Q10860732,male,0,,2024.0
Scientist,Henry_McKean,Q1607032,male,0,,2012.0
Scientist,Henry_Melvill_Gwatkin,Q15497791,male,0,,2005.0
Scientist,Henry_Mitchell_(oceanographer),Q15995306,male,72,,2013.0
Scientist,Henry_Moseley,Q310759,male,28,,2002.0
Scientist,Henry_Murray,Q463153,male,95,,2005.0
Scientist,Henry_Mwandumba,Q65675721,male,0,,2019.0
Scientist,Henry_N._Chapman,Q19285383,male,0,,2020.0
Scientist,Henry_N._Chapman,Q46344491,male,0,,2020.0
Scientist,Henry_Nathaniel_Andrews,Q3132977,male,114,,2012.0
Scientist,Henry_Naunton_Davies,Q112425544,male,0,,2022.0
Scientist,Henry_Nelson_Wieman,Q5726254,male,91,,2009.0
Scientist,Henry_Nicholas_Ridley,Q733709,male,101,,2004.0
Scientist,Henry_Norris_Russell,Q273159,male,80,,2002.0
Scientist,Henry_O._Pollak,Q11103884,male,0,,2008.0
Scientist,Henry_Paul_Hansen,Q11247683,male,117,,2007.0
Scientist,Henry_Payne_(engineer),Q17627005,male,74,,2014.0
Scientist,Henry_Perigal,Q5726895,male,97,,2011.0
Scientist,Henry_Pickering_Bowditch,Q1607155,male,184,,2006.0
Scientist,Henry_Piffard,Q29532389,male,68,,2017.0
Scientist,Henry_Pollack_(geophysicist),Q16734609,male,88,,2010.0
Scientist,Henry_Priestley_(mathematician),Q21538939,male,49,,2015.0
Scientist,Henry_Primakoff,Q1607180,male,69,,2007.0
Scientist,Henry_Radcliffe_Crocker,Q13389073,male,63,,2010.0
Scientist,Henry_Riley_(scientist),Q98603404,male,0,,2020.0
Scientist,Henry_Roland_Totten,Q21610900,male,0,,2015.0
Scientist,Henry_Roscoe_(chemist),Q337430,male,82,,2004.0
Scientist,Henry_Rothstein,Q21062389,male,0,,2015.0
Scientist,Henry_Roy_Brahana,Q5727768,male,0,,2012.0
Scientist,Henry_Roy_Dean,Q15989955,male,82,,2012.0
Scientist,Henry_Rzepa,Q5727848,male,0,,2006.0
Scientist,Henry_Scheffé,Q5728085,male,70,,2009.0
Scientist,Henry_Schlinger,Q56249959,male,0,,2018.0
Scientist,Henry_Schoolcraft,Q715889,male,71,,2004.0
Scientist,Henry_Schultz,Q1971751,male,45,,2007.0
Scientist,Henry_Shoemaker_Conard,Q9002968,male,97,,2008.0
Scientist,Henry_Silver,Q16012694,male,0,,2013.0
Scientist,Henry_Snaith,Q19962764,male,0,,2015.0
Scientist,Henry_Stanley_Plummer,Q716942,male,62,,2006.0
Scientist,Henry_Stapp,Q5728668,male,96,,2004.0
Scientist,Henry_Stephen_(chemist),Q15461759,male,135,,2006.0
Scientist,Henry_Stommel,Q1343807,male,72,,2005.0
Scientist,Henry_Suter,Q5728874,male,77,,2007.0
Scientist,Henry_Sweet,Q636326,male,67,,2004.0
Scientist,Henry_T._Anthony,Q5728922,male,70,,2011.0
Scientist,Henry_T._Eddy,,,0,,
Scientist,Henry_T._Sampson,Q5727949,male,81,,2007.0
Scientist,Henry_T._Wright,Q5728962,male,0,,2010.0
Scientist,Henry_Taber,Q59183421,male,76,,2018.0
Scientist,Henry_Taube__Henry_Taube__1,,,90,,
Scientist,Henry_Trimen,Q2462643,male,181,,2009.0
Scientist,Henry_Tye,Q1296057,male,0,,2006.0
Scientist,Henry_Valen,Q3540983,male,83,,2013.0
Scientist,Henry_Vernon_Atherton,Q98637252,male,93,,2020.0
Scientist,Henry_Vernon_Wong__Henry_Vernon_Wong__1,,,86,,
Scientist,Henry_W._Gould,Q5729644,male,96,,2013.0
Scientist,Henry_W._Hofstetter,Q16015520,male,88,,2013.0
Scientist,Henry_Wade_(surgeon),Q30314250,male,79,,2017.0
Scientist,Henry_Wallman,Q3710481,male,0,,2008.0
Scientist,Henry_Walter_Bates,Q370308,male,67,,2003.0
Scientist,Henry_Way_Kendall,Q190495,male,73,,2005.0
Scientist,Henry_Wedler,Q61045174,male,0,,2018.0
Scientist,Henry_Wellcome,Q3133145,male,83,,2005.0
Scientist,Henry_Whitely_(ornithologist),Q1607406,male,0,,2020.0
Scientist,Henry_Wilfred_Brolemann,Q21055003,male,164,,2015.0
Scientist,Henry_Wood_Elliott_II,Q90675962,male,56,,2020.0
Scientist,Henry_Woodward_(geologist),Q1341617,male,192,,2005.0
Scientist,Henry_Wynn,Q5730589,male,0,,2010.0
Scientist,Henry_of_Langenstein,Q71997,male,-627,,2006.0
Scientist,Henryk_Arctowski,Q946774,male,87,,2004.0
Scientist,Henryk_Bem,Q18753918,male,0,,2017.0
Scientist,Henryk_Dziedzicki,Q9288085,male,0,,2017.0
Scientist,Henryk_Hiż,Q9288205,male,89,,2020.0
Scientist,Henryk_Iwaniec,Q370944,male,77,,2007.0
Scientist,Henryk_Kierzkowski,Q5731056,male,81,,2011.0
Scientist,Henryk_Merczyng,Q21096166,male,56,,2019.0
Scientist,Henryk_Niewodniczański,Q9288539,male,68,,2007.0
Scientist,Henryk_Samsonowicz,Q738805,male,91,,2009.0
Scientist,Henryk_Skarżyński,Q969088,male,70,,2011.0
Scientist,Henryk_Stepien,Q66848136,male,76,,2019.0
Scientist,Heok_Hui_Tan,Q18019521,male,0,,2018.0
Scientist,Herb_Wright,Q37979146,male,98,,2017.0
Scientist,Herbert_A._Hauptman,Q107422,male,94,,2004.0
Scientist,Herbert_A._Pullen,Q24203446,male,64,,2016.0
Scientist,Herbert_A._Simon,Q181529,male,85,,2002.0
Scientist,Herbert_A._Wagner,Q86097,male,124,,2009.0
Scientist,Herbert_Atkinson_Barker,Q4078284,male,81,,2004.0
Scientist,Herbert_August_Laitinen,,,0,,
Scientist,Herbert_Baxter_Adams,Q966708,male,51,,2003.0
Scientist,Herbert_Benson,Q3133435,male,87,,2006.0
Scientist,Herbert_Boyer,Q354878,male,88,,2004.0
Scientist,Herbert_Brereton_Baker,Q1608094,male,73,,2006.0
Scientist,Herbert_Burkert,Q5733724,male,0,,2010.0
Scientist,Herbert_Busemann,Q214326,male,0,,2009.0
Scientist,Herbert_C._Brown,Q102406,male,92,,2003.0
Scientist,Herbert_Callen,Q1608008,male,74,,2005.0
Scientist,Herbert_Charles_Brown,,,0,,2006.0
Scientist,Herbert_Chen,,,0,,
Scientist,Herbert_Clemens,Q21286538,male,85,,2015.0
Scientist,Herbert_Copeland,Q2933703,male,122,,2005.0
Scientist,Herbert_Durham,Q19654832,male,79,,2015.0
Scientist,Herbert_Duthie,Q107602155,male,86,,2021.0
Scientist,Herbert_E._Bolton,,,0,,2005.0
Scientist,Herbert_E._Brekle,Q111172,male,83,,2010.0
Scientist,Herbert_E._Kaufman,Q99363040,male,93,,2020.0
Scientist,Herbert_Edelsbrunner,Q5733970,male,66,,2008.0
Scientist,Herbert_Ellis_Robbins,,,0,,2007.0
Scientist,Herbert_Ellsworth_Slaught,Q37631847,male,76,,2018.0
Scientist,Herbert_Enderton,Q2026602,male,74,,2010.0
Scientist,Herbert_Federer,Q112505,male,0,,2007.0
Scientist,Herbert_Feith,Q12485575,male,71,,2007.0
Scientist,Herbert_Ferlando_Schwarz,Q55072523,male,77,,2020.0
Scientist,Herbert_Franke_(sinologist),Q88481,male,97,,2008.0
Scientist,Herbert_Freudenberger,Q65973,male,73,,2008.0
Scientist,Herbert_Freundlich,Q107947,male,61,,2006.0
Scientist,Herbert_Friedmann,Q3133451,male,87,,2008.0
Scientist,Herbert_Fröhlich,Q90578,male,86,,2006.0
Scientist,Herbert_Fuller_Wernham,Q5894710,male,62,,2020.0
Scientist,Herbert_G._Baker,Q2882932,male,81,,2018.0
Scientist,Herbert_Gans,,,0,,2006.0
Scientist,Herbert_George,Q5734186,male,0,,2008.0
Scientist,Herbert_Giles,Q713705,male,90,,2003.0
Scientist,Herbert_Gleiter,Q109372,male,0,,2012.0
Scientist,Herbert_Goldstein,Q933755,male,83,,2005.0
Scientist,Herbert_Gouverneur_Ogden,Q15995374,male,60,,2013.0
Scientist,Herbert_Gross,Q22959316,male,91,,2016.0
Scientist,Herbert_Gursky,Q5734262,male,76,,2006.0
Scientist,Herbert_Gutfreund,Q5734263,male,100,,2011.0
Scientist,Herbert_H._Chen,Q21664526,male,45,,2015.0
Scientist,Herbert_H._Clark,Q5734281,male,0,,2006.0
Scientist,Herbert_H._Whetzel,,,0,,
Scientist,Herbert_Hall_Turner,Q715996,male,69,,2004.0
Scientist,Herbert_Hawkes,Q5734380,male,0,,2006.0
Scientist,Herbert_Haxton,Q105080942,male,0,,2021.0
Scientist,Herbert_Henry_Dow,Q908544,male,64,,2004.0
Scientist,Herbert_Herbert,Q106690769,male,77,,2021.0
Scientist,Herbert_Hugh_Thompson,Q5734532,male,0,,2007.0
Scientist,Herbert_Huppert,Q1608202,male,81,,2006.0
Scientist,Herbert_Hutchinson_Brimley,Q5734551,male,163,,2008.0
Scientist,Herbert_Hyman,Q59626659,male,106,,2020.0
Scientist,Herbert_I._Margolis,Q22006665,male,84,,2015.0
Scientist,Herbert_J._Gans,Q6289838,male,97,,2006.0
Scientist,Herbert_J._Gans,Q85027,male,97,,2006.0
Scientist,Herbert_John_Fleure,,,0,,2014.0
Scientist,Herbert_John_Webber,Q3133468,male,81,,2006.0
Scientist,Herbert_Keller,Q1608589,male,99,,2009.0
Scientist,Herbert_Kelman,Q10294993,male,95,,2007.0
Scientist,Herbert_Kroemer,Q71016,male,96,,2003.0
Scientist,Herbert_Kuhl,Q113480774,male,0,,2022.0
Scientist,Herbert_L._Strauss,Q56877971,male,78,,2020.0
Scientist,Herbert_Lange_(mathematician),,,0,,
Scientist,Herbert_Langfeld,Q18631891,male,79,,2014.0
Scientist,Herbert_Levi,,,0,,2015.0
Scientist,Herbert_Louis_Mason,Q11925452,male,98,,2020.0
Scientist,Herbert_M._Sauro,Q42624413,male,0,,2022.0
Scientist,Herbert_McLean_Evans,Q554341,male,89,,2004.0
Scientist,Herbert_McLeod,Q731577,male,82,,2011.0
Scientist,Herbert_Needleman,Q5735148,male,90,,2006.0
Scientist,Herbert_Newby_McCoy,Q5735153,male,75,,2011.0
Scientist,Herbert_O._House,Q15479817,male,0,,2016.0
Scientist,Herbert_Pilch,Q109590,male,91,,2007.0
Scientist,Herbert_R._Spencer,Q52305908,male,81,,2018.0
Scientist,Herbert_R._Spencer,Q55418899,,81,,2018.0
Scientist,Herbert_Riehl,Q15436596,male,82,,2010.0
Scientist,Herbert_Robbins,Q951395,male,86,,2004.0
Scientist,Herbert_Rosenfeld,Q67454,male,76,,2010.0
Scientist,Herbert_S._Eleuterio,Q20984433,male,95,,2015.0
Scientist,Herbert_S._Green,Q552715,male,79,,2006.0
Scientist,Herbert_S._Gutowsky,Q907778,male,81,,2007.0
Scientist,Herbert_Saffir,Q2557554,male,90,,2005.0
Scientist,Herbert_Schutz,Q85632539,male,81,,2020.0
Scientist,Herbert_Seddon,Q60755274,male,74,,2018.0
Scientist,Herbert_Seifert,Q75807,male,127,,2004.0
Scientist,Herbert_Solomon,Q28227643,male,85,,2007.0
Scientist,Herbert_Spencer_Barber,Q1609122,male,0,,2012.0
Scientist,Herbert_Spencer_Jennings,Q3133504,male,79,,2005.0
Scientist,Herbert_Squire,Q17403714,male,52,,2014.0
Scientist,Herbert_Stanley_Morris,Q16043776,male,-105,,2007.0
Scientist,Herbert_Tabor,Q59212969,male,102,,2020.0
Scientist,Herbert_Turnbull,Q1609296,male,76,,2013.0
Scientist,Herbert_Vilakazi,Q41796332,male,73,,2017.0
Scientist,Herbert_W._Marsh,Q5735819,male,0,,2006.0
Scientist,Herbert_W._Marsh,Q57952180,,0,,2006.0
Scientist,Herbert_W._Roesky,Q78056,male,89,,2006.0
Scientist,Herbert_W._Roesky,Q86964682,,89,,2006.0
Scientist,Herbert_W._Virgin,Q28407524,male,0,,2016.0
Scientist,Herbert_Wakefield_Banks_Skinner,Q1423097,male,124,,2010.0
Scientist,Herbert_Walther,Q74175,male,0,,2007.0
Scientist,Herbert_Wechsler,Q15516042,male,91,,2004.0
Scientist,Herbert_Weissbach_(biochemist),Q55313475,male,92,,2018.0
Scientist,Herbert_Wilf,Q1035425,male,81,,2006.0
Scientist,Herbert_Wilhelmy,Q123513,male,114,,2012.0
Scientist,Herbert_Wilson,Q5735948,male,79,,2005.0
Scientist,Herbert_Woodrow,Q16007730,male,91,,2013.0
Scientist,Herbert_Yardley,Q1269275,male,69,,2004.0
Scientist,Herbert_York,Q1609351,male,88,,2003.0
Scientist,Herbert_Zimmermann_(neuroscientist),Q15511664,male,80,,2013.0
Scientist,Herchel_Smith,Q15503239,male,76,,2005.0
Scientist,Herculano_Marcos_Ferraz_de_Alvarenga,Q10295008,male,77,,2022.0
Scientist,Heremba_Bailung,Q95136468,male,61,,2020.0
Scientist,Herluf_Winge,Q1367509,male,66,,2011.0
Scientist,Herman_Boerhaave,Q313093,male,70,,2001.0
Scientist,Herman_Bondi,,,0,,2005.0
Scientist,Herman_Branson,Q5739587,male,81,,2005.0
Scientist,Herman_Brenner_White,Q56876923,male,76,,2018.0
Scientist,Herman_Chernoff,Q1610257,male,101,,2004.0
Scientist,Herman_Eisen,Q26701439,male,106,,2016.0
Scientist,Herman_Feshbach,Q726380,male,0,,2006.0
Scientist,Herman_Goldstein,Q61387910,male,89,,2019.0
Scientist,Herman_Goldstine,Q93005,male,91,,2004.0
Scientist,Herman_H._J._Lynge,Q12316587,male,75,,2006.0
Scientist,Herman_H._Spitz,Q5739797,male,99,,2006.0
Scientist,Herman_J._Adèr,Q16001797,male,84,,2013.0
Scientist,Herman_Kalckar,Q5739918,male,83,,2007.0
Scientist,Herman_Karl_Haeberlin__US-scientist-stub__1,,,0,,
Scientist,Herman_March,Q5740028,male,0,,2006.0
Scientist,Herman_Mark,,,0,,2007.0
Scientist,Herman_Maximilien_de_Burlet,Q1947472,male,141,,2016.0
Scientist,Herman_Neubronner_van_der_Tuuk,Q549882,male,70,,2007.0
Scientist,Herman_Otto_Hartley,Q276970,male,112,,2007.0
Scientist,Herman_P._Schwan,Q3134086,male,90,,2007.0
Scientist,Herman_Pines,Q15815284,male,94,,2018.0
Scientist,Herman_Postma,Q4391965,male,71,,2013.0
Scientist,Herman_Rubin,,,0,,
Scientist,Herman_S._Bachelard,Q15994276,male,0,,2013.0
Scientist,Herman_S._Bachelard,Q59630759,,0,,2013.0
Scientist,Herman_Snellen,Q24141,male,74,,2005.0
Scientist,Herman_T._Briscoe,Q85748688,male,67,,2019.0
Scientist,Herman_Tiersma,,,0,,
Scientist,Herman_Valentiner,Q5740293,male,63,,2011.0
Scientist,Herman_Verlinde,Q794633,male,62,,2004.0
Scientist,Herman_Wold,Q1367730,male,84,,2004.0
Scientist,Hermann_A._Haus,Q700378,male,78,,2007.0
Scientist,Hermann_Alexander_Diels,Q61889,male,74,,2006.0
Scientist,Hermann_Amandus_Schwarz,,,0,,2005.0
Scientist,Hermann_Arthur_Jahn,Q609709,male,72,,2007.0
Scientist,Hermann_August_Hagen,Q73531,male,207,,2005.0
Scientist,Hermann_August_Krauss,Q10295079,male,91,,2007.0
Scientist,Hermann_Beckler,Q21033810,male,86,,2018.0
Scientist,Hermann_Biggs,Q5740531,male,64,,2005.0
Scientist,Hermann_Blau,Q101559,male,73,,2009.0
Scientist,Hermann_Boerner,Q1610710,male,76,,2014.0
Scientist,Hermann_Bondi,Q380235,male,86,,2004.0
Scientist,Hermann_Bottenbruch,Q17352708,male,96,,2017.0
Scientist,Hermann_Brunn,Q3134140,male,162,,2011.0
Scientist,Hermann_Brück,Q5740571,male,119,,2007.0
Scientist,Hermann_Burmeister,Q60969,male,217,,2005.0
Scientist,Hermann_Carl_Vogel__Hermann_Carl_Vogel__1,,,66,,
Scientist,Hermann_Cohen,Q76709,male,76,,2004.0
Scientist,Hermann_David_Weber,Q3134055,male,95,,2011.0
Scientist,Hermann_Diels,,,0,,2006.0
Scientist,Hermann_Dürck,Q15301994,male,72,,2013.0
Scientist,Hermann_Ebbinghaus,Q57332,male,59,,2001.0
Scientist,Hermann_Eduard_Anton,Q5740628,male,78,,2013.0
