subclass,instance,wikiDataID,gender,age,birthYear,publication_year
Writer,Jessica_Horn,Q18687836,female,0,,2014.0
Writer,Jessica_I._Rowe,,,0,,
Writer,Jessica_James_(author),Q30121938,female,0,,2017.0
Writer,Jessica_L._Webb,Q52367435,female,0,,2018.0
Writer,Jessica_Le_Bas,Q43663030,female,0,,2017.0
Writer,Jessica_Lessin,Q22096300,female,41,,2014.0
Writer,Jessica_Love,Q64748122,female,0,,2019.0
Writer,Jessica_McHugh,Q6187360,female,42,,2010.0
Writer,Jessica_Nelson_North,Q6187383,female,97,,2005.0
Writer,Jessica_O'Toole_and_Amy_Rardin,Q21066354,,0,,2015.0
Writer,Jessica_Page_Morrell,Q6187399,female,0,,2008.0
Writer,Jessica_Richie__US-writer-stub__1,,,0,,
Writer,Jessica_Ruffner,Q6187452,female,0,,
Writer,Jessica_Schellack,,,0,,
Writer,Jessica_Shattuck,Q42211812,female,0,,2017.0
Writer,Jessica_Shirvington,Q14790853,female,0,,2015.0
Writer,Jessica_Steele,Q3177679,female,87,,2007.0
Writer,Jessica_Townsend,Q61055227,female,39,,2019.0
Writer,Jessica_Warner,Q6187544,female,0,,2007.0
Writer,Jessica_Zafra,Q6187574,female,0,,2006.0
Writer,Jessie_Baetz,Q6187604,female,130,,2008.0
Writer,Jessie_Cadell,Q17353083,female,40,,2014.0
Writer,Jessie_Fothergill,Q17354425,female,-133,,2014.0
Writer,Jessie_Fremont_O'Donnell,Q65291558,female,37,,2021.0
Writer,Jessie_Greengrass,Q61968121,female,0,,2019.0
Writer,Jessie_Keane,Q6187722,female,0,,2012.0
Writer,Jessie_Kerr_Lawson,Q87937543,female,79,,2020.0
Writer,Jessie_King_(writer),Q47914245,female,0,,2018.0
Writer,Jessie_Lilley,Q18385270,female,66,,2014.0
Writer,Jessie_Lloyd,Q21535130,female,42,,2020.0
Writer,Jessie_Mackay,Q16023258,female,-86,,2011.0
Writer,Jessie_Maye_Smith,Q6187766,female,98,,2012.0
Writer,Jessie_Pope,Q3177701,female,73,,2005.0
Writer,Jessie_Sampter,Q15463274,female,55,,2006.0
Writer,Jessie_Sime,Q19904645,female,90,,2019.0
Writer,Jessie_Stanton,Q27588648,female,-148,,2016.0
Writer,Jessie_Urquhart,Q84013021,female,-76,,2020.0
Writer,Jessie_Weston_(writer),Q106648965,female,0,,2021.0
Writer,Jessie_Wilson_Manning,Q41600380,female,92,,2017.0
Writer,Jesús_Balmori,Q517332,male,61,,2006.0
Writer,Jesús_Cintora,Q5930010,male,47,,2016.0
Writer,Jesús_Colón,Q6188414,male,73,,2004.0
Writer,Jesús_Delgado_Valhondo,Q6188423,male,84,,2009.0
Writer,Jesús_Papoleto_Meléndez,Q16145519,male,74,,2018.0
Writer,Jesús_Rosas_Marcano,Q6188625,male,71,,2010.0
Writer,Jesús_Ángel_Rojo_Pinilla,Q23663967,male,50,,2016.0
Writer,Jethmal_Parsram_Gulrajani,Q112626281,male,-76,,2022.0
Writer,Jethro_Compton,Q6189016,male,36,,2010.0
Writer,Jeton_Kelmendi,Q337614,male,46,,2008.0
Writer,Jetske_Vulsma,,,0,,
Writer,Jetty_Wohllerner,Q103809949,female,0,,2020.0
Writer,Jeune_Nowak_Wussow,,,0,,
Writer,Jewel_Kats,Q47004754,female,38,,2017.0
Writer,Jewell_Parker_Rhodes,Q6189554,female,0,,2005.0
Writer,Jez_Butterworth,Q1688756,male,0,,2006.0
Writer,Jhabarmal_Sharma,Q6190732,male,0,,2007.0
Writer,Jhamak_Kumari_Ghimire,,,0,,
Writer,Jhaverchand_Meghani,Q2758776,male,51,,2008.0
Writer,Jhet_van_Ruyven,Q6191051,female,65,,2011.0
Writer,Jhimli_Mukherjee_Pandey,Q114958174,female,-3,,2022.0
Writer,Jhinabhai_Desai,Q2776356,male,88,,2014.0
Writer,Jhumpa_Lahiri,Q465208,female,57,,2003.0
Writer,Ji-li_Jiang,Q13563019,female,70,,2008.0
Writer,Ji_Xianlin,Q714228,male,98,,2008.0
Writer,Jia_Pingwa,Q713478,male,72,,2006.0
Writer,Jia_Qing_Wilson-Yang,Q29850905,trans woman,0,,2017.0
Writer,Jia_Yinghua,Q4683446,male,0,,2013.0
Writer,Jiang_Chunfang,Q10943559,male,75,,2013.0
Writer,Jiang_Feng_(translator),Q15699017,male,88,,2014.0
Writer,Jiang_Guangci,Q52156995,male,30,,2021.0
Writer,Jiang_Jia_Hua,,,0,,
Writer,Jiang_Nan_(novelist),Q9301481,male,47,,2018.0
Writer,Jiang_Shi,Q15725560,male,0,,2013.0
Writer,Jiang_Xuemo,Q15949718,male,90,,2019.0
Writer,Jiang_Yan,Q3236824,male,0,,2023.0
Writer,Jibanananda_Das,Q3116411,male,55,,2005.0
Writer,Jibran_Masud,Q104698111,male,0,,2021.0
Writer,Jidi_Majia,Q20016936,male,0,,2017.0
Writer,Jie_Xu,,,0,,2008.0
Writer,Jien,Q715993,male,70,,2005.0
Writer,Jila_Hosseini,Q6967907,female,32,,2021.0
Writer,Jilani_Kamran,Q23057593,male,77,,2020.0
Writer,Jill_Adelaide_Neville,Q16750341,female,0,,2014.0
Writer,Jill_Alexander_Essbaum,Q13563252,female,0,,2009.0
Writer,Jill_Barnett,Q6192732,female,0,,2007.0
Writer,Jill_Brett,,,0,,
Writer,Jill_Ciment,Q481871,female,69,,2009.0
Writer,Jill_Ciment,Q6192766,female,69,,2009.0
